"adverse_id","term_decision_id","source_locator","exact_german_phrase","zh_hans_cn_producer_choice","trap_or_adverse_reading","contextual_reason_for_exclusion","alternative_held_for_independent_review","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","controlled_hant_status","review_state"
"P39-ZH-A011","P39-ZH-T011","§2 third paragraph","Operatorisomorphie","算子同构","Isomorphism between analytic operators or a bare vector-space isomorphism","The following sentence states the operator-respecting correspondence between group substitutions and group-ring multiplication","带算子同构; 等变同构","modern Sino-xenic coinage/calque","算子 is Mandarin-dominant and competes with 算符/等变 descriptions; the inherited label may understate equivariance","producer editorial choice plus inherited translation witness; independent check pending","算子同構 is controlled-generic only; regional preference unresolved","open; independent checker should assess whether an explanatory expansion is required"
"P39-ZH-A012","P39-ZH-T012","§2 and §6","Artinschen Führern","Artin 导子","A guide, leader, electrical conductor, or arbitrary modulus","Artin L-series, group characters, discriminants, and ramification-supported conductors fix the arithmetic conductor sense","阿廷导子; 阿廷模数","mixed/contested","The exact frozen target retains Latin Artin; no Mandarin transliteration or regional Hant convention is imposed.","exact frozen target form plus independent checker source/target comparison","Artin 導子 is controlled generic only; regional usage remains outside scope","exact target form independently reconciled; final package disposition remains separate"
"P39-ZH-A013","P39-ZH-T013","§4-§6","Stelle | Stellen | Verzweigungsstellen","位／分歧位","A physical location, a prime ideal only, or an individual valuation map","The source includes finite places indexed by prime ideals and finitely many infinite places, requiring a broader place concept","素位; 赋值; 地方","mixed/contested","The target's 位/分歧位 wording preserves finite/infinite-place context and keeps 素理想 distinct; no regional claim follows.","exact frozen target forms plus independent checker source/target comparison","位／分歧位 are controlled-generic same-character forms; no regional usage is claimed","exact target forms independently reconciled; final package disposition remains separate"
"P39-ZH-A014","P39-ZH-T014","§6 penultimate paragraph","der Strahl","射线","A geometric ray or beam","The phrase is tied to a conductor composed of ramified places and to normalization of factor systems, fixing the ray-class sense","射线类; 模射线","modern Sino-xenic coinage/calque","Bare 射线 defaults strongly to geometry in Mandarin and may need an expanded class-field label","producer editorial choice plus inherited translation witness; independent check pending","射線 is controlled-generic only; class-field and regional terminology unresolved","open; context expansion required unless independent review supports the short form"
"P39-ZH-A015","P39-ZH-T015","§6 second paragraph","Totalcharakter der Hauptform","全特征","Field characteristic, one group character, or generic feature set","The quadratic-form and principal-genus discussion points to the complete aggregate genus-character data","总特征; 完全特征标","mixed/contested","全特征 is a literal Hans choice with unresolved historical scope and may be especially misleading without specialist review","producer editorial choice plus inherited translation witness; independent check pending","全特徵 is controlled-generic only; terminology and regional usage unresolved","open; priority independent sense review"
"P39-ZH-A016","P39-ZH-T016","§6 second paragraph","die \((1-S)\)te symbolische Potenz in die Duplikation übergeht","平方映射","Copying, duplication, or numerical doubling","In the quadratic specialization, the symbolic (1-S)-power becomes the class operation represented by squaring","平方化; 二重化; 平方运算","native coinage","平方映射 is the exact frozen-target explanatory wording and is not promoted into a regional terminology claim.","exact frozen target form plus independent checker mathematical-language comparison","平方映射 is controlled generic only; historical and regional conventions remain limited","exact target form independently reconciled; final package disposition remains separate"
"P39-ZH-A017","P39-ZH-T017","§4 and §6","Normenrest | Normenreste | Normenrest nach dem Führer","范数剩余","Ordinary remainder after division or a residual norm value","The source states local norm conditions at primes/places and conductor congruence conditions","范数余类; 范数残余","modern Sino-xenic coinage/calque","The ordinary-language reading of 剩余 is strong in Hans and may conceal the class-field-theory condition","producer editorial choice plus inherited translation witness; independent check pending","範數剩餘 is controlled-generic only; not localized","open; independent terminology check pending"
"P39-ZH-A018","P39-ZH-T018","§3-§5","zerfallende Algebrenklasse | zerfallenden Algebren | zerfallende Algebren","分裂代数","Direct-product decomposition or semisimplicity","The source defines splitting as becoming a full matrix ring under scalar extension and uses it in a local-global theorem","劈裂代数; 裂解代数","modern Sino-xenic coinage/calque","分裂 is semantically broad in Mandarin; preserving the definition is necessary while independent checking is absent","producer editorial choice plus inherited translation witness; independent check pending","分裂代數 is controlled-generic only; no regional localization claim","open; independent algebra-language check pending"
"P39-ZH-A019","P39-ZH-T019","§3 and §5","Transformationsgrössen","变换量","Geometric coordinate-change parameter or physical quantity","The displayed c_S^T c_T/c_ST expressions and their ideal-class analogues fix a multiplicative coboundary-like role","变换因子; 上边界因子","modern Sino-xenic coinage/calque","The literal Hans term may hide structure from readers and may crowd out a more explicit cohomological description","producer editorial choice plus inherited translation witness; independent check pending","變換量 is controlled-generic only; cohomological and regional language unresolved","open; independent specialist review pending"
"P39-ZH-A020","P39-ZH-T020","§2 third paragraph","Gruppenring (Gruppenalgebra)","群环（群代数）","A ring-shaped group or a group alone","The operator-isomorphism sentence pairs multiplication in the group ring with Galois-group substitutions and explicitly supplies Gruppenalgebra as a parenthetical synonym","群代数（群环）","modern Sino-xenic coinage/calque","The inherited ordering may reflect Hans shelf convention rather than a universal Chinese preference","producer editorial choice plus inherited translation witness; independent check pending","群環（群代數） is controlled-generic only; regional ordering unresolved","open; independent conventionality check pending"
