"recovery_id","priority","scope","blocker_class","exact_path_or_evidence","next_recovery_action","generated_support_status","post_b3_increment_action","no_claim_boundary"
"R6-POST-B3-RECOVERY-011","priority_recovery","Papiamento/Papiamentu","source_canon_insufficient","source_acquisition_or_gap_only","Use the 20260705 Aruba route retry addendum for EA.AW blocker provenance; still split Aruba Papiamento vs Curacao Papiamentu and resolve exact source-body access before concept or support movement.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-012","priority_recovery","Papiamento/Papiamentu - Aruba","source_canon_insufficient","source_acquisition_or_gap_only","Existing strict context rows do not close EA.AW catalog blockers. Use the 20260705 Aruba route retry addendum for Map/Rampa route evidence; resolve PDF source-body access, Aruba Papiamento reviewer/source-owner route, and reuse/license signal before source-authority or support movement.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-013","standard","Sranan / Saramaccan / Ndyuka / Guyanese Creole","source_canon_insufficient","source_acquisition_or_gap_only","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | Find Suriname/Sranan or related named-language math/STEM source; keep Saramaccan/Ndyuka/Guyanese separate.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-014","standard","Sranan/Saramaccan/Ndyuka/Guyanese","source_canon_insufficient","source_acquisition_or_gap_only","Find language-specific STEM sources; keep each named language separate.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-015","priority_recovery","Tok Pisin","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_TOK_PISIN_PNG_FODE_SOURCE_ROUTE_ADDENDUM_20260705.csv for Tok Pisin/PNG route/context provenance; exact Tok Pisin mathematics/STEM body, source-owner/reviewer return, and reuse decision remain required.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-016","priority_recovery","Ecuador EIB","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve official CNIB/Kichwa PDF source-body access or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-017","priority_recovery","Guarani/Paraguay","source_canon_insufficient","source_acquisition_or_gap_only","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-018","priority_recovery","Krio/Sierra Leone","source_canon_insufficient","source_acquisition_or_gap_only","Retry via browser/manual stack; classify as national curriculum context, not Krio STEM witness until language-specific evidence exists.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-019","standard","Mexico CONALITEG Indigenous books","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-020","priority_recovery","Papiamento/Papiamentu - Aruba","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_ARUBA_PAPIAMENTO_SOURCE_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve EA.AW PDF source-body access, official mirror/archive, or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-021","standard","Quechua/Bolivia","source_canon_insufficient","source_acquisition_or_gap_only","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-022","standard","Uspanteko/Guatemala","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_GUATEMALA_USPANTEKO_DIGEBI_SOURCE_CAPTURE_ADDENDUM_20260705.csv as capture provenance only; record DIGEBI/source-owner or qualified Uspanteko education reviewer route plus reuse/license decision before source-authority, terms, excerpts, translation, visual inventory, pilot, or package payload movement.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-023","standard","Aymara","source_canon_insufficient","source_acquisition_or_gap_only","no Quechua/Aymara bridge, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot | Retry through browser/manual/source-owner route before treating live URL as stable; do not change license/source-authority state.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-024","standard","Bolivia Quechua","source_canon_insufficient","source_acquisition_or_gap_only","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-025","standard","Bolivia Quechua candidate","source_canon_insufficient","source_acquisition_or_gap_only","no accepted source authority, crosswalk, terms, excerpts, reuse, translation, constructed surface, or pilot","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-026","standard","Bolivia Quechua longitudes","source_canon_insufficient","source_acquisition_or_gap_only","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-027","standard","Bolivia Red Minedu repository","source_canon_insufficient","source_acquisition_or_gap_only","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-028","priority_recovery","Ecuador EIB","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve official CNIB/Kichwa PDF source-body access and keep each Ecuador CNIB language/level separate before support movement.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-029","priority_recovery","Ecuador Ministry EIB pages","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv for the CNIB/Kichwa route blocker; keep R6-IA-P3-005 unresolved separately until the EGB Intercultural Bilingue page is retried.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-030","standard","Guatemala DIGEBI product pages","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_GUATEMALA_USPANTEKO_DIGEBI_SOURCE_CAPTURE_ADDENDUM_20260705.csv as capture provenance only; record DIGEBI/source-owner or qualified Uspanteko education reviewer route plus reuse/license decision before source-authority, terms, excerpts, translation, visual inventory, pilot, or package payload movement.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-031","standard","Guatemala Uspanteko","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_GUATEMALA_USPANTEKO_DIGEBI_SOURCE_CAPTURE_ADDENDUM_20260705.csv as capture provenance only; record DIGEBI/source-owner or qualified Uspanteko education reviewer route plus reuse/license decision before source-authority, terms, excerpts, translation, visual inventory, pilot, or package payload movement.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-032","standard","Hnahnu/Otomi","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-033","standard","Maya","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-034","standard","Mexico CONALITEG Indigenous primary","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-035","standard","Mexico CONALITEG viewers/catalogue","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-036","standard","Mexico CONALITEG/Nanahuatzin","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-037","standard","Mexico Nahuatl/Hnahnu/Maya/Nanahuatzin","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-038","standard","Nahuatl","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-039","standard","Nahuatl / Indigenous-language education candidate","source_canon_insufficient","source_acquisition_or_gap_only","If pursued, inspect repository source-body language and mathematics content under a separate capture policy, record file hashes, license scope, source-owner/reviewer route, and B3 payload boundary before any movement.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-040","priority_recovery","Paraguay Guarani","source_canon_insufficient","source_acquisition_or_gap_only","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-041","priority_recovery","Paraguay Guarani/Matematica PRODEPA","source_canon_insufficient","source_acquisition_or_gap_only","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-042","standard","Paraguay MEC CMS","source_canon_insufficient","source_acquisition_or_gap_only","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-043","standard","Peru Quechua/Aymara","source_canon_insufficient","source_acquisition_or_gap_only","Wait for reviewer/source-owner/reuse returns; no duplication.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-044","standard","Peru Quechua/Aymara existing reader","source_canon_insufficient","source_acquisition_or_gap_only","Do not duplicate Peru EIB reader; wait for reviewer/source-owner/reuse returns.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-045","standard","Quechua Central","source_canon_insufficient","source_acquisition_or_gap_only","no Quechua macrostandard, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot | Retry through browser/manual/source-owner route before treating live URL as stable; do not change license/source-authority state.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-046","standard","Quechua Chanka","source_canon_insufficient","source_acquisition_or_gap_only","no Quechua macrostandard, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot | Retry through browser/manual/source-owner route before treating live URL as stable; do not change license/source-authority state.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-047","priority_recovery","Quechua/Kichwa, Aymara, Guarani, and adjacent Indigenous-language targets","source_canon_insufficient","source_acquisition_or_gap_only","Continue official source capture and reviewer/source-owner routes; do not infer technical register from TeX gap.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-048","priority_recovery","Quechua/Kichwa, Aymara, Guarani, Uspanteko, Nahuatl/Hnahnu/Maya/Nanahuatzin, and adjacent Indigenous-language targets","source_canon_insufficient","source_acquisition_or_gap_only","If a repository is found, verify target-language mathematical content, license/access status, hashable source files, and reviewer/source-owner route before any use.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-049","priority_recovery","ASL","source_canon_insufficient","source_acquisition_or_gap_only","no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot | no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot | no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-050","priority_recovery","ASL, LSQ, DGS, International Sign comparator, and future signed-language rows","source_canon_insufficient","source_acquisition_or_gap_only","If a sign/access repository is found, verify media/source ownership, license/access, video/sign authority, reviewer route, and captions/transcripts separately.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-051","priority_recovery","ASL, LSQ, DGS, International Sign, future signed-language rows","source_canon_insufficient","source_acquisition_or_gap_only","Use local signed-language source routes, video/access metadata, and media/reviewer gates.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-052","priority_recovery","DGS","source_canon_insufficient","source_acquisition_or_gap_only","no category row accepted as sign authority; no media copy, no translation, no surface, no pilot | no category row accepted as sign authority; no media copy, no translation, no surface, no pilot | no category row accepted as sign authority; no media copy, no translation, no surface, no pilot","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-053","priority_recovery","LSQ","source_canon_insufficient","source_acquisition_or_gap_only","no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot | no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot | no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-054","priority_recovery","International Sign comparator","source_canon_insufficient","source_acquisition_or_gap_only","no lexicon authority, no accepted signs, no national signbank transfer, no translation, no constructed surface, no pilot | no normal national-language lane treatment, no dictionary acceptance, no translation, no constructed surface, no pilot | no one-sign-per-word normalization, no forced standard technical lexicon, no sign acceptance, no translation, no surface, no pilot","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-055","standard","reviewer/source-owner returns","route evidence exists, but no reviewer/source-owner return approval","outputs/r6-ethics-authority-source-start-cycle9-20260706/ledgers/REVIEWER_AUTHORITY_ROUTE_LEDGER.csv","obtain explicit reviewer/source-owner returns before authority promotion","disallowed unless exact source-body baseline and reviewer/source-owner authority route are later closed; this package does not produce translation output","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-056","standard","native/community authority","index is not community consent or source authority","outputs/r6-ethics-authority-source-start-cycle9-20260706/ledgers/REVIEWER_AUTHORITY_ROUTE_LEDGER.csv","separate source-body provenance from community authority/consent route","disallowed unless exact source-body baseline and reviewer/source-owner authority route are later closed; this package does not produce translation output","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-057","priority_recovery","Ecuador Kichwa CNIB","probe metadata only; source body still insufficient","outputs/r6-ethics-authority-source-start-cycle9-20260706/blockers/BLOCKER_NEXT_ACTIONS.csv","retry official CNIB body route and source-owner path","disallowed unless exact source-body baseline and reviewer/source-owner authority route are later closed; this package does not produce translation output","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-058","priority_recovery","Paraguay Guarani/PRODEPA","route/probe only; no Guarani mathematics source body","outputs/r6-ethics-authority-source-start-cycle9-20260706/blockers/BLOCKER_NEXT_ACTIONS.csv","retry MEC/PRODEPA routes and alternate official indexes","disallowed unless exact source-body baseline and reviewer/source-owner authority route are later closed; this package does not produce translation output","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-059","priority_recovery","DGS/ASL/LSQ sign/access","metadata/HTML/JSON only; no media/source-owner clearance","outputs/r6-ethics-authority-source-start-cycle9-20260706/blockers/BLOCKER_NEXT_ACTIONS.csv","complete media/source-owner permission and accessibility review before visual inventory or sign rendering","disallowed unless exact source-body baseline and reviewer/source-owner authority route are later closed; this package does not produce translation output","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-060","standard","Aymara/Quechua OCR/Unicode","OCR witness is not source truth; Unicode/orthography/source-PDF return pending","outputs/r6-ethics-authority-source-start-cycle9-20260706/ledgers/OCR_UNICODE_SOURCE_RETURN_LEDGER.csv","source-PDF comparison and reviewer route before reuse","disallowed unless exact source-body baseline and reviewer/source-owner authority route are later closed; this package does not produce translation output","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
