status,priority,lane,primary_table,row_index_previous,row_index_current,match_method,source_title,target_language_or_access_target,source_url,current_is_target_language_witness,context_reason,missing_applicable_fields_previous,exact_missing_current,alias_satisfied_current,unresolved_current,special_repair_or_reclassification,recommended_action,non_claim_boundary
active_source_witness_unresolved_provenance_gap,P1_source_witness_provenance_gap,noether-olp-relation-function-support,noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv,2,2,row_index_1_based,K-SCW-002,,https://github.com/OpenLogicProject/OpenLogic/tree/master/content/sets-functions-relations,,source_witness_or_schema_hardening_row,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,evidence_tier; source_type; sha256_or_other_hash; non_claim_boundary,target_language_or_access_target; source_language,,populate missing source witness provenance from URLs/hashes/license/access evidence or downgrade to explicit gap/blocker,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_unresolved_provenance_gap,P1_source_witness_provenance_gap,noether-olp-relation-function-support,noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv,3,3,row_index_1_based,K-SCW-003,,https://github.com/oscarlevin/discrete-book/ ; https://discrete.openmathbooks.org/,,source_witness_or_schema_hardening_row,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,evidence_tier; source_type; sha256_or_other_hash; non_claim_boundary,target_language_or_access_target; source_language,,populate missing source witness provenance from URLs/hashes/license/access evidence or downgrade to explicit gap/blocker,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_unresolved_provenance_gap,P1_source_witness_provenance_gap,noether-olp-relation-function-support,noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv,4,4,row_index_1_based,K-SCW-004,,https://github.com/oscarlevin/discrete-book/tree/edition/source,,source_witness_or_schema_hardening_row,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,evidence_tier; source_type; sha256_or_other_hash; non_claim_boundary,target_language_or_access_target; source_language,,populate missing source witness provenance from URLs/hashes/license/access evidence or downgrade to explicit gap/blocker,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_unresolved_provenance_gap,P1_source_witness_provenance_gap,noether-olp-relation-function-support,noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv,5,5,row_index_1_based,K-SCW-005,,https://github.com/OpenIntroStat/ims ; https://www.openintro.org/license/,,source_witness_or_schema_hardening_row,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,evidence_tier; source_type; sha256_or_other_hash; non_claim_boundary,target_language_or_access_target; source_language,,populate missing source witness provenance from URLs/hashes/license/access evidence or downgrade to explicit gap/blocker,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_unresolved_provenance_gap,P1_source_witness_provenance_gap,noether-olp-relation-function-support,noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv,6,6,row_index_1_based,K-SCW-006,,https://github.com/OpenIntroStat/openintro-statistics ; https://www.openintro.org/license/,,source_witness_or_schema_hardening_row,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,evidence_tier; source_type; sha256_or_other_hash; non_claim_boundary,target_language_or_access_target; source_language,,populate missing source witness provenance from URLs/hashes/license/access evidence or downgrade to explicit gap/blocker,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_unresolved_provenance_gap,P1_source_witness_provenance_gap,noether-olp-relation-function-support,noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv,7,7,row_index_1_based,K-SCW-007,,https://github.com/rbeezer/fcla ; https://linear.pugetsound.edu/,,source_witness_or_schema_hardening_row,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,evidence_tier; source_type; sha256_or_other_hash; non_claim_boundary,target_language_or_access_target; source_language,,populate missing source witness provenance from URLs/hashes/license/access evidence or downgrade to explicit gap/blocker,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_unresolved_provenance_gap,P1_source_witness_provenance_gap,noether-olp-relation-function-support,noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv,8,8,row_index_1_based,K-SCW-008,,https://github.com/twjudson/aata ; https://judsonbooks.org/abstract-algebra-theory-and-applications/,,source_witness_or_schema_hardening_row,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,evidence_tier; source_type; sha256_or_other_hash; non_claim_boundary,target_language_or_access_target; source_language,,populate missing source witness provenance from URLs/hashes/license/access evidence or downgrade to explicit gap/blocker,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_unresolved_provenance_gap,P1_source_witness_provenance_gap,noether-olp-relation-function-support,noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv,9,9,row_index_1_based,K-SCW-009,,https://github.com/stacks/stacks-project ; https://stacks.math.columbia.edu/contribute,,source_witness_or_schema_hardening_row,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,evidence_tier; source_type; sha256_or_other_hash; non_claim_boundary,target_language_or_access_target; source_language,,populate missing source witness provenance from URLs/hashes/license/access evidence or downgrade to explicit gap/blocker,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_unresolved_provenance_gap,P1_source_witness_provenance_gap,noether-olp-relation-function-support,noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv,10,10,row_index_1_based,K-SCW-010,,https://github.com/openstax/osbooks-college-algebra-bundle ; https://openstax.org/books/algebra-and-trigonometry-2e/pages/preface,,source_witness_or_schema_hardening_row,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,evidence_tier; source_type; sha256_or_other_hash; non_claim_boundary,target_language_or_access_target; source_language,,populate missing source witness provenance from URLs/hashes/license/access evidence or downgrade to explicit gap/blocker,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
explicit_gap_blocker_or_support_context,P1_source_witness_provenance_gap,noether-olp-relation-function-support,noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv,11,11,row_index_1_based,K-SCW-011,,parent output: OPEN_TRANSLATION_REVIEW_ONLY_SOURCE_COORDINATE_SCAN_ROUTER_20260703T081500Z,,current_row_context_pattern_review_only_infrastructure,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,evidence_tier; source_type; sha256_or_other_hash; non_claim_boundary,target_language_or_access_target; source_language,,retain as explicit gap/blocker/support row; do not harden as an active target-language source witness unless owner lane changes applicability,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
explicit_gap_blocker_or_support_context,P1_source_witness_provenance_gap,noether-olp-relation-function-support,noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv,12,12,row_index_1_based,K-SCW-012,,parent output: OPEN_TRANSLATION_PROOF_LITERACY_SOURCE_COORDINATE_POLICY_SHEET_20260703T084500Z,,current_row_context_pattern_review_only_infrastructure,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,evidence_tier; source_type; sha256_or_other_hash; non_claim_boundary,target_language_or_access_target; source_language,,retain as explicit gap/blocker/support row; do not harden as an active target-language source witness unless owner lane changes applicability,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
explicit_gap_blocker_or_support_context,P1_source_witness_provenance_gap,noether-olp-relation-function-support,noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv,13,13,row_index_1_based,K-SCW-013,,parent output: SEMI_CONSTRUCTED_RELATION_FUNCTION_REVIEW_ONLY_SLOT_RETURN_LEDGER_TEMPLATE_20260703T071500Z,,current_row_context_pattern_review_only_infrastructure,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,evidence_tier; source_type; sha256_or_other_hash; non_claim_boundary,target_language_or_access_target; source_language,,retain as explicit gap/blocker/support row; do not harden as an active target-language source witness unless owner lane changes applicability,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_unresolved_provenance_gap,P1_source_witness_provenance_gap,noether-olp-relation-function-support,noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv,14,14,row_index_1_based,K-SCW-014,,parent output: CONTEXT_NOTE_CONFIRMATION_RETURN_LEDGER_TEMPLATE_FRENCH_JAPANESE_20260703,,source_witness_or_schema_hardening_row,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,evidence_tier; source_type; sha256_or_other_hash; non_claim_boundary,target_language_or_access_target; source_language,,populate missing source witness provenance from URLs/hashes/license/access evidence or downgrade to explicit gap/blocker,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_unresolved_provenance_gap,P1_source_witness_provenance_gap,noether-olp-relation-function-support,noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv,15,15,row_index_1_based,K-SCW-015,,parent output: NOETHER_NON_SLAVIC_INTERLANGUAGE_FRONTIER_AUDIT_20260703,,source_witness_or_schema_hardening_row,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,evidence_tier; source_type; sha256_or_other_hash; non_claim_boundary,target_language_or_access_target; source_language,,populate missing source witness provenance from URLs/hashes/license/access evidence or downgrade to explicit gap/blocker,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_unresolved_provenance_gap,P1_source_witness_provenance_gap,noether-olp-relation-function-support,noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv,16,16,row_index_1_based,K-SCW-016,,parent output: MALAY_INDONESIAN_OPERATOR_SLOT_FUNCTION_DOMAIN_RETURN_LEDGER_TEMPLATE_V2_20260701T091500Z,,source_witness_or_schema_hardening_row,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,evidence_tier; source_type; sha256_or_other_hash; non_claim_boundary,target_language_or_access_target; source_language,,populate missing source witness provenance from URLs/hashes/license/access evidence or downgrade to explicit gap/blocker,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
explicit_gap_blocker_or_support_context,P1_source_witness_provenance_gap,noether-olp-relation-function-support,noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv,17,17,row_index_1_based,K-SCW-017,,SESSION_K_REVIEWER_RETURN_INTAKE_TEMPLATE_20260704,,current_row_context_pattern_review_only_infrastructure,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,evidence_tier; source_type; sha256_or_other_hash; non_claim_boundary,target_language_or_access_target; source_language,,retain as explicit gap/blocker/support row; do not harden as an active target-language source witness unless owner lane changes applicability,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
explicit_gap_blocker_or_support_context,P1_source_witness_provenance_gap,noether-r3-arabic-persianate-linear-algebra,noether-r3-arabic-persianate-linear-algebra/outputs/R3_SOURCE_CANON_PROGRAM_ALIGNMENT_20260704T201340Z/R3_SOURCE_CANON_REQUIRED_SHAPE_WITNESS_TABLE_20260704T201340Z.json,18,18,row_index_1_based,KNU OPAC candidate PDF 8809.PDF for جبر خطی,"Dari/Afghan Persian, prs_AF",https://library.knu.edu.af/opac/temp/8809.PDF,false,current_row_marks_is_target_language_witness_false,sha256_or_other_hash,sha256_or_other_hash,,sha256_or_other_hash,,retain as explicit gap/blocker/support row; do not harden as an active target-language source witness unless owner lane changes applicability,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_schema_normalization_gap,P1_source_witness_provenance_gap,noether-r6-indigenous-creole-sign,noether-r6-indigenous-creole-sign/outputs/NOETHER_R6_SOURCE_CANON_STRICT_PROVENANCE_WITNESS_TABLE_20260704.csv,1,1,row_index_1_based,Jamaica Early Childhood Curriculum Guide 4-5,Creole/contact; Jamaican Creole / Jamaican Patois,https://moey.gov.jm/wp-content/uploads/2015/04/JECCG_Four-to-Five-Year-Old__final_intrnt.pdf,,source_witness_or_schema_hardening_row,target_language_or_access_target; topic_tags; source_type; license_or_access_signal; source_language; non_claim_boundary,target_language_or_access_target; topic_tags; source_type; license_or_access_signal; source_language; non_claim_boundary,target_language_or_access_target; topic_tags; source_type; license_or_access_signal; source_language; non_claim_boundary,,,copy/normalize existing alias evidence into exact required source-canon fields; no new translation work,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_schema_normalization_gap,P1_source_witness_provenance_gap,noether-r6-indigenous-creole-sign,noether-r6-indigenous-creole-sign/outputs/NOETHER_R6_SOURCE_CANON_STRICT_PROVENANCE_WITNESS_TABLE_20260704.csv,2,2,row_index_1_based,Jamaica current STEM project stakeholder plan,Creole/contact; Jamaican Creole / Jamaican Patois,https://moey.gov.jm/wp-content/uploads/2025/06/SEP-Jamaica-Education-Project-P178595-16-JUN-2025.pdf,,source_witness_or_schema_hardening_row,target_language_or_access_target; topic_tags; source_type; license_or_access_signal; source_language; non_claim_boundary,target_language_or_access_target; topic_tags; source_type; license_or_access_signal; source_language; non_claim_boundary,target_language_or_access_target; topic_tags; source_type; license_or_access_signal; source_language; non_claim_boundary,,,copy/normalize existing alias evidence into exact required source-canon fields; no new translation work,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_schema_normalization_gap,P1_source_witness_provenance_gap,noether-r6-indigenous-creole-sign,noether-r6-indigenous-creole-sign/outputs/NOETHER_R6_SOURCE_CANON_STRICT_PROVENANCE_WITNESS_TABLE_20260704.csv,3,3,row_index_1_based,MIT-Ayiti Matematik subject index,Creole/contact; Kreyol / Haitian Creole,https://mit-ayiti.net/matye/matematik/,,source_witness_or_schema_hardening_row,target_language_or_access_target; topic_tags; source_type; license_or_access_signal; source_language; non_claim_boundary,target_language_or_access_target; topic_tags; source_type; license_or_access_signal; source_language; non_claim_boundary,target_language_or_access_target; topic_tags; source_type; license_or_access_signal; source_language; non_claim_boundary,,,copy/normalize existing alias evidence into exact required source-canon fields; no new translation work,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_schema_normalization_gap,P1_source_witness_provenance_gap,noether-r6-indigenous-creole-sign,noether-r6-indigenous-creole-sign/outputs/NOETHER_R6_SOURCE_CANON_STRICT_PROVENANCE_WITNESS_TABLE_20260704.csv,4,4,row_index_1_based,MIT-Ayiti math teaching article,Creole/contact; Kreyol / Haitian Creole,https://mit-ayiti.net/anseyman-matematik/,,source_witness_or_schema_hardening_row,target_language_or_access_target; topic_tags; source_type; license_or_access_signal; source_language; non_claim_boundary,target_language_or_access_target; topic_tags; source_type; license_or_access_signal; source_language; non_claim_boundary,target_language_or_access_target; topic_tags; source_type; license_or_access_signal; source_language; non_claim_boundary,,,copy/normalize existing alias evidence into exact required source-canon fields; no new translation work,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
