severity,filename,pages,bytes,text_chars,blankish_pages,visible_markup_pages,raw_tex_math_pages,process_note_pages,tofu_pages,bbox_overrun_pages,tiny_text_pages,median_font_size,max_font_size,reasons,recommended_action,flagged_pages,sha256
review,60-02 Islamic Original - al-Khwarizmi - Algebra.pdf,31,212322,45807,0,0,0,0,0,0,0,10.91,56.11,"[""very large font span; check title/page scaling""]","Open the PDF and compare against the TeX/source material. Rebuild only if the replacement is visibly better; keep the same human title pattern; remove process notes, visible raw TeX, tofu squares, empty pages, and obvious overflow.",[],f34e08d4d22f1b016b109de404afaf3d342788ee1ef1c9ed70ab95e40077e647
review,60-06 Islamic Original - Rosen - Algebra of Mohammed Ben Musa.pdf,42,305968,145705,0,0,0,0,0,0,0,10.91,49.22,"[""very large font span; check title/page scaling""]","Open the PDF and compare against the TeX/source material. Rebuild only if the replacement is visibly better; keep the same human title pattern; remove process notes, visible raw TeX, tofu squares, empty pages, and obvious overflow.",[],808150723a7d58fcb2d9e0941b104909d91f7b4b9a3d15244b4d810015595092
review,60-07 Islamic Original - Robert of Chester and Karpinski.pdf,28,158669,56201,0,0,0,0,0,0,1,10.91,49.22,"[""very large font span; check title/page scaling""]","Open the PDF and compare against the TeX/source material. Rebuild only if the replacement is visibly better; keep the same human title pattern; remove process notes, visible raw TeX, tofu squares, empty pages, and obvious overflow.",[13],c8469610b4e0ea5f14fb92426a4109572037789ff9ff46b7da2ba9c022515e8d
ok,"10-01 English Translation - Nine Chapters, vols. 1-9.pdf",100,950809,167449,0,0,0,0,0,0,0,10.91,35.87,[],No immediate web-session repair needed.,[],68e5937ea7249801410718662479a69f1e609f2f21fd9d740830ae026afd4eaa
ok,"10-02 English Translation - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",144,1326538,333327,0,0,0,0,0,0,0,9.96,35.87,[],No immediate web-session repair needed.,[],8db9b86e0d5e8a94f6639ead0dbb65fbb33675d31b82ea022791b04c70abcf28
ok,"10-03 English Translation - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",118,1180873,202945,0,0,0,0,0,0,0,10.91,31.88,[],No immediate web-session repair needed.,[],a893c7f418be14ae1a89d5f82d707b5397ba9652ef0760d61debd44b99544daa
ok,10-04 English Translation - Sunzi Suanjing.pdf,23,293401,32199,0,0,0,0,0,0,0,10.91,31.88,[],No immediate web-session repair needed.,[],2a3b881accd4fb91048a18f062679e9937e7a4640fb5e3e65cd07956a1a70510
ok,"10-05 English Translation - Yang Hui - Xiangjie, parts 1-3.pdf",64,869927,93883,0,0,0,0,0,0,1,9.96,24.79,[],No immediate web-session repair needed.,[9],7c65155dc241387f0636c9d12133f1af3a5d9e75038326286b9ffa60d007d5a2
ok,"10-06 English Translation - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",68,612232,150082,0,0,0,0,0,0,0,8.97,27.9,[],No immediate web-session repair needed.,[],969098c166817c09731f9a6e222cc586834d0cf93bcfb127f49baf29fcdc8405
ok,10-07 English Translation - Aryabhata - Aryabhatiya.pdf,18,133934,25201,0,0,0,0,0,0,0,9.96,39.45,[],No immediate web-session repair needed.,[],620d23556311e78d6e886c4835304f8148d93446acdd0a52e1aa7a52448b7300
ok,10-09 English Translation - Bhaskara II - Lilavati.pdf,23,143304,27400,0,0,0,0,0,0,0,10.91,31.88,[],No immediate web-session repair needed.,[],d1a600074a90669f2560f7901a2de5de3260d26c324b8763ac5a861bac76bf03
ok,10-10 English Translation - Brahmagupta - Brahmasphutasiddhanta.pdf,165,498153,306902,0,0,0,0,0,0,0,9.96,24.79,[],No immediate web-session repair needed.,[],45bfb84e31b6ad4d834d89fdb6fc5c5f1bf7a227dd422793ff4e9f2a35c90467
ok,10-11 English Translation - al-Kashi - Miftah al-Hisab.pdf,14,75462,30903,0,0,0,0,0,0,0,10.2,20.0,[],No immediate web-session repair needed.,[],bddccac34699002f361fa28b31dee64165c7b4d450c53fd44fa97a3f7b6e9a6c
ok,10-12 English Translation - al-Khwarizmi - Algebra.pdf,33,212840,49771,0,0,0,0,0,0,0,10.91,30.75,[],No immediate web-session repair needed.,[],fbe89616cc71fa449d039d37d2941e007315c0900c8d765a826bd5840cadec88
ok,10-13 English Translation - al-Tusi - Shakl al-Qatta.pdf,22,216804,39895,0,0,0,0,0,0,0,10.91,23.91,[],No immediate web-session repair needed.,[],6390e7e2b43369e030123cab224cddab9f9ba30cebcd9bc5cf9e35e5017e1a71
ok,10-15 English Translation - Omar Khayyam - Treatise on Algebra.pdf,15,125405,19139,0,0,0,0,0,0,0,10.91,24.79,[],No immediate web-session repair needed.,[],28df2cbc08fde1734eb7d1caccb5a9f7766aa8e1f7bb334394bf8976c7df8990
ok,10-17 English Translation - Ruska - Oldest Arabic Algebra.pdf,50,394504,298156,0,0,0,0,0,0,0,9.96,24.79,[],No immediate web-session repair needed.,[],5315b1ecae2e82955f412a0ee0af208d4428c0644fb9666770a2993ac9344af2
ok,10-18 English Translation - al-Muqaddasi - Ahsan al-Taqasim.pdf,15,128368,22034,0,0,0,0,0,0,0,10.91,24.79,[],No immediate web-session repair needed.,[],4324a942841997de70ce3986042dd8988f186aff6d517210f5538388d249a106
ok,10-19 English Translation - Ibn al-Nadim - Kitab al-Fihrist.pdf,19,171538,34385,0,0,0,0,0,0,0,10.91,27.27,[],No immediate web-session repair needed.,[],141c6a76eb400107eea5b237e66a3bc66f1543a83374162ffdfdace4e2ccdb9d
ok,10-20 English Translation - Said al-Andalusi - Tabaqat al-Umam.pdf,12,128103,24601,0,0,0,0,0,0,0,10.91,24.79,[],No immediate web-session repair needed.,[],a7074cac30556d58c42f4280eed47ffe4194f38db2f4f0242a7ef8168e6265e2
ok,10-21 English Translation - Smith-Karpinski - Numerals.pdf,16,130523,33376,0,0,0,0,0,0,0,10.91,24.79,[],No immediate web-session repair needed.,[],62a1d01f3447e90b59c0d2f1522eac97a43c29f6b521d2b399241aba82109808
ok,"20-01 Modern Chinese - Nine Chapters, vols. 1-9.pdf",35,592080,45451,0,0,0,0,0,0,0,9.96,14.35,[],No immediate web-session repair needed.,[],faffde82add5ef555192ccd6df0b3fa2561c5117666116a1a853f43232bdeca8
ok,"20-02 Modern Chinese - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",84,1050145,119670,0,0,0,0,0,0,0,10.91,35.87,[],No immediate web-session repair needed.,[],e089209dfc60827b0eb8bc66bf1c9a942580eb8c8bd149a6ba8dc157a40f002d
ok,20-05 Modern Chinese - Sunzi Suanjing.pdf,16,216732,10897,0,0,0,0,0,0,0,10.91,31.88,[],No immediate web-session repair needed.,[],908c284156a2d559e9c9c31b567a20336f8d42ca13b600d587d4ca22c7c9f9c9
ok,"20-06 Modern Chinese - Yang Hui - Xiangjie, parts 1-3.pdf",77,932691,51616,0,0,0,0,0,0,0,10.91,24.79,[],No immediate web-session repair needed.,[],8edc3af8c27c07bf5263954180dce99ef7bc6d486616939c6f780906baf25a28
ok,"20-07 Modern Chinese - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",38,566083,46503,0,0,0,0,0,0,0,10.91,25.9,[],No immediate web-session repair needed.,[],39653bf763f670c38f23b5bc50e612e6256772a46d59965be71e0d2d16b9ea32
ok,"30-01 Arabic Translation - Li Ye - Ceyuan Haijing, vols. 1-6 and 10-12.pdf",83,798856,147660,0,0,0,0,0,0,0,10.91,35.87,[],No immediate web-session repair needed.,[],14ae83ad2d5066d741bb37132cda82d12d2eadabd93bb4f5dd7eab4ccb45cf4e
ok,"30-02 Arabic Translation - Qin - Shuxue Jiuzhang, fasc. 1 and 4.pdf",26,1484293,84011,0,0,0,0,0,0,0,9.56,30.8,[],No immediate web-session repair needed.,[],362d6ca54b068fdf704f73901da1f2c96bf42d189371ef47265432857bd6a2ed
ok,"30-03 Arabic Translation - Yang Hui - Xiangjie, part 1.pdf",27,348402,36219,0,0,0,0,0,0,0,11.46,17.22,[],No immediate web-session repair needed.,[],6bea3d2cbdbad03abc30d116960d802c4e3353294506b39c82ea5520f42d03a2
ok,30-04 Arabic Translation - al-Kashi - Miftah al-Hisab.pdf,29,178540,25969,0,0,0,0,0,0,0,10.91,30.13,[],No immediate web-session repair needed.,[],ad478a6d50dd9c8aa16a0d8e78757504cd1bf2f073f46d358305ee7ef6e6f4de
ok,30-05 Arabic Translation - al-Khwarizmi - Algebra.pdf,42,202197,56869,0,0,0,0,0,0,0,9.96,27.9,[],No immediate web-session repair needed.,[],36d09bf6704ee1f2addaa4632dce2691d20148ff86ec211366591503a9ed9222
ok,30-06 Arabic Translation - Omar Khayyam - Treatise on Algebra.pdf,14,129875,15441,0,0,0,0,0,0,0,10.91,24.79,[],No immediate web-session repair needed.,[],8a8d10050e229681a58871c2f2708cabf109733c0605a6e0e1684e7133a2c13c
ok,"40-02 Chinese Original - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",90,824739,95841,0,0,0,0,0,0,0,10.91,35.87,[],No immediate web-session repair needed.,[],cb26f8a71e3bbdd3dacbd7ee23f1ab98d60781bd017538935d8e2b4b478090e2
ok,40-03 Chinese Original - Li Ye - Ceyuan Haijing Fenlei Shishu.pdf,111,658888,103600,0,0,0,0,0,0,0,10.91,35.87,[],No immediate web-session repair needed.,[],63430e8505b8ac4f0f4e3dddac3439afb5b2c359f6aae8eceffcc4dfa13333cd
ok,40-04 Chinese Original - Li Ye - Ceyuan Haijing geometry.pdf,6,1532132,6404,0,0,0,0,0,0,0,10.52,15.15,[],No immediate web-session repair needed.,[],8f63c1ad8ff57a0532a7480289445d6fbb236348e72a09717c502b69d7302280
ok,"40-05 Chinese Original - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",102,1215191,119411,0,0,0,0,0,0,0,10.91,24.79,[],No immediate web-session repair needed.,[],2ad75284101f0734a68a45d988cb0e4ac7d18857b29ac929eb5e2ede4671ed8e
ok,40-06 Chinese Original - Sunzi Suanjing.pdf,32,262001,33441,0,0,0,0,0,0,0,10.91,37.86,[],No immediate web-session repair needed.,[],66c0f854b7867b4d4080c23bb2173f351c2a838a51a05105ec9ab7034811a8e6
ok,"40-07 Chinese Original - Yang Hui - Xiangjie, parts 1-3.pdf",85,829803,94606,0,0,0,0,0,0,0,9.96,24.79,[],No immediate web-session repair needed.,[],7a5835f7adf9c025a69139b890f0a876fe5168bd3c30a2e8b02522a2030ee193
ok,"40-08 Chinese Original - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",49,3190438,53408,0,0,0,0,0,0,0,10.91,27.9,[],No immediate web-session repair needed.,[],0f70472e0dc6c0a0d9f7e69b711339baa5824796d3aad9d96ae0a904758dab8d
ok,50-01 Indian Original - Aryabhata - Aryabhatiya.pdf,18,142119,25428,0,0,0,0,0,0,0,9.96,40.17,[],No immediate web-session repair needed.,[],387d171a02b588321407d1c0ad4b0335485fa08558ceadc9ea645883131a2e94
ok,50-03 Indian Original - Bhaskara II - Lilavati.pdf,16,143495,29342,0,0,0,0,0,0,0,9.96,29.29,[],No immediate web-session repair needed.,[],9ef79e8f5f5b9d7b51b0d9f63b00fefbcaafc4f4e5fdd30a98d2403e79a13b61
ok,60-03 Islamic Original - al-Tusi - Shakl al-Qatta.pdf,16,165758,29009,0,0,0,0,0,0,0,10.91,27.9,[],No immediate web-session repair needed.,[],7e12b41ac3b7d197c2d220f140640723ce2104b060390c4a21f1dc9390d7647a
ok,60-04 Islamic Original - Omar Khayyam - Treatise on Algebra.pdf,15,125405,19139,0,0,0,0,0,0,0,10.91,24.79,[],No immediate web-session repair needed.,[],28df2cbc08fde1734eb7d1caccb5a9f7766aa8e1f7bb334394bf8976c7df8990
ok,60-05 Islamic Original - Ruska - Oldest Arabic Algebra (1917).pdf,60,403612,191069,0,0,0,0,0,0,0,10.91,24.79,[],No immediate web-session repair needed.,[],08526de0cf431d980a39a2152eaa25289630078ebd3643741c95739f8f28dc05
ok,70-01 Reference Text - Said al-Andalusi - Tabaqat al-Umam.pdf,15,144130,27996,0,0,0,0,0,0,0,10.91,28.5,[],No immediate web-session repair needed.,[],ef9849b965ff25fc05023aabb6ab9232c85ad917e53c036d8b369ae94ff45ca6
ok,70-02 Reference Text - al-Muqaddasi - Ahsan al-Taqasim.pdf,10,111398,18720,0,0,0,0,0,0,0,9.96,20.66,[],No immediate web-session repair needed.,[],f3b913a562b8394c5ecc1a851ce32a40806b4dacbbc99a2259478392260ed14f
ok,70-03 Reference Text - Ibn al-Nadim - Kitab al-Fihrist.pdf,11,124530,17633,0,0,0,0,0,0,0,10.91,22.0,[],No immediate web-session repair needed.,[],1b5e40c0cb525bd3f7f5690bbe101631cc2d1c643e2447527ccdc9209daa164a
ok,70-04 Reference Text - Ibn al-Qifti - Tarikh al-Hukama.pdf,10,108365,18075,0,0,0,0,0,0,0,10.91,24.79,[],No immediate web-session repair needed.,[],654e9f7e60c22f241a66e1e8bb99cbc83b132760c3db672f9d4299eb60f5eb18
ok,70-05 Reference Text - Smith-Karpinski - Numerals.pdf,23,136739,77926,0,0,0,0,0,0,0,10.91,24.79,[],No immediate web-session repair needed.,[],db4a134cbca2618cb0483bfe45014562b41c5ba2798d5c19cda4a35a5d766521
