record,filename,class_hint,pages,text_pages,median_body_size,p10_body_size,p90_body_size,page_median_min,page_median_max,page_median_range,page_size_set,likely_scan_or_reference,warnings,bytes,path
non_eu,"30-01 Arabic Translation - Li Ye - Ceyuan Haijing, vols. 1-6 and 10-12.pdf",reader,83,83,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,798856,"local workspace path, vols. 1-6 and 10-12.pdf"
non_eu,"30-02 Arabic Translation - Qin - Shuxue Jiuzhang, fasc. 1 and 4.pdf",reader,26,26,8.61,8.61,9.56,8.61,10.47,1.86,595x842,False,inconsistent-page-font-size,1484293,"local workspace path, fasc. 1 and 4.pdf"
non_eu,"30-03 Arabic Translation - Yang Hui - Xiangjie, part 1.pdf",reader,27,27,11.46,11.46,12.55,11.46,12.55,1.09,595x842,False,,348402,"local workspace path, part 1.pdf"
non_eu,30-04 Arabic Translation - al-Kashi - Miftah al-Hisab.pdf,reader,29,29,11.78,10.91,11.78,10.91,11.78,0.87,595x842,False,,178540,local workspace path
non_eu,30-05 Arabic Translation - al-Khwarizmi - Algebra.pdf,reader,42,42,9.96,9.96,10.91,8.97,11.96,2.99,595x842,False,inconsistent-page-font-size,202197,local workspace path
non_eu,30-06 Arabic Translation - Omar Khayyam - Treatise on Algebra.pdf,reader,14,14,10.91,10.91,10.91,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,129875,local workspace path
non_eu,"40-01 Chinese Original - Nine Chapters, vols. 1-9.pdf",reader,77,74,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,776765,"local workspace path, vols. 1-9.pdf"
non_eu,"40-02 Chinese Original - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",reader,90,90,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,824739,"local workspace path, vols. 1-12.pdf"
non_eu,40-03 Chinese Original - Li Ye - Ceyuan Haijing Fenlei Shishu.pdf,reader,111,108,10.91,10.91,11.96,10.91,11.96,1.05,595x842,False,,658888,local workspace path
non_eu,40-04 Chinese Original - Li Ye - Ceyuan Haijing geometry.pdf,reader,6,6,10.52,10.52,10.52,10.52,10.52,0.0,595x842,False,,1532132,local workspace path
non_eu,"40-05 Chinese Original - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",reader,102,100,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,1215191,"local workspace path, fasc. 1-9.pdf"
non_eu,40-06 Chinese Original - Sunzi Suanjing.pdf,reader,32,32,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,262001,local workspace path
non_eu,"40-07 Chinese Original - Yang Hui - Xiangjie, parts 1-3.pdf",reader,85,85,10.91,9.96,10.91,9.96,10.91,0.95,595x842,False,,829803,"local workspace path, parts 1-3.pdf"
non_eu,"40-08 Chinese Original - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",reader,49,49,10.91,10.91,10.91,10.91,11.96,1.05,595x842,False,,3190438,"local workspace path, parts 1-2.pdf"
non_eu,50-01 Indian Original - Aryabhata - Aryabhatiya.pdf,reader,18,18,9.96,9.96,9.96,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,142119,local workspace path
non_eu,"50-02 Indian Original - Bhaskara II - Bijaganita, parts 1-3.pdf",reader,59,59,10.91,10.91,12.55,10.31,13.75,3.44,595x842,False,inconsistent-page-font-size,404097,"local workspace path, parts 1-3.pdf"
non_eu,50-03 Indian Original - Bhaskara II - Lilavati.pdf,reader,16,16,9.96,9.96,9.96,8.97,9.96,0.99,595x842,False,,143495,local workspace path
non_eu,50-04 Indian Original - Brahmagupta - Brahmasphutasiddhanta.pdf,reader,279,257,10.91,10.91,12.55,9.96,13.75,3.79,595x842,False,inconsistent-page-font-size,1624656,local workspace path
non_eu,60-01 Islamic Original - al-Kashi - Miftah al-Hisab.pdf,reader,27,27,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,216035,local workspace path
non_eu,60-02 Islamic Original - al-Khwarizmi - Algebra.pdf,reader,31,31,10.91,10.76,10.91,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,212322,local workspace path
non_eu,60-03 Islamic Original - al-Tusi - Shakl al-Qatta.pdf,reader,16,16,10.91,10.91,11.45,10.91,11.96,1.05,595x842,False,,165758,local workspace path
non_eu,60-04 Islamic Original - Omar Khayyam - Treatise on Algebra.pdf,reader,15,15,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,125405,local workspace path
non_eu,60-05 Islamic Original - Ruska - Oldest Arabic Algebra (1917).pdf,reader,60,60,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,403612,local workspace path
non_eu,60-06 Islamic Original - Rosen - Algebra of Mohammed Ben Musa.pdf,reader,42,42,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,305968,local workspace path
non_eu,60-07 Islamic Original - Robert of Chester and Karpinski.pdf,reader,28,27,10.91,10.91,10.91,9.96,14.35,4.39,595x842,False,inconsistent-page-font-size,158669,local workspace path
non_eu,"60-08 Islamic and Arabic Work - al-Battani - Opus Astronomicum, Segments 1-42.pdf",reader,125,125,6.97,6.97,10.91,6.97,11.96,4.99,595x842,False,body-font-small;inconsistent-page-font-size;wide-font-size-spread,3883011,"local workspace path, Segments 1-42.pdf"
non_eu,70-01 Reference Text - Said al-Andalusi - Tabaqat al-Umam.pdf,reader,15,15,11.96,10.91,12.55,10.91,13.75,2.84,595x842,False,inconsistent-page-font-size,144130,local workspace path
non_eu,70-02 Reference Text - al-Muqaddasi - Ahsan al-Taqasim.pdf,reader,10,10,11.16,9.96,11.16,9.96,12.22,2.26,595x842,False,inconsistent-page-font-size,111398,local workspace path
non_eu,70-03 Reference Text - Ibn al-Nadim - Kitab al-Fihrist.pdf,reader,11,11,10.91,10.91,10.91,10.91,11.96,1.05,595x842,False,,124530,local workspace path
non_eu,70-04 Reference Text - Ibn al-Qifti - Tarikh al-Hukama.pdf,reader,10,10,10.91,10.91,10.91,10.91,12.0,1.09,595x842,False,,108365,local workspace path
non_eu,70-05 Reference Text - Smith-Karpinski - Numerals.pdf,reader,23,23,10.91,10.91,10.91,8.97,10.91,1.94,595x842,False,inconsistent-page-font-size,136739,local workspace path
