pdf,slug,bytes,pages,sample_pages,sample_count,render_failures,blankish_sample_pages,dark_or_inverted_sample_pages,median_black_fraction,median_trim_area_fraction,pdftotext_ok,chars_no_space,line_count,median_line_length,short_line_ratio_le8,looks_like_json_dump,looks_like_tex_dump,text_extract_file,contact_sheet,flags,verdict
10-10 English Translation - Brahmagupta - Brahmasphutasiddhanta.pdf,10-10 English Translation - Brahmagupta - Brahmasphutasiddhanta,498153,165,1;2;3;4;5;11;20;30;40;49;59;69;78;88;97;107;117;126;136;146;155;161;162;163;164;165,26,0,0,0,0.09171,0.6537,True,273425,4776,70.0,0.1066,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-10 English Translation - Brahmagupta - Brahmasphutasiddhanta.txt,,,clean_candidate
10-11 English Translation - al-Kashi - Miftah al-Hisab.pdf,10-11 English Translation - al-Kashi - Miftah al-Hisab,75462,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,14,0,0,0,0.09906,0.68064,True,26425,497,68.0,0.0262,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-11 English Translation - al-Kashi - Miftah al-Hisab.txt,,,clean_candidate
10-12 English Translation - al-Khwarizmi - Algebra.pdf,10-12 English Translation - al-Khwarizmi - Algebra,212840,33,1;2;3;4;5;7;9;10;12;14;16;18;20;22;24;25;27;29;30;31;32;33,22,0,0,0,0.06137,0.64979,True,50019,2674,12.0,0.1978,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-12 English Translation - al-Khwarizmi - Algebra.txt,,,clean_candidate
10-13 English Translation - al-Tusi - Shakl al-Qatta.pdf,10-13 English Translation - al-Tusi - Shakl al-Qatta,216804,22,1;2;3;4;5;6;7;8;10;11;12;13;15;16;17;18;19;20;21;22,20,0,0,0,0.05368,0.53965,True,38725,1210,30.0,0.2264,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-13 English Translation - al-Tusi - Shakl al-Qatta.txt,,,clean_candidate
10-14 English Translation - Robert of Chester and Karpinski.pdf,10-14 English Translation - Robert of Chester and Karpinski,158669,28,1;2;3;4;5;6;7;9;11;12;14;15;17;18;20;22;23;24;25;26;27;28,22,0,0,0,0.06061,0.51897,True,46638,937,59.0,0.1878,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-14 English Translation - Robert of Chester and Karpinski.txt,,,clean_candidate
10-15 English Translation - Omar Khayyam - Treatise on Algebra.pdf,10-15 English Translation - Omar Khayyam - Treatise on Algebra,125405,15,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,15,0,0,0,0.03173,0.51315,True,17897,756,13.0,0.1587,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-15 English Translation - Omar Khayyam - Treatise on Algebra.txt,,,clean_candidate
10-16 English Translation - Rosen - Algebra of Mohammed Ben Musa.pdf,10-16 English Translation - Rosen - Algebra of Mohammed Ben Musa,305968,42,1;2;3;4;5;6;8;11;13;15;18;20;23;25;28;30;32;35;37;38;39;40;41;42,24,0,0,0,0.11291,0.6365,True,120532,2216,95.0,0.25,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-16 English Translation - Rosen - Algebra of Mohammed Ben Musa.txt,,,clean_candidate
10-17 English Translation - Ruska - Oldest Arabic Algebra.pdf,10-17 English Translation - Ruska - Oldest Arabic Algebra,394504,50,1;2;3;4;5;7;10;13;15;18;21;24;27;30;33;36;38;41;44;46;47;48;49;50,24,0,0,0,0.18072,0.83037,True,267737,4258,64.0,0.0474,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-17 English Translation - Ruska - Oldest Arabic Algebra.txt,,,clean_candidate
10-18 English Translation - al-Muqaddasi - Ahsan al-Taqasim.pdf,10-18 English Translation - al-Muqaddasi - Ahsan al-Taqasim,128368,15,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,15,0,0,0,0.03829,0.39389,True,23181,596,42.0,0.1309,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-18 English Translation - al-Muqaddasi - Ahsan al-Taqasim.txt,,,clean_candidate
10-19 English Translation - Ibn al-Nadim - Kitab al-Fihrist.pdf,10-19 English Translation - Ibn al-Nadim - Kitab al-Fihrist,171538,19,1;2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19,18,0,0,0,0.06823,0.53984,True,35650,1749,12.0,0.0555,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-19 English Translation - Ibn al-Nadim - Kitab al-Fihrist.txt,,,clean_candidate
10-20 English Translation - Said al-Andalusi - Tabaqat al-Umam.pdf,10-20 English Translation - Said al-Andalusi - Tabaqat al-Umam,128103,12,1;2;3;4;5;6;7;8;9;10;11;12,12,0,0,0,0.05615,0.37401,True,40266,1164,31.0,0.262,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-20 English Translation - Said al-Andalusi - Tabaqat al-Umam.txt,,,clean_candidate
10-21 English Translation - Smith-Karpinski - Numerals.pdf,10-21 English Translation - Smith-Karpinski - Numerals,130523,16,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,16,0,0,0,0.06623,0.48306,True,28042,856,9.0,0.4977,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-21 English Translation - Smith-Karpinski - Numerals.txt,,,clean_candidate
"20-01 Modern Chinese - Nine Chapters, vols. 1-9.pdf","20-01 Modern Chinese - Nine Chapters, vols. 1-9",592080,35,1;2;3;4;5;7;9;11;13;15;17;19;21;23;25;27;29;31;32;33;34;35,22,0,0,0,0.16953,0.72633,True,120284,2454,57.0,0.0803,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\20-01 Modern Chinese - Nine Chapters, vols. 1-9.txt",,,clean_candidate
"20-02 Modern Chinese - Li Ye - Ceyuan Haijing, vols. 1-12.pdf","20-02 Modern Chinese - Li Ye - Ceyuan Haijing, vols. 1-12",1050145,84,1;2;3;4;5;6;11;16;21;25;30;35;40;45;50;55;60;64;69;74;79;80;81;82;83;84,26,0,0,0,0.17424,0.7452,True,325763,6034,43.5,0.123,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\20-02 Modern Chinese - Li Ye - Ceyuan Haijing, vols. 1-12.txt",,,clean_candidate
20-03 Modern Chinese - Li Ye - Ceyuan Haijing Fenlei Shishu.pdf,20-03 Modern Chinese - Li Ye - Ceyuan Haijing Fenlei Shishu,719908,104,1;2;3;4;5;7;13;19;25;31;37;43;49;56;62;68;74;80;86;92;98;100;101;102;103;104,26,0,0,0,0.10176,0.72161,True,243042,5465,45.0,0.0721,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\20-03 Modern Chinese - Li Ye - Ceyuan Haijing Fenlei Shishu.txt,,,clean_candidate
"20-04 Modern Chinese - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf","20-04 Modern Chinese - Qin - Shuxue Jiuzhang, fasc. 1-9",1442584,132,1;2;3;4;5;9;16;24;32;40;47;55;63;70;78;86;93;101;109;117;124;128;129;130;131;132,26,0,0,0,0.08053,0.66528,True,313409,6381,54.0,0.0915,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\20-04 Modern Chinese - Qin - Shuxue Jiuzhang, fasc. 1-9.txt",,,clean_candidate
20-05 Modern Chinese - Sunzi Suanjing.pdf,20-05 Modern Chinese - Sunzi Suanjing,216732,16,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,16,0,0,0,0.2729,0.50352,True,29394,736,42.0,0.1386,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\20-05 Modern Chinese - Sunzi Suanjing.txt,,,clean_candidate
"20-06 Modern Chinese - Yang Hui - Xiangjie, parts 1-3.pdf","20-06 Modern Chinese - Yang Hui - Xiangjie, parts 1-3",932691,77,1;2;3;4;5;10;14;19;23;28;32;37;41;46;50;55;59;64;68;73;74;75;76;77,24,0,0,0,0.10257,0.63197,True,126446,3704,36.0,0.1785,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\20-06 Modern Chinese - Yang Hui - Xiangjie, parts 1-3.txt",,,clean_candidate
"20-07 Modern Chinese - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf","20-07 Modern Chinese - Zhu Shijie - Suanxue Qimeng, parts 1-2",566083,38,1;2;3;4;5;8;10;12;14;16;18;21;23;25;27;29;31;34;35;36;37;38,22,0,0,0,0.11193,0.61536,True,98547,3512,13.0,0.4092,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\20-07 Modern Chinese - Zhu Shijie - Suanxue Qimeng, parts 1-2.txt",,,clean_candidate
"30-01 Arabic Translation - Li Ye - Ceyuan Haijing, vols. 1-6 and 10-12.pdf","30-01 Arabic Translation - Li Ye - Ceyuan Haijing, vols. 1-6 and 10-12",798856,83,1;2;3;4;5;6;11;15;20;25;30;35;40;44;49;54;59;64;69;73;78;79;80;81;82;83,26,0,0,0,0.10385,0.69582,True,449250,6820,60.0,0.0777,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\30-01 Arabic Translation - Li Ye - Ceyuan Haijing, vols. 1-6 and 10-12.txt",,,clean_candidate
"30-02 Arabic Translation - Qin - Shuxue Jiuzhang, fasc. 1 and 4.pdf","30-02 Arabic Translation - Qin - Shuxue Jiuzhang, fasc. 1 and 4",1484293,26,1;2;3;4;5;7;8;10;11;13;14;16;17;19;20;22;23;24;25;26,20,0,0,0,0.09928,0.78297,True,108982,3951,18.0,0.1111,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\30-02 Arabic Translation - Qin - Shuxue Jiuzhang, fasc. 1 and 4.txt",,,clean_candidate
"30-03 Arabic Translation - Yang Hui - Xiangjie, part 1.pdf","30-03 Arabic Translation - Yang Hui - Xiangjie, part 1",348402,27,1;2;3;4;5;6;7;9;10;12;13;15;16;18;19;21;22;23;24;25;26;27,22,0,0,0,0.07637,0.65424,True,120197,1710,72.0,0.0327,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\30-03 Arabic Translation - Yang Hui - Xiangjie, part 1.txt",,,clean_candidate
30-04 Arabic Translation - al-Kashi - Miftah al-Hisab.pdf,30-04 Arabic Translation - al-Kashi - Miftah al-Hisab,178540,29,1;2;3;4;5;6;8;9;11;13;14;16;17;19;21;22;24;25;26;27;28;29,22,0,0,0,0.03495,0.578,True,39700,2716,13.0,0.0287,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\30-04 Arabic Translation - al-Kashi - Miftah al-Hisab.txt,,,clean_candidate
30-05 Arabic Translation - al-Khwarizmi - Algebra.pdf,30-05 Arabic Translation - al-Khwarizmi - Algebra,202197,42,1;2;3;4;5;6;8;11;13;15;18;20;23;25;28;30;32;35;37;38;39;40;41;42,24,0,0,0,0.13409,0.60177,True,51361,1370,23.0,0.3168,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\30-05 Arabic Translation - al-Khwarizmi - Algebra.txt,,,clean_candidate
30-06 Arabic Translation - Omar Khayyam - Treatise on Algebra.pdf,30-06 Arabic Translation - Omar Khayyam - Treatise on Algebra,129875,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,14,0,0,0,0.04412,0.66684,True,35191,413,52.0,0.0048,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\30-06 Arabic Translation - Omar Khayyam - Treatise on Algebra.txt,,,clean_candidate
"40-01 Chinese Original - Nine Chapters, vols. 1-9.pdf","40-01 Chinese Original - Nine Chapters, vols. 1-9",776765,77,1;2;3;4;5;10;14;19;23;28;32;37;41;46;50;55;59;64;68;73;74;75;76;77,24,0,0,0,0.12832,0.65033,True,210904,2703,96.0,0.0877,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\40-01 Chinese Original - Nine Chapters, vols. 1-9.txt",,,clean_candidate
"40-02 Chinese Original - Li Ye - Ceyuan Haijing, vols. 1-12.pdf","40-02 Chinese Original - Li Ye - Ceyuan Haijing, vols. 1-12",824739,90,1;2;3;4;5;6;11;17;22;27;32;38;43;48;53;59;64;69;74;80;85;86;87;88;89;90,26,0,0,0,0.07986,0.65276,True,225937,4104,33.0,0.1135,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\40-02 Chinese Original - Li Ye - Ceyuan Haijing, vols. 1-12.txt",,,clean_candidate
40-03 Chinese Original - Li Ye - Ceyuan Haijing Fenlei Shishu.pdf,40-03 Chinese Original - Li Ye - Ceyuan Haijing Fenlei Shishu,658888,111,1;2;3;4;5;7;14;20;27;33;40;46;53;59;66;72;79;85;92;98;105;107;108;109;110;111,26,0,0,0,0.11683,0.63389,True,289363,3987,87.0,0.1417,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\40-03 Chinese Original - Li Ye - Ceyuan Haijing Fenlei Shishu.txt,,,clean_candidate
40-04 Chinese Original - Li Ye - Ceyuan Haijing geometry.pdf,40-04 Chinese Original - Li Ye - Ceyuan Haijing geometry,1532132,6,1;2;3;4;5;6,6,0,0,0,0.08117,0.6662,True,16909,205,99.0,0.0732,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\40-04 Chinese Original - Li Ye - Ceyuan Haijing geometry.txt,,,clean_candidate
"40-05 Chinese Original - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf","40-05 Chinese Original - Qin - Shuxue Jiuzhang, fasc. 1-9",1215191,102,1;2;3;4;5;7;13;19;25;31;37;43;49;54;60;66;72;78;84;90;96;98;99;100;101;102,26,0,0,0,0.07314,0.6483,True,209890,3526,51.5,0.1305,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\40-05 Chinese Original - Qin - Shuxue Jiuzhang, fasc. 1-9.txt",,,clean_candidate
40-06 Chinese Original - Sunzi Suanjing.pdf,40-06 Chinese Original - Sunzi Suanjing,262001,32,1;2;3;4;5;6;8;10;12;14;16;17;19;21;23;25;27;28;29;30;31;32,22,0,0,0,0.37769,0.66907,True,49943,952,42.0,0.2626,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\40-06 Chinese Original - Sunzi Suanjing.txt,,,clean_candidate
"40-07 Chinese Original - Yang Hui - Xiangjie, parts 1-3.pdf","40-07 Chinese Original - Yang Hui - Xiangjie, parts 1-3",829803,85,1;2;3;4;5;6;11;16;21;26;31;36;41;45;50;55;60;65;70;75;80;81;82;83;84;85,26,0,0,0,0.07342,0.63752,True,163119,3429,36.0,0.2435,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\40-07 Chinese Original - Yang Hui - Xiangjie, parts 1-3.txt",,,clean_candidate
"40-08 Chinese Original - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf","40-08 Chinese Original - Zhu Shijie - Suanxue Qimeng, parts 1-2",3190438,49,1;2;3;4;5;7;9;12;15;18;21;24;26;29;32;35;38;41;43;45;46;47;48;49,24,0,0,0,0.07592,0.62665,True,76875,1698,36.0,0.2468,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\40-08 Chinese Original - Zhu Shijie - Suanxue Qimeng, parts 1-2.txt",,,clean_candidate
50-01 Indian Original - Aryabhata - Aryabhatiya.pdf,50-01 Indian Original - Aryabhata - Aryabhatiya,142119,18,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18,18,0,0,0,0.15476,0.64655,True,34844,527,81.0,0.1841,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\50-01 Indian Original - Aryabhata - Aryabhatiya.txt,,,clean_candidate
"50-02 Indian Original - Bhaskara II - Bijaganita, parts 1-3.pdf","50-02 Indian Original - Bhaskara II - Bijaganita, parts 1-3",404097,59,1;2;3;4;5;8;11;15;18;21;25;28;32;35;39;42;45;49;52;55;56;57;58;59,24,0,0,0,0.03906,0.57173,True,96267,1494,49.0,0.1827,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\50-02 Indian Original - Bhaskara II - Bijaganita, parts 1-3.txt",,,clean_candidate
50-03 Indian Original - Bhaskara II - Lilavati.pdf,50-03 Indian Original - Bhaskara II - Lilavati,143495,16,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,16,0,0,0,0.05898,0.68912,True,33727,855,25.0,0.3427,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\50-03 Indian Original - Bhaskara II - Lilavati.txt,,,clean_candidate
50-04 Indian Original - Brahmagupta - Brahmasphutasiddhanta.pdf,50-04 Indian Original - Brahmagupta - Brahmasphutasiddhanta,1624656,279,1;2;3;4;5;17;34;50;66;83;99;115;132;148;165;181;197;214;230;246;263;275;276;277;278;279,26,0,0,0,0.03631,0.42963,True,623776,7102,75.0,0.1601,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\50-04 Indian Original - Brahmagupta - Brahmasphutasiddhanta.txt,,,clean_candidate
60-01 Islamic Original - al-Kashi - Miftah al-Hisab.pdf,60-01 Islamic Original - al-Kashi - Miftah al-Hisab,216035,27,1;2;3;4;5;6;7;9;10;12;13;15;16;18;19;21;22;23;24;25;26;27,22,0,0,0,0.05042,0.60025,True,31592,1279,12.0,0.3745,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\60-01 Islamic Original - al-Kashi - Miftah al-Hisab.txt,,,clean_candidate
60-02 Islamic Original - al-Khwarizmi - Algebra.pdf,60-02 Islamic Original - al-Khwarizmi - Algebra,212322,31,1;2;3;4;5;6;8;10;12;13;15;17;19;20;22;24;26;27;28;29;30;31,22,0,0,0,0.04073,0.57909,True,39490,1507,12.0,0.2999,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\60-02 Islamic Original - al-Khwarizmi - Algebra.txt,,,clean_candidate
60-03 Islamic Original - al-Tusi - Shakl al-Qatta.pdf,60-03 Islamic Original - al-Tusi - Shakl al-Qatta,165758,16,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,16,0,0,0,0.05901,0.53986,True,26469,692,31.0,0.2991,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\60-03 Islamic Original - al-Tusi - Shakl al-Qatta.txt,,,clean_candidate
60-04 Islamic Original - Omar Khayyam - Treatise on Algebra.pdf,60-04 Islamic Original - Omar Khayyam - Treatise on Algebra,125405,15,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,15,0,0,0,0.03173,0.51315,True,17897,756,13.0,0.1587,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\60-04 Islamic Original - Omar Khayyam - Treatise on Algebra.txt,,,clean_candidate
60-05 Islamic Original - Ruska - Oldest Arabic Algebra (1917).pdf,60-05 Islamic Original - Ruska - Oldest Arabic Algebra (1917),403612,60,1;2;3;4;5;8;11;15;18;22;25;29;32;36;39;43;46;50;53;56;57;58;59;60,24,0,0,0,0.11636,0.68768,True,175802,2403,97.0,0.0728,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\60-05 Islamic Original - Ruska - Oldest Arabic Algebra (1917).txt,,,clean_candidate
60-06 Islamic Original - Rosen - Algebra of Mohammed Ben Musa.pdf,60-06 Islamic Original - Rosen - Algebra of Mohammed Ben Musa,305968,42,1;2;3;4;5;6;8;11;13;15;18;20;23;25;28;30;32;35;37;38;39;40;41;42,24,0,0,0,0.11291,0.6365,True,120532,2216,95.0,0.25,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\60-06 Islamic Original - Rosen - Algebra of Mohammed Ben Musa.txt,,,clean_candidate
60-07 Islamic Original - Robert of Chester and Karpinski.pdf,60-07 Islamic Original - Robert of Chester and Karpinski,158669,28,1;2;3;4;5;6;7;9;11;12;14;15;17;18;20;22;23;24;25;26;27;28,22,0,0,0,0.06061,0.51897,True,46638,937,59.0,0.1878,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\60-07 Islamic Original - Robert of Chester and Karpinski.txt,,,clean_candidate
"60-08 Islamic and Arabic Work - al-Battani - Opus Astronomicum, Segments 1-42.pdf","60-08 Islamic and Arabic Work - al-Battani - Opus Astronomicum, Segments 1-42",3883011,125,1;2;3;4;5;8;16;23;30;37;45;52;59;67;74;81;89;96;103;110;118;121;122;123;124;125,26,0,0,0,0.10786,0.70976,True,290264,13613,12.0,0.1055,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\60-08 Islamic and Arabic Work - al-Battani - Opus Astronomicum, Segments 1-42.txt",,,clean_candidate
70-01 Reference Text - Said al-Andalusi - Tabaqat al-Umam.pdf,70-01 Reference Text - Said al-Andalusi - Tabaqat al-Umam,144130,15,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,15,0,0,0,0.05734,0.36911,True,28199,533,52.0,0.0675,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\70-01 Reference Text - Said al-Andalusi - Tabaqat al-Umam.txt,,,clean_candidate
70-02 Reference Text - al-Muqaddasi - Ahsan al-Taqasim.pdf,70-02 Reference Text - al-Muqaddasi - Ahsan al-Taqasim,111398,10,1;2;3;4;5;6;7;8;9;10,10,0,0,0,0.05712,0.49887,True,19793,414,39.0,0.1353,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\70-02 Reference Text - al-Muqaddasi - Ahsan al-Taqasim.txt,,,clean_candidate
70-03 Reference Text - Ibn al-Nadim - Kitab al-Fihrist.pdf,70-03 Reference Text - Ibn al-Nadim - Kitab al-Fihrist,124530,11,1;2;3;4;5;6;7;8;9;10;11,11,0,0,0,0.05719,0.46918,True,16495,538,16.0,0.1357,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\70-03 Reference Text - Ibn al-Nadim - Kitab al-Fihrist.txt,,,clean_candidate
70-04 Reference Text - Ibn al-Qifti - Tarikh al-Hukama.pdf,70-04 Reference Text - Ibn al-Qifti - Tarikh al-Hukama,108365,10,1;2;3;4;5;6;7;8;9;10,10,0,0,0,0.07608,0.4951,True,16932,386,35.0,0.2306,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\70-04 Reference Text - Ibn al-Qifti - Tarikh al-Hukama.txt,,,clean_candidate
70-05 Reference Text - Smith-Karpinski - Numerals.pdf,70-05 Reference Text - Smith-Karpinski - Numerals,136739,23,1;2;3;4;5;6;7;9;10;11;13;14;15;17;18;19;20;21;22;23,20,0,0,0,0.12493,0.63722,True,64846,977,97.0,0.0931,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\70-05 Reference Text - Smith-Karpinski - Numerals.txt,,,clean_candidate
