printed_page	scope_leaf	authority_pdf_page	dpi	scope_raster_sha256	full_raster_sha256	status
88	26	105	72	6553E3B8FDDF93276254BC53BE661F49BF640D078F60B86A9FF6D645B649C00A	6553E3B8FDDF93276254BC53BE661F49BF640D078F60B86A9FF6D645B649C00A	IDENTICAL
89	27	106	72	F5EE948D6156C9AEB5C5C8B813E4C19770F977320E36E098CA958FBFED1D132B	F5EE948D6156C9AEB5C5C8B813E4C19770F977320E36E098CA958FBFED1D132B	IDENTICAL
90	28	107	72	82F1D6F17C2255175255E282C18E2789C6A1DDE5786308BC0F35C4596BC2F022	82F1D6F17C2255175255E282C18E2789C6A1DDE5786308BC0F35C4596BC2F022	IDENTICAL
91	29	108	72	1A864ED29AC380A9056856B7DC6592C5D18CB48F28C48C1F29A70CC9ECFE855C	1A864ED29AC380A9056856B7DC6592C5D18CB48F28C48C1F29A70CC9ECFE855C	IDENTICAL
92	30	109	72	F9A8E99CD5DDF57A4E8BAB1EC70E6AAB69899677D63B9368C3BCFB62B1F4A5CA	F9A8E99CD5DDF57A4E8BAB1EC70E6AAB69899677D63B9368C3BCFB62B1F4A5CA	IDENTICAL
93	31	110	72	CF4DEE255C171D0A266BCC31C8ECBE7784A0B22199C6F0738E50536EBCC6A4FD	CF4DEE255C171D0A266BCC31C8ECBE7784A0B22199C6F0738E50536EBCC6A4FD	IDENTICAL
94	32	111	72	C3D5C1BC7387BE592162D666C428F93D4A2145ED6619DEEC739B475B989BBC86	C3D5C1BC7387BE592162D666C428F93D4A2145ED6619DEEC739B475B989BBC86	IDENTICAL
95	33	112	72	14530D1B909C33DCB45AE9426C03B260176B720F9BCB19E6E2CE084C455C860D	14530D1B909C33DCB45AE9426C03B260176B720F9BCB19E6E2CE084C455C860D	IDENTICAL
96	34	113	72	079C628B79EEE76C1515152C4CADB81735D789550FC02DCF0497B746988E91AC	079C628B79EEE76C1515152C4CADB81735D789550FC02DCF0497B746988E91AC	IDENTICAL
97	35	114	72	880CA068A57560F1B897EB774CBE4C2920F1CB4C640255A161C2F6AFCF4BFA92	880CA068A57560F1B897EB774CBE4C2920F1CB4C640255A161C2F6AFCF4BFA92	IDENTICAL
98	36	115	72	ADA25A882AB370CCE8725F2327B71E1AFC6452516DAB6C9F62A15A054227685A	ADA25A882AB370CCE8725F2327B71E1AFC6452516DAB6C9F62A15A054227685A	IDENTICAL
