from_printed_page	to_printed_page	authority_pdf_pages	source_end	source_start	french	english	evidence	observation	status
84	85	101;102	étant lui-même de la forme t²−au².	„p désignant un nombre premier	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s02/source/p084_authority.png; qa/s02/source/p085_authority.png	Announced particular theorem follows on next leaf.	PASS
85	86	102;103	ces démonstrations étant susceptibles d’être beaucoup	simplifiées au moyen	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s02/source/p085_authority.png; qa/s02/source/p086_authority.png	Addition introductory sentence continues, no bridge text or capitalized restart.	PASS
86	87	103;104	final k/p, k-prime/p, k-double-prime/p reciprocal row	Faisant le produit de toutes ces expressions	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s03/source/p086_authority.png; qa/s03/source/p087_authority.png	The product on87 refers to the exact row at86; no heading or linking invention.	PASS
87	88	104;105	t^((p−1)/2)≡(−b)^((p−1)/4) (mod.p).	Cette dernière congruence fait voir	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s03/source/p087_authority.png; qa/s03/source/p088_authority.png	The next page interprets this congruence and combines it with gamma-prime.	PASS
88	89	105;106	D’un autre	côté, comme δ divise m²	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s03/source/p088_authority.png; qa/s03/source/p089_authority.png	One coprimality argument crosses the source boundary; no new paragraph at89.	PASS
89	90	106;107	((psi s±chi s)/b)=±1.	D’un autre côté, si l’on se rappelle	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s03/source/p089_authority.png; qa/s03/source/p090_authority.png	The next page supplies the second character equation and combines them.	PASS
90	91	107;108	on pourra donc écrire la der-	nière équation de cette manière:	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s03/source/p090_authority.png; qa/s03/source/p091_authority.png	French retains lexical word division der-/nière; English corresponding phrase is the last / equation.	PASS
91	92	108;109	Il suit du théorème déjà cité plusieurs	fois, que l’équation:	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s03/source/p091_authority.png; qa/s03/source/p092_authority.png	The solvability assertion and labelled eta-prime equation begin without a new invented sentence.	PASS
92	93	109;110	Distinguons ... Si	u est pair, t est impair;	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s03/source/p092_authority.png; qa/s03/source/p093_authority.png	Conditional crosses page boundary; all parity cases retained.	PASS
93	94	110;111	on trouvera ce théorème:	label vartheta-prime and Si u est pair	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s03/source/p093_authority.png; qa/s03/source/p094_authority.png	The next-page theorem remains the full two-case statement with its local printed label.	PASS
94	95	111;112	Les nombres K et L seront donc	dans ce cas impairs l’un et l’autre	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s03/source/p094_authority.png; qa/s03/source/p095_authority.png	Single parity argument continues; no assertion removed.	PASS
95	96	112;113	les nombres K et L étant évidemment pairs l’un et l’autre, chacun	d’eux sera de la forme4n+2	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s03/source/p095_authority.png; qa/s03/source/p096_authority.png	Sentence links K/L parity to next-page factorization K=2K-prime,L=2L-prime.	PASS
96	97	113;114	En comparant ces deux résultats, on conclut que, lorsque	u est impair, a est ou n’est pas résidu	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s03/source/p096_authority.png; qa/s03/source/p097_authority.png	Odd case continues before the common theorem.	PASS
97	98	114;115	L’analyse qu’il faut appliquer	à ce second cas, étant entièrement semblable	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s03/source/p097_authority.png; qa/s03/source/p098_authority.png	The author explicitly omits only the analogous second proof; that printed statement, not an editorial summary, is translated completely.	PASS
