layer	printed_page	pdf_page	s02_text_sha256	s03_text_sha256	s02_pixels_sha256	s03_pixels_sha256	text	pixels
en	71	7	602B136C729793B6AA0F06965C5B43B197CB759BE6ABE46D7434D85264148606	602B136C729793B6AA0F06965C5B43B197CB759BE6ABE46D7434D85264148606	75AAFD8EEF10BFCD2547DC5E4B8B561E9646F65C548A69DF659D699EDFF20B85	75AAFD8EEF10BFCD2547DC5E4B8B561E9646F65C548A69DF659D699EDFF20B85	IDENTICAL	IDENTICAL_126_DPI
en	72	8	BE6C77195DA3C36DC8D580997649076F4D4024AED7AA11676562C4D9207B0B35	BE6C77195DA3C36DC8D580997649076F4D4024AED7AA11676562C4D9207B0B35	CA3D7D30888073EBFF26089451E0486A9EA7DDCE554B1BFB2FC27C1B7321F2FE	CA3D7D30888073EBFF26089451E0486A9EA7DDCE554B1BFB2FC27C1B7321F2FE	IDENTICAL	IDENTICAL_126_DPI
en	73	9	80FB4DCDA0B1D23BE2504FF15053C4040CAD5CC29B3F533259BAD12C5E9E3441	80FB4DCDA0B1D23BE2504FF15053C4040CAD5CC29B3F533259BAD12C5E9E3441	009B4EAF9F164B17CB7778A295AC0117A19A1EBD3642B671CD42C8C664C1E93B	009B4EAF9F164B17CB7778A295AC0117A19A1EBD3642B671CD42C8C664C1E93B	IDENTICAL	IDENTICAL_126_DPI
en	74	10	FB3360A4BE1CC1DDBF916F69B68C804581997841D05DDFCF7C2DD5D1110A86AD	FB3360A4BE1CC1DDBF916F69B68C804581997841D05DDFCF7C2DD5D1110A86AD	F02EFBB9F2F519ADA4E361268E5EE5FA682ABF7199281231594824080CB42AE9	F02EFBB9F2F519ADA4E361268E5EE5FA682ABF7199281231594824080CB42AE9	IDENTICAL	IDENTICAL_126_DPI
en	75	11	C913AA04571698BE7CE38B1E5ECA7E163A66B288A5C1C2B08DE6CCEED0DB613A	C913AA04571698BE7CE38B1E5ECA7E163A66B288A5C1C2B08DE6CCEED0DB613A	916E642710DAE14B1CC9D688D384D10DB09BF0C957A3874C38FD4CF06706B7A0	916E642710DAE14B1CC9D688D384D10DB09BF0C957A3874C38FD4CF06706B7A0	IDENTICAL	IDENTICAL_126_DPI
en	76	12	A0CD526E46F7F5782604D090A4D96F584E3D0AACC8C1A2784F50700ADB0EEC3F	A0CD526E46F7F5782604D090A4D96F584E3D0AACC8C1A2784F50700ADB0EEC3F	AC0849B2928805BBE5DD45DBF83C65A224EF420C9E9D6AC83FEBBEA792B086D1	AC0849B2928805BBE5DD45DBF83C65A224EF420C9E9D6AC83FEBBEA792B086D1	IDENTICAL	IDENTICAL_126_DPI
en	77	13	8EC3E857DC3C597DCD6374F2DED54969B38387994AF937874A585E2609E665B0	8EC3E857DC3C597DCD6374F2DED54969B38387994AF937874A585E2609E665B0	51BFACDA3F1EEA2912CB1A21390902A379CD44D27BCA91AE8E2FFF41E3181F80	51BFACDA3F1EEA2912CB1A21390902A379CD44D27BCA91AE8E2FFF41E3181F80	IDENTICAL	IDENTICAL_126_DPI
en	78	14	8DCFFF9F87CAA0A221D47291AC5BE4493E599BBEF4630D3D7283C624ED4DA2ED	8DCFFF9F87CAA0A221D47291AC5BE4493E599BBEF4630D3D7283C624ED4DA2ED	F337591702575C7C402E26D43781EE17BF88AB6E0226F0B8BB35EE5652DAFDF8	F337591702575C7C402E26D43781EE17BF88AB6E0226F0B8BB35EE5652DAFDF8	IDENTICAL	IDENTICAL_126_DPI
en	79	15	285BB2363457922AFB1461F0198318E9CE7AD93D0FD4AC5C1871F05AC0ECB5F7	285BB2363457922AFB1461F0198318E9CE7AD93D0FD4AC5C1871F05AC0ECB5F7	FB85AE53FFDC4C71F77A83050A0A635143017CC1487ED420DB21A561CF70181E	FB85AE53FFDC4C71F77A83050A0A635143017CC1487ED420DB21A561CF70181E	IDENTICAL	IDENTICAL_126_DPI
en	80	16	6B843ED91C591ACAF3918C64F56A8947DF61550B2ED514F34D57CF7D112F3602	6B843ED91C591ACAF3918C64F56A8947DF61550B2ED514F34D57CF7D112F3602	A9D8AD606A904FCA28EC08E32B56910008EDBFFDE92E00BC21572C75B5B50A1B	A9D8AD606A904FCA28EC08E32B56910008EDBFFDE92E00BC21572C75B5B50A1B	IDENTICAL	IDENTICAL_126_DPI
en	81	17	5D44A75D5B049767E5ACB74A7265E78E78CFE4C9983948647D195D35BBD30B4B	5D44A75D5B049767E5ACB74A7265E78E78CFE4C9983948647D195D35BBD30B4B	485FF7CF27BE47E9FD7DEEEC9BCEB736744B3C80DDD4A4481425A513353775B7	485FF7CF27BE47E9FD7DEEEC9BCEB736744B3C80DDD4A4481425A513353775B7	IDENTICAL	IDENTICAL_126_DPI
en	82	18	ED108E52A36F8E408B754F022E7B66B0EAD84FED3F662C5252AE3BE0AA74686C	ED108E52A36F8E408B754F022E7B66B0EAD84FED3F662C5252AE3BE0AA74686C	5B4067752AFC70E192AF2F79074A30B49979F530FDB0F79F7639A33D2586525F	5B4067752AFC70E192AF2F79074A30B49979F530FDB0F79F7639A33D2586525F	IDENTICAL	IDENTICAL_126_DPI
en	83	19	737AAD693BDA68118A22ED3E5D417397BF59864E1BACF8B5B09EB97FAF26C38B	737AAD693BDA68118A22ED3E5D417397BF59864E1BACF8B5B09EB97FAF26C38B	B9F837A1AF1445FECA35726C9440A6E622757D6D028598EF55EB0174D94453CF	B9F837A1AF1445FECA35726C9440A6E622757D6D028598EF55EB0174D94453CF	IDENTICAL	IDENTICAL_126_DPI
en	84	20	E961319BAF0C79E86F5AD1029B694B1FE58CC6556E2D7DB8C98692770D230426	E961319BAF0C79E86F5AD1029B694B1FE58CC6556E2D7DB8C98692770D230426	00BBBC399FFBF6C5487897DC5E47DC55FE757CE06984411864F9F3A27429F635	00BBBC399FFBF6C5487897DC5E47DC55FE757CE06984411864F9F3A27429F635	IDENTICAL	IDENTICAL_126_DPI
en	85	21	DD2E0BF2A4E3CFEE158EC052372671BB9DF52F7E0EE8A789E2322446D6408277	DD2E0BF2A4E3CFEE158EC052372671BB9DF52F7E0EE8A789E2322446D6408277	122BA1D6B0FAE8AA5369CF739EF6C8F1FFA55E148B5E88BAA11C962AAEE0D046	122BA1D6B0FAE8AA5369CF739EF6C8F1FFA55E148B5E88BAA11C962AAEE0D046	IDENTICAL	IDENTICAL_126_DPI
en	86	22	0A79A8457C5F722001E0395C852F1907CEF95720316BAF8F31E912E7A8F7B736	0A79A8457C5F722001E0395C852F1907CEF95720316BAF8F31E912E7A8F7B736	EA82F4652E4717444C6452A5A613BE7AF081AE0B4527CBB31979795E9577ED26	EA82F4652E4717444C6452A5A613BE7AF081AE0B4527CBB31979795E9577ED26	IDENTICAL	IDENTICAL_126_DPI
