layer	pdf_page	printed_page	authority_pdf_page	scope_leaf	page_source	page_source_sha256	heading_excerpt	occurrences	status
fr	20	84	101	22	editions/fr/pages/p084.tex	180A1092C84D4EAAC7A0F15941E219E71308E1A3C4693D8858D6B7D3C895F1F3	84 RECHERCHES SUR LES DIVISEURS PREMIERS même chose, d’après un théorème connu, selon que a est	1	PASS
fr	21	85	102	23	editions/fr/pages/p085.tex	5AEFE0C09EE08C586878AAC5CEC499FB3644BAD2BF14CB1C6EE9605AD2EF76D1	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ. 85 „p désignant un nombre premier de l’une des	1	PASS
fr	22	86	103	24	editions/fr/pages/p086.tex	6774249A196CFAFF3925A4F1549AB6E8D9BED8EF742B7962E7159C39D47A918D	86 RECHERCHES SUR LES DIVISEURS PREMIERS simplifiées au moyen de quelques considérations qui peuvent ne pas	1	PASS
fr	23	87	104	25	editions/fr/pages/p087.tex	4BC76DEF6514B1E581F8B82A74981B1DC87F20668E81DE39FE6EF97A42819B34	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ. 87 Faisant le produit de toutes ces expressions et	1	PASS
fr	24	88	105	26	editions/fr/pages/p088.tex	D81A8E566D4271B2CDB755EBD9588A06A53D5C7FBF23740C6C6F31E0986D9560	88 RECHERCHES SUR LES DIVISEURS PREMIERS Cette dernière congruence fait voir que −b est ou n’est	1	PASS
fr	25	89	106	27	editions/fr/pages/p089.tex	AA0EBCB01D40D2A900415684F288C98FE5A93A504A345F4F512E3970C1D90F36	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ. 89 côté, comme δ divise m2, il divisera aussi	1	PASS
fr	26	90	107	28	editions/fr/pages/p090.tex	B5FFAAB04376DAF796916772D148074C52156A08BB3647894019CA8AA89568FB	90 RECHERCHES SUR LES DIVISEURS PREMIERS D’un autre côté, si l’on se rappelle que b est	1	PASS
fr	27	91	108	29	editions/fr/pages/p091.tex	A55658F395A84CD6118A5117C4719B89C5CCF483590BC5A27BD46FF9B7285DEB	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ. 91 nière équation de cette manière: (t + ψs)(t	1	PASS
fr	28	92	109	30	editions/fr/pages/p092.tex	53A7CB8BC43A56DAED14BC3925C2DE18F22ED74587BF800F02131C327D578A0E	92 RECHERCHES SUR LES DIVISEURS PREMIERS fois, que l’équation: (η′) t2 + au2 = ps2, peut	1	PASS
fr	29	93	110	31	editions/fr/pages/p093.tex	B77D5A807307C9CFACD58423A108B1BCA7F20EA899F7095465DE08D4F3EE6DE4	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ. 93 u est pair, t est impair; on a	1	PASS
fr	30	94	111	32	editions/fr/pages/p094.tex	23529606BBEEA5067A466CFF2DEBE5637AAF8518B458C206CFFD59A3C71E3BFB	94 RECHERCHES SUR LES DIVISEURS PREMIERS (ϑ′) Si u est pair, a est ou n’est pas	1	PASS
fr	31	95	112	33	editions/fr/pages/p095.tex	B6E4DAE8526E2BFC7E23F01F09FB70AE47714BEFE87E657439F67D72BF77B153	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ. 95 dans ce cas impairs l’un et l’autre, et	1	PASS
fr	32	96	113	34	editions/fr/pages/p096.tex	A02736C87C2D148E232DF1BCED8AE81FF57D684A919B220DAAAC3FF4D1B8A719	96 RECHERCHES SUR LES DIVISEURS PREMIERS d’eux sera de la forme 4n + 2, de sorte	1	PASS
fr	33	97	114	35	editions/fr/pages/p097.tex	11050BA290E976BD7F5FE600229689113CC353A4A43BFA6160978E26EA0DFE06	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ. 97 u est impair, a est ou n’est pas	1	PASS
fr	34	98	115	36	editions/fr/pages/p098.tex	2C62C10257477CC7985C55091D566E11424FC4C303177056D09966958E550619	98 RECHERCHES SUR LES DIVISEURS PREMIERS D’UNE CLASSE DE FORMULES ETC. à ce second cas, étant	1	PASS
en	1	65	82	3	editions/en/pages/p065.tex	17CA5448E19490A1752DAFC72E4655CE3D60E769D95DAB4AF3CAC4D13DD837E3	RESEARCHES ON THE PRIME DIVISORS OF A CLASS OF FORMULAE OF THE FOURTH DEGREE. 1st Memoir.	1	PASS
en	2	66	83	4	editions/en/pages/p066.tex	70144AAB0D207FCEE5F0DA610D19E340697FC21F39B17C7E8CFFE758D868A482	66 RESEARCHES ON THE PRIME DIVISORS 1. “If one can assign to the indeterminate x a	1	PASS
en	3	67	84	5	editions/en/pages/p067.tex	26E3C3519B4C15144F57F14963A676796E23A4779CA500B65972268A5CEEF7A5	OF A CLASS OF FORMULAE OF THE FOURTH DEGREE. 67 “If the numbers A and A′	1	PASS
en	4	68	85	6	editions/en/pages/p068.tex	DC4E0E7142FC771F55D75F65DBE5786783E7874CE26E5FD04E29470EB169C977	68 RESEARCHES ON THE PRIME DIVISORS of the form 4n + 1, ( k p )	1	PASS
en	5	69	86	7	editions/en/pages/p069.tex	0F0F90B47796E3BBC099A836D325E9F97049DE4B6260AD52D5A12B87F1A41A9F	OF A CLASS OF FORMULAE OF THE FOURTH DEGREE. 69 hence, on multiplying: (gg′g′′ . .	1	PASS
en	6	70	87	8	editions/en/pages/p070.tex	22EA3CABB55C8762BA7EFB569B7A62D97AF7B8EA158A77F81CE5EC574D3D87B1	70 RESEARCHES ON THE PRIME DIVISORS We shall thus have: p = t2 + 2u2 =	1	PASS
en	7	71	88	9	editions/en/pages/p071.tex	8009EC73895967A50698DCD9817827E0CAB418245F046F54CEEC1724A2FE2DC1	OF A CLASS OF FORMULAE OF THE FOURTH DEGREE. 71 There is a third theorem suitable	1	PASS
en	8	72	89	10	editions/en/pages/p072.tex	8F33F8A1E3FD352F4FA14E651BFAFDE3BBBAAD49D406598BFCE621C06721ED56	72 RESEARCHES ON THE PRIME DIVISORS one has the result: (α) (u p ) = (2ν	1	PASS
en	9	73	90	11	editions/en/pages/p073.tex	E72706E53122215F76D3AB46F916BAC34E4E9184E42899AC3C555EF2D5382E07	OF A CLASS OF FORMULAE OF THE FOURTH DEGREE. 73 (g b ) = 1, (g′	1	PASS
en	10	74	91	12	editions/en/pages/p074.tex	C64C75562F082A136CD7D99A8CC1DFF1FCF4559836BB71E59E44A4135EE18A9D	74 RESEARCHES ON THE PRIME DIVISORS for u p−1 2 in the congruence obtained above, one	1	PASS
en	11	75	92	13	editions/en/pages/p075.tex	805B12333924D4AB3A47B1DB41F4B54DBA827150A54C91576F6BD55AD72C1761	OF A CLASS OF FORMULAE OF THE FOURTH DEGREE. 75 It is very easy to make	1	PASS
en	12	76	93	14	editions/en/pages/p076.tex	FC061FADFC207C3909A81211C08BC0BED21DB471F7D3342AE7FF440B11472952	76 RESEARCHES ON THE PRIME DIVISORS It follows from the theorem stated at the end of	1	PASS
en	13	77	94	15	editions/en/pages/p077.tex	DE9F69D6AF6C9A46F61156B857DFDABD93991F6618C4F77B71666EB766FF633C	OF A CLASS OF FORMULAE OF THE FOURTH DEGREE. 77 It will suﬀice to seek a	1	PASS
en	14	78	95	16	editions/en/pages/p078.tex	693E46C48AF4FBA18F1AC432A617AA13F3425FF7F69FF82AB4891D80DCE8FFA2	78 RESEARCHES ON THE PRIME DIVISORS of b such that the formula t2 −bu2 has only	1	PASS
en	15	79	96	17	editions/en/pages/p079.tex	5425FE794EE68885985B0365A322FBFF1AC8BE507A3C36F1571C9F9CDA5B60DC	OF A CLASS OF FORMULAE OF THE FOURTH DEGREE. 79 5. Let us denote by a	1	PASS
en	16	80	97	18	editions/en/pages/p080.tex	A615EE8D7C77864A817B7062C37E161270644241805FD3FB99B9F2FCC5549AD5	80 RESEARCHES ON THE PRIME DIVISORS h′, h′′, … are even or odd in number. One	1	PASS
en	17	81	98	19	editions/en/pages/p081.tex	A263F25D7216F6B28F4CA7FDEC61921E1C8540EB325FCD88F0419C770C75BDFC	OF A CLASS OF FORMULAE OF THE FOURTH DEGREE. 81 These two cases are comprised in	1	PASS
en	18	82	99	20	editions/en/pages/p082.tex	344BADCE98313D2A07EE3D8E2ED0074E368F70C386DDE011F3D76FA00C061922	82 RESEARCHES ON THE PRIME DIVISORS The difference of the odd numbers t+ψ and t−ψ being	1	PASS
en	19	83	100	21	editions/en/pages/p083.tex	D6373E07B454623EBF0498545A109E5F28BA01ED032E0F3F4630601E1B09DC09	OF A CLASS OF FORMULAE OF THE FOURTH DEGREE. 83 If one compares what has just	1	PASS
en	20	84	101	22	editions/en/pages/p084.tex	02E7619F1105D513D0240C233FD05F3ED3EE49317665602F9942AE9FDD7903A9	84 RESEARCHES ON THE PRIME DIVISORS same thing, by a known theorem, according as a is	1	PASS
en	21	85	102	23	editions/en/pages/p085.tex	967F4BB96B82D33979C03183AA800592A41606293718F7493172FDDCC2B8BF80	OF A CLASS OF FORMULAE OF THE FOURTH DEGREE. 85 “p denoting a prime number of	1	PASS
en	22	86	103	24	editions/en/pages/p086.tex	FCF02C1CF16847383A2974C8C4503EFAC4937EA8C8BB60707ED3861063EBC100	86 RESEARCHES ON THE PRIME DIVISORS simplified by means of a few considerations that may not	1	PASS
en	23	87	104	25	editions/en/pages/p087.tex	63E588C6E5839124FD90663E8283121FBD0E42EE2D71E274A9497062813BCF7D	OF A CLASS OF FORMULAE OF THE FOURTH DEGREE. 87 Taking the product of all these	1	PASS
en	24	88	105	26	editions/en/pages/p088.tex	650932687B93FDD246ACBCBE783853F7C6BC4179F83A8A040F0447A6EAD5B308	88 RESEARCHES ON THE PRIME DIVISORS This last congruence shows that −b is or is not	1	PASS
en	25	89	106	27	editions/en/pages/p089.tex	5D49ACE5F934A9E5C7386FDC9F151095493858387B5D142372D8CF9BF9560036	OF A CLASS OF FORMULAE OF THE FOURTH DEGREE. 89 hand, since δ divides m2, it	1	PASS
en	26	90	107	28	editions/en/pages/p090.tex	221DBA79D32025B387E2E572903707E2D205B773A695D18D66CAFACFA307D988	90 RESEARCHES ON THE PRIME DIVISORS On the other hand, recalling that b is of the	1	PASS
en	27	91	108	29	editions/en/pages/p091.tex	A06275F8CFC3D3AAC99C620B0FED33E257D1551BFA565916110A8064FE074171	OF A CLASS OF FORMULAE OF THE FOURTH DEGREE. 91 equation in this manner: (t +	1	PASS
en	28	92	109	30	editions/en/pages/p092.tex	0A1F387F659EAB12D9D9A351A8A9FBAFA51628ED98DC391D885ADC4F67479D44	92 RESEARCHES ON THE PRIME DIVISORS times, that the equation: (η′) t2 + au2 = ps2,	1	PASS
en	29	93	110	31	editions/en/pages/p093.tex	F92A6CB8CAC0E5D7302EE3EA147C01BF7EFB17AD06E7192437C4A52814F153A4	OF A CLASS OF FORMULAE OF THE FOURTH DEGREE. 93 u is even, t is odd;	1	PASS
en	30	94	111	32	editions/en/pages/p094.tex	47579FA972885E5A6F792DE3C3725A9D992A7B9581D21DF8AAAC98EB57CBA2CD	94 RESEARCHES ON THE PRIME DIVISORS (ϑ′) If u is even, a is or is not	1	PASS
en	31	95	112	33	editions/en/pages/p095.tex	114A0F7A59A4411AF30CEEA7364DE558EE88004EA99C029DD0A137C466F76B56	OF A CLASS OF FORMULAE OF THE FOURTH DEGREE. 95 both be odd in this case,	1	PASS
en	32	96	113	34	editions/en/pages/p096.tex	32DC744E8D138D08DA71B2C218340A9B8A0FF7A11D729572576A5F13C2E9000B	96 RESEARCHES ON THE PRIME DIVISORS of them will be of the form 4n + 2,	1	PASS
en	33	97	114	35	editions/en/pages/p097.tex	6C2730D002A98DAF3B4D4CFD3F7B1852F91DF194578B09580D98C9DED76DA1CF	OF A CLASS OF FORMULAE OF THE FOURTH DEGREE. 97 u is odd, a is or	1	PASS
en	34	98	115	36	editions/en/pages/p098.tex	50AA8005D67A5F27C0ADDBCC3F69001AFF7092443E101AA40BBEA32FB3E99E86	98 RESEARCHES ON THE PRIME DIVISORS OF A CLASS OF FORMULAE ETC. to this second case,	1	PASS
