printed_page	authority_pdf_page	scope_leaf	unit_id	structure	fr_tex_lines	en_tex_lines	math_segments	authority_evidence	french_audit	english_audit
91	108	29	p091.u02	paragraph-start	15-21	15-21	8	qa/s03/source/p091_authority.png; full PDF 108; scope leaf 29; Or: E square, K/b=1 and EK/b relation	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
91	108	29	p091.u03	continuation	23-29	23-29	15	qa/s03/source/p091_authority.png; full PDF 108; scope leaf 29; Il est permis: adding t±psi s to t∓psi s, 2t/b=t/b times2/b, b=8n+7 or8n+3	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
91	108	29	p091.u04	inset-statement	31-34	31-34	5	qa/s03/source/p091_authority.png; full PDF 108; scope leaf 29; inset statement: −b criterion based on b=8n+7 versus8n+3	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
91	108	29	p091.u05	paragraph-start	36-40	36-40	1	qa/s03/source/p091_authority.png; full PDF 108; scope leaf 29; En réunissant: theoremI conclusion and singular parvenu as printed	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
91	108	29	p091.u06	paragraph-start; continues on p092	42-47	42-47	6	qa/s03/source/p091_authority.png; full PDF 108; scope leaf 29; Occupons-nous: theoremII setup, a,p reciprocal conditions, end plusieurs	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
92	109	30	p092.u01	continuation of p091.u06	3-12	3-12	12	qa/s03/source/p092_authority.png; full PDF 109; scope leaf 30; fois: eta-prime equation t²+au²=ps² and full coprimality and parity conditions	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
92	109	30	p092.u02	paragraph-start	14-17	14-17	12	qa/s03/source/p092_authority.png; full PDF 109; scope leaf 30; Décomposons: both explicit prime products with nu and mu, one exponent zero	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
92	109	30	p092.u03	paragraph-start	19-32	19-32	5	qa/s03/source/p092_authority.png; full PDF 109; scope leaf 30; L’équation eta-prime: p/k row ends three dots; k/p row ends four; complete u/p product with2^nu	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
92	109	30	p092.u04	continuation	34-52	34-52	9	qa/s03/source/p092_authority.png; full PDF 109; scope leaf 30; Il résulte: both a/l and l/a reciprocal rows with four terminal dots, full l-product and mu factors	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
92	109	30	p092.u05	paragraph-start; continues on p093	54-55	54-55	1	qa/s03/source/p092_authority.png; full PDF 109; scope leaf 30; Distinguons: parity cases, source ends Si	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
93	110	31	p093.u01	continuation of p092.u05	3-17	3-17	15	qa/s03/source/p093_authority.png; full PDF 110; scope leaf 31; u est pair: mu=0, t/a=t/p, u/p=(-1)^((p−1)/4), complete p=8n+1/8n+5 proof	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
93	110	31	p093.u02	paragraph-start	19-21	19-21	5	qa/s03/source/p093_authority.png; full PDF 110; scope leaf 31; Passons: t even,u odd, nu=0, u/p=1	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
93	110	31	p093.u03	paragraph-start	23-34	23-34	18	qa/s03/source/p093_authority.png; full PDF 110; scope leaf 31; Si les nombres: both equal-form and mixed-form cases, impairement pair, mu=1 and exponent order a then p	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
93	110	31	p093.u04	continuation	36-40	36-40	6	qa/s03/source/p093_authority.png; full PDF 110; scope leaf 31; Si nous réunissons: inset complete two-case summary, exponent order p then a	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
93	110	31	p093.u05	paragraph-start; announces p094 statement	42-44	42-44	2	qa/s03/source/p093_authority.png; full PDF 110; scope leaf 31; En comparant: full congruence including u exponent, announcement of theorem at next page	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
94	111	32	p094.u01	labelled-statement announced on p093	3-16	3-16	9	qa/s03/source/p094_authority.png; full PDF 111; scope leaf 32; label open-theta-prime, entire two-case inset statement and both paired alternatives	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
94	111	32	p094.u02	paragraph-start	18-24	18-24	7	qa/s03/source/p094_authority.png; full PDF 111; scope leaf 32; Décomposons: p as sum of squares, psi even, product with ps andau²	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
94	111	32	p094.u03	paragraph-start	26-27	26-27	2	qa/s03/source/p094_authority.png; full PDF 111; scope leaf 32; Premier cas: phi not divisible by a	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
94	111	32	p094.u04	paragraph-start	29-40	29-40	19	qa/s03/source/p094_authority.png; full PDF 111; scope leaf 32; Comme: gcd m, primed product, all coprimality clauses and citation no.197	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
94	111	32	p094.u05	paragraph-start	42-55	42-55	8	qa/s03/source/p094_authority.png; full PDF 111; scope leaf 32; Désignant: E,K,F,L, original two-by-two factor array, coprime squares and E/a,F/a	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
94	111	32	p094.u06	continuation; continues on p095	57-59	57-59	8	qa/s03/source/p094_authority.png; full PDF 111; scope leaf 32; Il faut: u even first, u-prime=u/m, odd binomial, page ends seront donc	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
95	112	33	p095.u01	continuation of p094.u06	3-15	3-15	8	qa/s03/source/p095_authority.png; full PDF 112; scope leaf 33; dans ce cas: K/a,L/a then EK/a,FL/a, reversing t−psi s and free-sign formula	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
95	112	33	p095.u02	paragraph-start	17-35	17-35	34	qa/s03/source/p095_authority.png; full PDF 112; scope leaf 33; Passons: u odd, both 8n cases, K=2^beta K-prime, highest power of2, complete proof forK andL and repeated product identities	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
95	112	33	p095.u03	paragraph-start; continues on p096	37-40	37-40	8	qa/s03/source/p095_authority.png; full PDF 112; scope leaf 33; Le nombre u: a=8n+5, binomial8n+4, both K,L even, ends chacun	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
96	113	34	p096.u01	continuation of p095.u03	3-18	3-18	20	qa/s03/source/p096_authority.png; full PDF 113; scope leaf 34; d’eux: K=2K-prime,L=2L-prime, all individual signs, multiplied products and double-sign result	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
96	113	34	p096.u02	continuation	20-23	20-23	4	qa/s03/source/p096_authority.png; full PDF 113; scope leaf 34; En résumant: full quoted u-even/u-odd statement	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
96	113	34	p096.u03	paragraph-start	25-34	25-34	11	qa/s03/source/p096_authority.png; full PDF 113; scope leaf 34; On a vu: even case compared with open-theta-prime, both equal/opposite character alternatives	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
96	113	34	p096.u04	continuation; continues on p097	36-43	36-43	7	qa/s03/source/p096_authority.png; full PDF 113; scope leaf 34; On a également vu: odd case, both power signs and full comparison, ends lorsque	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
97	114	35	p097.u01	continuation of p096.u04	3-11	3-11	6	qa/s03/source/p097_authority.png; full PDF 114; scope leaf 35; u est impair: repeated equality/opposite alternatives and common conclusion	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
97	114	35	p097.u02	quoted-statement	13-16	13-16	6	qa/s03/source/p097_authority.png; full PDF 114; scope leaf 35; quoted theorem: biquadratic and non-biquadratic cases, both free double signs	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
97	114	35	p097.u03	paragraph-start	18-32	18-32	17	qa/s03/source/p097_authority.png; full PDF 114; scope leaf 35; Comme: full root choice and congruence comparison, replacement of ±t by chi s, product identity	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
97	114	35	p097.u04	continuation	34-39	34-39	11	qa/s03/source/p097_authority.png; full PDF 114; scope leaf 35; D’un autre côté: other character equation, memberwise product including s²/a, both final chi(chi+psi) tests	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
97	114	35	p097.u05	paragraph-start; continues on p098	41-43	41-43	4	qa/s03/source/p097_authority.png; full PDF 114; scope leaf 35; Ces résultats: phi divisibility cases, end L’analyse qu’il faut appliquer	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
98	115	36	p098.u01	continuation of p097.u05	3-6	3-6	0	qa/s03/source/p098_authority.png; full PDF 115; scope leaf 36; à ce second cas: explicit statement that analogous proof is not developed here	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
98	115	36	p098.u02	quoted-statement	8-10	8-10	7	qa/s03/source/p098_authority.png; full PDF 115; scope leaf 36; quoted phi-divisible-by-a conclusion, 8n+1 versus8n+5	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
98	115	36	p098.u03	paragraph-start	12-14	12-14	0	qa/s03/source/p098_authority.png; full PDF 115; scope leaf 36; Ce résultat: theoremII linkage	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
98	115	36	p098.u04	paragraph-start	16-22	16-22	4	qa/s03/source/p098_authority.png; full PDF 115; scope leaf 36; On a sans doute: replacing even-square root psi by odd-square root phi	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
98	115	36	p098.u05	paragraph-start	24-28	24-28	4	qa/s03/source/p098_authority.png; full PDF 115; scope leaf 36; Les résultats: delta-prime and open-theta-prime, singular appuyé, Gauss, a=5 introduction	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
98	115	36	p098.u06	quoted-statement	30-35	30-35	10	qa/s03/source/p098_authority.png; full PDF 115; scope leaf 36; complete quoted20n+1 and20n+9 examples, p=t²+5u² and parity reversal	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
98	115	36	p098.u07	paragraph-start	37-43	37-43	5	qa/s03/source/p098_authority.png; full PDF 115; scope leaf 36; Les théorèmes: both displayed original equations and both in-text alternative equations	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
98	115	36	p098.u08	paragraph-start	45-47	45-47	1	qa/s03/source/p098_authority.png; full PDF 115; scope leaf 36; En traitant: first alternative equation and b=3 example introduction	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
98	115	36	p098.u09	quoted-statement	49-53	49-53	8	qa/s03/source/p098_authority.png; full PDF 115; scope leaf 36; complete quoted12n+1 example, p=t²+3u², t odd, 12n±1 versus12n±5	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
98	115	36	p098.rule	terminal-rule	55-55	55-55	0	qa/s03/source/p098_authority.png; full PDF 115; scope leaf 36; final horizontal rule; no following author text	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
