id,isv,addition,partOfSpeech,type,en,sameInLanguages,genesis,ru,be,uk,pl,cs,sk,sl,hr,sr,mk,bg,cu,de,nl,eo,frequency,intelligibility,using_example
6117,abonent,,m.,1,subscriber,v z j,F,"абонент, подписчик","абанент, падпісчык, падпісант","абонент, передплатник","abonent, prenumerator","odběratel, předplatitel, abonent","odberateľ, predplatiteľ, abonent","naročnik, abonent","pretplatnik, abonent",претплатник,претплатник,абонат,!,Abonnent,abonnee,abonanto,1924,be+ cs~ hr+ pl+ ru+ sk+ sl+ uk+,!
37516,abonentsky,,adj.,1,"subscriber's, subscription",,,абонентский,абаненцкі,абонентський,abonencki,"abonentní, abonentský","abonentný, abonentský",abonentski,"abonentski, pretplatnički",претплатнички,претплатнички,абонаментен,!,"!Abonnent, Abonnement","abonnee-, abonnements-","!subscriber ' s, abono",1722,cs+ hr+ pl+,!
6119,abonovati,,v.tr. ipf.,1,"subscribe, engage",,F,"подписываться, абонировать","абанаваць, абаніраваць, падпісвацца","підписуватись, передплачувати, брати участь","abonować, prenumerować","přihlásit se, zapojit se, podepsat se (k odběru)","prihlásiť sa, zapísať sa (na odber), predplatiť si","naročiti se, abonirati (se)","pretplatiti (se), abonirati","претплатити, претплатити се","претплатува, абонира",абонирам,!,abonnieren,abonneren,aboni,1046,cs~ hr+ pl+,!
24038,abort,,m.,1,abortion,,I,аборт,аборт,аборт,aborcja,potrat,"potrat, abort, interrupcia","splav, abortus","pobačaj, abortus","побачај, абортус","абортус, пометнување","аборт, помятане",!,"Abtreibung, Abbruch, Abort (Schwangerschaftsabbruch)",abortus,aborto,4324,be+ bg+ cs~ hr+ pl~ ru+ sk+ sr+ uk+,!
24039,abrakadabra,,f.sg.,1,abracadabra,,I,абракадабра,абракадабра,абракадабра,abrakadabra,abrakadabra,abrakadabra,"abrakadabra, (čirule čarule)",abrakadabra,абракадабра,абракадабра,абракадабра,!,Abrakadabra,abracadabra,abrakadabra,2396,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
24042,abrikos,,m.,2,apricot,v,I,абрикос,абрыкос,абрикос,morela,meruňka,marhuľa,marelica,"marelica, kajsija","кајсија, марелица",кајсија,кайсия,!,Aprikose,abrikoos,abrikoto,2685,be+ cs~ hr- pl- ru+ uk+,!
24044,absces,,m.,1,abscess,v cs j,I,"абсцесс, нарыв, гнойник","абсцэс, нарыў, скула",абсцес,ropień,"absces, bolák, vřed","absces, vred","ognojek,absces",apsces,"чир, циста, апсцес","апсцес, гнојница",абсцес,"въшьца, френчоуга, вредъ, осъпа",Abszess,abces,absceso,2379,be+ bg+ cs~ hr+ mk+ pl- sk+ sr+ uk+,!
24045,abscisa,,f.,1,abscissa,,I,абсцисса,абсцыса,абсциса,odcięta,úsečka,úsečka,abscisa,"apscisa, osiječ, sječica","апсциса, сечица",апсциса,абсциса,!,Abszisse,abscis,absciso,1785,be+ bg+ cs- hr+ mk+ pl- sl+ sr+ uk+,!
15,absencija,,f.sg.,2,absence,z,I,отсутствие,адсутнасць,відсутність,nieobecność,"absence, nepřítomnost","absencia, neprítomnosť","odsotnost, absenca",odsustvo,"одсуство, одсутност",отсуство,"липса, отсъствие",свѣньство,Abwesenheit,"afwezigheid, absentie",foresto,5616,bg- cs+ hr+ pl+ ru+ sk+ sr+ uk~,!
24047,absint,,m.sg.,1,absinthe,v z j,F,абсент,"абсэнт, абсент, палыноўка",абсент,absynt,absint,"palina (rastlina), absint (tiež názov destilátu)",absint,apsint,апсинт,апсинт,абсент,!,Absinth,absint,absinto,2391,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
37517,absolut,,m.,1,absolute,,I,абсолют,абсалют,абсолют,absolut,absolutno,absolútno,absolut,apsolut,апсолут,апсолут,абсолют,!,!Absolute,absolute,!absoluta,2881,cs+ hr+ mk+ pl+ uk+,!
37518,absolutizacija,,f.,1,absolutization,,I,абсолютизация,абсалютызацыя,абсолютизація,absolutyzacja,absolutizace,absolutizácia,!absolutizacija,apsolutiziranje,"апсолутизација, апсолутизирање",апсолутизација,абсолютизация,!,!Verabsolutierung,verabsolutering,!absolutigo,494,cs+ hr+ mk+ pl+,!
24050,absolutizm,,m.sg.,1,absolutism,v z j,I,абсолютизм,абсалютызм,абсолютизм,absolutyzm,absolutismus,absolutizmus,absolutizem,apsolutizam,апсолутизам,апсолутизам,абсолютизъм,!,Absolutismus,absolutisme,absolutismo,2259,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
37519,absolutizovati,,v.tr. ipf.,1,absolutize,,I,абсолютизировать,абсалютызаваць,абсолютизувати,absolutyzować,absolutizovat,absolutizovať,!absolutizirati,apsolutizirati,апсолутизирати,апсолутизира,абсолютизирам,!,!verabsolutieren,verabsoluteren,!absolutigi,494,cs+ hr+ pl+,!
6123,absolutno,,adv.,1,absolutely,v z j,I,абсолютно,абсалютна,абсолютно,absolutnie,"absolutně, naprosto, úplně","absolútne, úplne, naprosto","absolutno, popolnoma",apsolutno,апсолутно,"апсолутно, несомнено","абсолютно, напълно","!безсоумѣнно, несоумѣнно",absolut,absoluut,absolute,6825,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
37520,absolutnosť,,f.,1,absoluteness,,I,абсолютность,"абсалютнасць, абсалютовасць",абсолютність,absolutność,absolutnost,absolútnosť,!absolutnost,apsolutnost,"апсолутност, безусловност, савршеност, неусловљеност, неограниченост",апсолутност,абсолютност,!,!Absolutheit,absoluutheid,!absoluteco,1002,cs+ hr+ mk+ pl+,!
6120,absolutny,,adj.,1,"absolute, utter, sheer",v z j,I,"абсолютный, полнейший","абсалютны, найпоўны","абсолютний, повний, сущий","absolutny, kompletny, zupełny","absolutní, úplný, naprostý","absolútny, úplný, naprostý",absoluten,"apsolutan, potpun, neograničen",апсолутан,"апсолутен, целосен, краен","абсолютен, чист, пълен, истински","!безсоумѣннꙑй, несоумѣннꙑй","absolut, total, schier",absoluut,absoluta,3514,be+ cs+ hr+ mk+ pl+ ru+ sk+,!Sut dva vidy monarhij: **absolutna** monarhija i konstitucijna monarhija.
24054,absorbcija,,f.sg.,1,absorption,,I,"абсорбция, поглощение","абсорбцыя, паглынанне, усмоктванне","поглинання, абсорбція",absorpcja,"pohlcení, vstřebávání, absorpce","absorbovanie, absorbcia, vstrebanie","absorpcija, vpijanje, vsrkavanje","apsorpcija, upijanje","апсорпција, упијање","апсорпција, впивање",абсорбация,!,Absorption,absorptie,"absorbado, sorbado, sorbo",2457,be+ cs+ hr+ mk+ pl+ ru+ sl+ sr+ uk+,!
37611,absorbcijny,,adj.,1,absorptive,,,абсорбционный,абсарбцыйны,абсорбційний,"chłonny, wsiąkliwy, absorpcyjny",absorpční,absorpčný,!absorpcijski,apsorpcijski,апсорпциони,апсорпциски,абсорбционен,!,!absorbierend,absorberend,!absorba,1245,hr+ pl+,!
19625,absorbovati,,v.tr. ipf.,2,absorb,,I,"абсорбировать, поглощать","абсарбаваць, паглынаць","поглинати,  абсорбувати","absorbować, pochłaniać","absorbovat, pohlcovat, vstřebávat","absorbovať, vstrebávať","absorbirati, vpijati","apsorbirati, upijati","апсорбовати, упијати","апсорбира, впива",абсорбирам,!,absorbieren,absorberen,"absorbi, sorbi",2219,cs+ hr+ pl+ sr+ uk+,!
37521,abstinentny,,adj.,1,abstinent,,I,абстинентный,абстынентны,абстинентний,"abstynencyjny, odstawieniowy","abstinentní, abstinenční","abstinenčný, abstinentný",!abstinenčen,apstinencijski,апстинентни,"апстинентен, апстиненциски",абстинентен,!,!abstinent,abstinent,!abstina,910,cs+ hr+ mk+ pl+,!
24056,abstrahovati,,v.tr. ipf./pf.,1,abstract,,I,абстрагировать,абстрагаваць,абстрагувати,abstrahować,abstrahovat,abstrahovať,abstrahirati,apstrahirati,"апстраховати, сажимати","апстрахира, издвојува",абстрахирам се от,!,abstrahieren,abstraheren,abstrakti,1721,cs+ hr+ pl+,!
19626,abstrakcija,,f.,1,abstraction,,I,абстракция,абстракцыя,абстракція,abstrakcja,abstrakce,abstrakcia,abstrakcija,apstrakcija,"апстракција, сажимање",апстракција,абстракция,!,Abstraktion,abstractie,abstraktado,3466,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
35132,abstrakt,,m.,1,"abstract, summary, abridgement",,I,"реферат, резюме, конспект, сокращение","рэферат, рэзюмэ, канспект, скарачэнне","реферат, резюме, витяг, виписка","abstrakt, streszczenie","abstrakt, resumé, souhrn, sumář","abstrakt, resumé, súhrn, sumár","povzetek, izvleček","apstrakt, sažetak","апстракт, сажетак, резиме","апстракт, резиме, сиже",резюме,!,"Abstract, Resumé","samenvatting, uittreksel","abstraktaĵo, resumo",3048,cs+ hr+ mk+ pl+ sk+ sr+,!
19627,abstraktny,,adj.,1,abstract,,I,"абстрактный, отвлечённый","абстрактны, адцягнены",абстрактний,abstrakcyjny,abstraktní,abstraktný,abstrakten,apstraktan,апстрактан,апстрактен,абстрактен,!,abstrakt,abstract,abstrakta,3169,be+ cs+ hr+ mk+ pl+ ru+ sk+,!Go jest **abstraktna** strategična nastolna igra.
6124,absurd,,m.,1,absurdity,,I,"абсурд, нелепость, бессмыслица","абсурд, недарэчнасць, бязглуздзіца, лухта","абсурд, нісенітниця, безглуздість","absurd, niedorzeczność",absurdita,absurdita,"nesmisel, absurd","apsurd, besmislica, nesmisao","апсурд, бесмислица","апсурд, бесмислица, нелогичност, глупост, невозможност",абсурд,!,Absurdität,absurditeit,"absurdo, absurdeco",3276,be+ bg+ cs+ hr+ mk+ pl+ ru+ sl+ sr+ uk+,!Druge ljudi nazyvali tutu věru **absurdom**.
35784,absurdnosť,,f.,1,absurdity,v z j,I,абсурдность,"абсурднасць, недарэчнасць, бессэнсоўнасць",абсурдність,absurdalność,absurdnost,absurdnosť,"nesmiselnost, absurdnost",apsurdnost,"апсурдност, бесмисленост","апсурдност, бесмисленост",абсурдност,!,Absurdität,absurditeit,"absurdo, absurdeco",2425,bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
6125,absurdny,,adj.,1,absurd,,I,"абсурдный, нелепый, несуразный","абсурдны, недарэчны, бессэнсоўны","абсурдний, безглуздий","absurdalny, niedorzeczny",absurdní,absurdný,"nesmiseln, absurden",apsurdan,"апсурдан, бесмислен","апсурден, бесмислен, нелогичен, невозможен",абсурден,!,absurd,absurd,absurda,3029,be+ cs+ hr+ mk+ pl+ sk+,!Cenzori sut rěšili že kniga Štirnera je prěmnogo **absurdna** aby trěbovati podtiskanja.
1986,aby,,conj.,1,"in order to, so as to",,S,"чтобы, дабы, для того чтобы, с тем чтобы","каб, абы, для таго каб, з тым каб","щоб, для того щоб, з тим щоб","aby, żeby","aby, že by","aby, že by","da, da bi, z namenom da","da bi, kako bi, da","да би, како би, да","со цел, за да","затова, за да, с цел да, да би, да",!,um,"teneinde, om te","por, por ke",8194,be+ bg- cs+ hr+ pl+ ru+ sk+ sl~ sr- uk+,!Cenzori sut rěšili že kniga Štirnera je prěmnogo absurdna **aby** trěbovati podtiskanja.
37522,acetilacija,,f.,1,acetylation,,I,ацетилирование,ацэтыляванне,"ацетилювання, ацетилування",acetylacja,acetylace,acetylácia,!acetilacija,acetiliranje,ацетилација,ацетилација,ацетилация,!,!Acetylierung,acetylering,!acetilado,1207,cs+ hr+ mk+ pl+,!
17101,ače,,conj.,4,"although, though",cu,,хотя,"хоць, хаця","хоча, хоч","aczkolwiek, chociaż","ačkoli, i když","hoci, aj keď","čeprav, četudi","iako, mada, premda","иако, мада, премда","иако, макар","въпреки че, макар че",!,obwohl,hoewel,kvankam,7197,bg- cs+ hr~ mk+ pl~ ru- sk+ sr- uk-,!
35331,ačekoli,,conj.,3,"although, though, even though",pl cz,,"хотя, даже притом что","хоць; хаця; нягледзячы на тое, што","хоча, хоч, навіть при тому, що, не зважаючи на те, що","aczkolwiek, chociaż","ačkoli, přestože, i když","hoci, aj keď","čeprav, četudi","iako, makar, premda","иако, мада, премда","иако, и покрај тоа, и покрај тоа што","въпреки че, макар че",!,obwohl,hoewel,kvankam,6712,bg- cs+ hr- pl+ ru- sk~ sr- uk-,"!Mocart iměl velmi prosty pogreb, **ačekoli** on byl velmi popularnym člověkom."
24065,adadžo,,n.,1,adagio,v z j,I,адажио,"адажыа, адажыо (саст.), адажыё (тарашк.)",адажіо,adagio (muzyka),adagio (hudba),adagio (hud.),adagio,adagio,адађо,адаџо (музика),адажио,!,Adagio,adagio,adaĝo,2265,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
24067,adamovo jablȯko,,n.,1,Adam’s apple,,,"кадык, выступ гортани, адамово яблоко","кадык, гарляк, коўцік, адамаў яблык","борлак, кадик, виступ гортані, адамове яблуко",jabłko Adama,"ohryzek,  Adamovo jablko","ohryzok (anatom.), Adamové jablko",adamovo jabolko,adamova jabučica,адамова јабучица,адамово јаболко,адамова ябълка,!,Adamsapfel,adamsappel,Tireoido,2311,cs~ hr+ mk+ pl+ ru+ uk+,!
24068,adaptacija,,f.,1,adaptation,v z j,I,адаптация,"адаптацыя, прыстасаванасць","адаптація, пристосовність","adaptacja, przysposobienie","adaptace, přizpůsobení","adaptácia, prispôsobenie","adaptacija, prilagoditev, priredba",adaptacija,адаптација,"адаптација, прилагодување, приспособување",адаптация,!,Anpassung,"adaptatie, aanpassing",adapto,4711,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!**Adaptacija** državnogo himna Sovětskogo sojuza od 1944 goda.
37523,adaptacijny,,adj.,1,adaptive,,I,адаптационный,адаптацыйны,адаптаційний,adaptacyjny,adaptační,adaptačný,!adaptacijski,adaptacijski,адаптациони,"адаптациски, адаптационен",адаптационен,!,!adaptiv,adaptief,!adaptiĝema,2044,hr+ mk+ pl+,!
24069,adapter,,m.,1,adapter,v z j,I,"адаптер, переходник","адаптар, перахаднік",адаптер,"adapter, przejściówka",adaptér,adaptér,adapter,"adapter, prilagodnik",адаптер,адаптер,адаптер,!,Adapter,adapter,adaptilo,2873,be+ bg+ cs+ hr+ hsb+ mk+ pl- ru+ sk+ sl+ sr+ uk+,!
37851,adaptivny režim,,m.,,responsive mode,,,адаптивный режим,!адаптыўны рэжым,адаптивний режим,tryb responsywny,"responzivní režim, adaptivní mód ","responzívny režim, adaptívny mód ",!prilagodljivi način,adaptivni mod,"респонзивни режим, прилагодљиви режим",!одговорен режим,адаптивен режим,!,!Reaktionsmodus,responsieve modus,!respondema reĝimo,2767,,!
24070,adaptovati,,v.tr. ipf./pf.,1,adapt,v z j,I,адаптировать,"адаптаваць, прыстасаваць",адаптувати,adaptować,"adaptovat, přizpůsobit","adaptovať, prispôsobiť","prilagoditi (se), adaptirati (se)","prilagoditi, adaprirati",прилагодити,"адаптира, прилагодува","адаптирам, пригаждам",!,anpassen,aanpassen,adapti,3424,cs+ hr+ pl+ ru+ sk+ uk+,!
24071,adekvatny,,adj.,1,adequate,v z j,I,"адекватный, удовлетворяющий","адэкватны, здавальняючы","адекватний, той, що задовольняє","adekwatny, wystarczający, zadowalający","adekvátní, odpovídající","adekvátny, zodpovedajúci, primeraný","primeren, ustrezen, adekvaten","odgovarajući, prikladan, dovoljan, adekvatan","одговарајући, прикладан, довољан, адекватан","адекватен, соодветен",адекватен,!,angemessen,adequaat,"adekvata, laŭcela",3616,be+ cs+ hr+ mk+ pl+ ru+ sk+ uk+,!
6126,adept,,m.anim.,2,"adherent, follower",v,I,"адепт, последователь","адэпт, паслядоўнік","адепт, прихильник, послідовник","stronnik, zwolennik","přívrženec, stoupenec","prívrženec, stúpenec","privrženec, sledilec","pristalica, sljedbenik","присталица, следбеник",следбеник,"последовател, послушник",!,"Lehrling, Folger","adept, aanhanger, volgeling","adepto, ano",2531,be+ cs- hr+ pl- ru+ uk+,!
24076,adjutant,,m.anim.,1,adjutant,v z j,I,адъютант,ад'ютант,ад'ютант,adiutant,"pobočník, pomocník","pobočník, pomocník","pribočnik, adjutant","ađutant, pobočnik",ађудант,аѓутант,адютант,!,Adjutant,adjudant,helpanto,3144,cs~ hr+ pl+ sl+ uk+,!
37524,admin,,m.anim.,1,"admin (slang), administrator",,I,админ (жарг.),адмін,адмін,admin,admin,admin,!admin,"administrator, admin","админ, администратор (информатика)",админ,админ,!,"!admin (Slang), Administrator",admin (jargon),"!admin (slang), administranto",2922,cs+ hr+ mk+ pl+ sk+,!
2848,administracija,,f.,1,administration,v z j,I,администрация,адміністрацыя,адміністрація,administracja,"správa, administrace","správa, administrácia","administracija, uprava","uprava, administracija","администрација, управа",администрација,администрация,!,Verwaltung,administratie,administrado,5776,be+ bg+ cs+ hr+ hsb+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!Poslě puča 1948 roka Čehoslovakija stala byti pod komunističnoju **administracijeju** i stala čestju sovětskogo Iztočnogo bloka.
17108,administrativny,,adj.,1,administrative,v z j,I,административный,адміністрацыйны,адміністративний,administracyjny,"správní, administrativní","správny, administratívny","administrativen, upravni",administrativan,административан,административни,административен,!,administrativ,administratief,administra,5009,cs+ hr+ mk+ pl+ ru+ sk+ sr+ uk+,!Država děli se **administrativno** na 6 krajin.
96,administrator,,m.anim.,1,administrator,v z j,I,администратор,адміністратар,адміністратор,administrator,"správce, administrátor","správca, administrátor",administrator,administrator,администратор,администраторот,администратор,!,Administrator,administrateur,administranto,5485,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!Byl **administratorom** niderlandskoj i Volapükskoj Vikipedije.
37793,administratorka,,f.,1,administrator (female),,,администраторша,адміністратарка,адміністраторка,administratorka,administrátorka,administrátorka,!administratorka,administratorica,администраторка,администраторка,администраторка,!,!Administratorin (weiblich),administratrice,!administranto (ino),1875,cs+ hr+ mk+ pl+,!
24081,administrovati,,v.tr. ipf.,1,administrate,v z j,I,администрировать,адміністраваць,адмініструвати,zarządzać,"spravovat, administrovat","spravovať, administrovať","upravljati, administrirati",administrirati,администрирати,администрира,"администрирам, управлявам, ръководя",!,administrieren,"administreren, beheren",administri,2510,cs+ hr+ pl+ uk+,!
24082,admiral,,m.anim.,1,admiral,v z j,I,адмирал,адмірал,адмірал,admirał,admirál,admirál,admiral,admiral,адмирал,адмирал,адмирал,!,Admiral,admiraal,admiralo,5775,be+ bg+ cs+ hr+ hsb+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
37525,admiraľsky,,adj.,1,admiral,,I,адмиральский,адміральскі,адміральський,admiralski,admirálský,admirálsky,!admiralski,admiralski,адмиралски,адмиралски,адмиралски,!,!Admiral,admiraals-,!admiralo,1829,cs+ mk+ pl+,!
24084,admiraľstvo,,n.,1,admirality,v z j,I,адмиралтейство,адміралцейства,адміралтейство,admiralicja,admiralita,admiralita,admiralstvo,admiralitet,адмиралитет,адмиралитет,адмиралтейство,!,Admirality,admiraliteit,admiralitato,1720,cs+ hr+ pl+,!
35592,adopcija,,f.,1,adoption,v z j,I,"усыновление, удочерение","усынаўленне, удачарэнне","прийняття, усиновлення",adopcja,"adopce, osvojení, přijetí","adopcia, osvojenie, prijatie","posvojitev (otroka), sprejetje","usvojenje, adopcija",усвојење,"усвојување, посвојување",осиновяване,!,Adoption,adoptie,adopto,4241,cs+ hr+ pl+ ru~ sk+ sr+ uk-,!
19628,adoptovati,,v.tr. ipf.,2,adopt,z,I,"усыновлять, удочерять","усынаўляць, удачараць","прийняти, усиновити",adoptować,"adoptovat, osvojit, přijmout","adoptovať, osvojiť, prijať (za svoje)","posvojiti (otroka), sprejeti",usvajati,усвајати,"усвојува, посвојува",осиновявам,!,adoptieren,adopteren,adopti,3392,cs+ hr+ pl+ ru- sk+,!Ime evro bylo služebno **adoptovano** 16 decembra 1995 roka v Madridu.
24086,adrenalin,,m.sg.,1,adrenaline,v z j,I,адреналин,адрэналін,адреналін,adrenalina,adrenalin,adrenalín,adrenalin,adrenalin,адреналин,адреналин,адреналин,!,Adrenalin,adrenaline,adrenalino,5076,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
17109,adres,,m.,1,address,v z sh bm,I,адрес,адрас,адреса,adres,adresa,adresa,naslov,adresa,адреса,адреса,адрес,!,Adresse,adres,adreso,6921,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sr+ uk+,!
248,adresa,,f.,1,address,v z sh bm,I,адрес,адрас,адреса,adres,adresa,adresa,naslov,adresa,адреса,адреса,адрес,!,Adresse,adres,adreso,6921,be+ bg+ cs+ hr+ mk+ pl+ ru~ sk+ sl+ sr+ uk+,!
37526,adresacija,,f.,1,addressing,,I,адресация,"адрасаванне, адрасацыя",адресація,"adresacja, adresowanie",adresace,adresácia,!naslavljanje,adresiranje,"адресирање (информатика), адресовање (пошта)",адресирање,адресиране,!,!Adressierung,adressering,!alparolado,2434,cs+ hr+ pl+,!
24089,adresat,,m.anim.,1,addressee,v z bm,I,адресат,адрасат,адресат,adresat,adresát,adresát,naslovnik,primatelj,прималац,"адресат, примател","получател, адресат",!,Adressat,geadresseerde,adresato,2771,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ uk+,!
37527,adresny,,adj.,1,address,,I,адресный,адрасны,адресний,adresowy,"adresný, adresní",adresný,!naslovni,"!adresa, poštanski broj","адресни, поштански (број)","адресен, поштенски",адресен,!,!Adresse,"adres-, adressen-",!adreso,2651,cs+ hr+ mk+ pl+,!
4540,adresovati,,v.tr. ipf.,1,address,v z sh bm,I,адресовать,адрасаваць,адресувати,adresować,adresovat,adresovať,nasloviti,adresirati,адресирати,адресира,адресирам,!,Adresse,adresseren,adresi,3124,cs+ hr+ pl+ uk+,!
