blocker_id,row_id,target_language,english_concept,blocker_status,probe_terms,source_paths_checked,source_paths_present,source_paths_missing,source_paths_readable_or_listable,pdf_review_required_paths,literal_hit_terms,literal_hit_paths,literal_hit_total,source_use_decision,next_recovery_or_review_action,codepoint_tex_pdf_note,fable_branch_weight_proxy,marginal_intelligibility_note,adverse_evidence_note,branch_head,non_claim_boundary,new_branch_head_212dfb,branch_212dfb_recovery_effect
CJK-WC-BLOCK-0011,CJK-SG-20260706-0006,zh-Hans,Artinian/Artin,retained-review/source blocker,Artinian／Artin; Artinian; Artin; 阿廷; 阿丁; 阿廷环,9,4,5,3,0,Artin; Artinian,language-source-bodies\cjk\native-source-bodies\ja\source-archives\Seasawher_matsumura_48b9d10bab2d1c2525966cd17d7cf867731a88b0.zip; language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip; language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-2_adc65ba29255f04d669a8f8a88d9fa30b71aec5b.zip,82,literal hits found but require row-context/source review before draft advancement,review register/partial-literal status against source context,"Recovered zh-Hans[fullwidth-punctuation|latin U+0041 U+0072 U+0074 U+0069 U+006E U+0069 U+0061 U+006E U+FF0F U+0041 U+0072 U+0074 U+0069 U+006E]; original packet note: JP[cjk-unified-ideograph|kana U+30A2..U+FF0F]; zh-Hans[gap-or-symbolic ]; ko-source[hangul U+B974..U+D658]. Missing branches remain GAP; keep CJK/Hangul outside TeX math mode; preserve TeX macros, variables, and formula punctuation in math mode.",0.25,blocked/recovery row; intelligibility support only after source-context review,Do not infer an accepted Han transliteration or ring adjective from name-only Latin hits.,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-WC-BLOCK-0012,CJK-SG-20260706-0007,zh-Hans,semisimple ring,retained-review/source blocker,半单环; 半单; 半单代数; semisimple,9,4,5,3,0,semisimple; 半单,language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip; language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-2_adc65ba29255f04d669a8f8a88d9fa30b71aec5b.zip,50,literal hits found but require row-context/source review before draft advancement,review register/partial-literal status against source context,"Recovered zh-Hans[cjk-unified-ideograph U+534A U+5355 U+73AF]; original packet note: JP[cjk-unified-ideograph U+534A..U+7D14]; zh-Hans[gap-or-symbolic ]; ko-source[hangul U+B2E8..U+D658]. Missing branches remain GAP; keep CJK/Hangul outside TeX math mode; preserve TeX macros, variables, and formula punctuation in math mode.",0.25,blocked/recovery row; intelligibility support only after source-context review,Do not treat broad `半单` hits as direct semisimple-ring closure without formula/context review.,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-WC-BLOCK-0013,CJK-SG-20260706-0012,zh-Hans,decomposition of primes,retained-review/source blocker,素因子分解; 素理想分解; 理想分解; 素分解; prime decomposition,9,4,5,3,0,素分解; 素因子分解,language-source-bodies\cjk\native-source-bodies\ja\source-archives\Seasawher_matsumura_48b9d10bab2d1c2525966cd17d7cf867731a88b0.zip; language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip; language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-2_adc65ba29255f04d669a8f8a88d9fa30b71aec5b.zip,8,literal hits found but require row-context/source review before draft advancement,obtain stronger direct row-context source before using as direct translation evidence,"Recovered zh-Hans[cjk-unified-ideograph U+7D20 U+56E0 U+5B50 U+5206 U+89E3]; original packet note: JP[cjk-unified-ideograph|kana U+30A2..U+89E3]; zh-Hans[gap-or-symbolic ]; ko-source[hangul U+B514..U+D574]. Missing branches remain GAP; keep CJK/Hangul outside TeX math mode; preserve TeX macros, variables, and formula punctuation in math mode.",0.25,blocked/recovery row; intelligibility support only after source-context review,"Treat `素因子分解` as a recovery lead, not a closure for algebraic prime-ideal decomposition.",8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-WC-BLOCK-0014,CJK-SG-20260706-0013,zh-Hans,class number,no retained blocker in B3 handoff,类数; class number,3,2,1,2,0,class number; 类数,language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip; language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-2_adc65ba29255f04d669a8f8a88d9fa30b71aec5b.zip,4,literal hits found but require row-context/source review before draft advancement,Carry as source-checked generated-draft/non-canonical support only; do not promote or populate reviewer packets.,类数 codepoints: U+7C7B U+6570; keep CJK/fullwidth punctuation outside TeX math mode.,0.25,blocked/recovery row; intelligibility support only after source-context review,The occurrence is inside `分类数学对象`; it is not an independent class-number anchor.,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-WC-BLOCK-0015,term-zh-hans-0004,zh-Hans,localization,source-canon-insufficient,局部化; 局域化; localization; Lokalisierung,3,2,1,2,0,localization; 局部化,language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip; language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-2_adc65ba29255f04d669a8f8a88d9fa30b71aec5b.zip,281,literal or weak hits do not close retained blocker without direct German/local row anchor or reviewer bridge,Continue source recovery and exact row-context search before source-gated draft use.,Keep CJK text outside TeX math mode; preserve formula macros/variables in math mode; verify CJK-capable fonts before PDF use.,0.10,blocked/recovery row; intelligibility support only after source-context review,,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-WC-BLOCK-0016,term-zh-hans-0005,zh-Hans,abstract algebra,source-canon-insufficient,抽象代数; abstract algebra,3,2,1,2,0,抽象代数,language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip,2,literal or weak hits do not close retained blocker without direct German/local row anchor or reviewer bridge,Continue source recovery and exact row-context search before source-gated draft use.,Keep CJK text outside TeX math mode; preserve formula macros/variables in math mode; verify CJK-capable fonts before PDF use.,0.10,blocked/recovery row; intelligibility support only after source-context review,,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-WC-BLOCK-0017,term-zh-hans-0006,zh-Hans,modern algebra,source-canon-insufficient,近世代数; 现代代数; modern algebra; Moderne Algebra,3,2,1,2,0,近世代数,language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip,2,literal or weak hits do not close retained blocker without direct German/local row anchor or reviewer bridge,Continue source recovery and exact row-context search before source-gated draft use.,Keep CJK text outside TeX math mode; preserve formula macros/variables in math mode; verify CJK-capable fonts before PDF use.,0.10,blocked/recovery row; intelligibility support only after source-context review,,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-WC-BLOCK-0018,term-zh-hans-0013,zh-Hans,tensor product,source-canon-insufficient,张量积; 张量; tensor; \otimes; Tensorprodukt,3,2,1,2,0,\otimes; tensor; 张量; 张量积,language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip; language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-2_adc65ba29255f04d669a8f8a88d9fa30b71aec5b.zip,3360,literal or weak hits do not close retained blocker without direct German/local row anchor or reviewer bridge,Continue source recovery and exact row-context search before source-gated draft use.,Keep CJK text outside TeX math mode; preserve formula macros/variables in math mode; verify CJK-capable fonts before PDF use.,0.10,blocked/recovery row; intelligibility support only after source-context review,,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-WC-BLOCK-0019,term-zh-hans-0020,zh-Hans,Noether/Noetherian,source-canon-insufficient,诺特／Noetherian; 诺特环 for Noetherian ring; Noether; Noetherian; 诺特; 诺特环,3,2,1,2,0,Noether; Noetherian,language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip; language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-2_adc65ba29255f04d669a8f8a88d9fa30b71aec5b.zip,65,literal Noether hits remain person/name/title-adjacent unless row context proves Noetherian-ring usage,Continue source recovery and exact row-context search before source-gated draft use.,Keep CJK text outside TeX math mode; preserve formula macros/variables in math mode; verify CJK-capable fonts before PDF use.,0.10,blocked/recovery row; intelligibility support only after source-context review,,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-WC-BLOCK-0020,term-zh-hans-0021,zh-Hans,Noether/Noetherian,source-canon-insufficient,诺特／Noetherian; 诺特环 for Noetherian ring; Noether; Noetherian; 诺特; 诺特环,3,2,1,2,0,Noether; Noetherian,language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip; language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-2_adc65ba29255f04d669a8f8a88d9fa30b71aec5b.zip,65,literal Noether hits remain person/name/title-adjacent unless row context proves Noetherian-ring usage,Continue source recovery and exact row-context search before source-gated draft use.,Keep CJK text outside TeX math mode; preserve formula macros/variables in math mode; verify CJK-capable fonts before PDF use.,0.10,blocked/recovery row; intelligibility support only after source-context review,,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-33B23-BLOCK-001,branch33b23-cross-row,CJK scoped,ja division ring,retained blocker after false-positive `斜体` typography hit,,11,11,0,11,6,,,0,retained adverse/false-positive until explicit algebraic source context is found,"Search additional Japanese algebra source bodies for `斜体`, `除法環`, `可除環`, or another direct division-ring register.",Preserve JP/zh-Hans codepoints; PDFs require visual/source review before row promotion.,0.05,blocked/recovery row; intelligibility support only after source-context review,,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-33B23-BLOCK-002,branch33b23-cross-row,CJK scoped,ja right module and ja group algebra,source-linked but blocked pending PDF visual/source review,,11,11,0,11,6,,,0,no searchable literal closure; PDF bodies present but require visual/source review,Inspect cited Japanese PDF pages visually before any source-check advancement.,Preserve JP/zh-Hans codepoints; PDFs require visual/source review before row promotion.,0.15,blocked/recovery row; intelligibility support only after source-context review,,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-33B23-BLOCK-003,branch33b23-cross-row,CJK scoped,"zh-Hans Artin/Artinian, semisimple ring, decomposition of primes",source/review blockers retained,,11,11,0,11,6,,,0,no searchable literal closure; PDF bodies present but require visual/source review,Find direct zh-Hans row-context source anchors or keep as blocker/adverse queue.,Preserve JP/zh-Hans codepoints; PDFs require visual/source review before row promotion.,0.15,blocked/recovery row; intelligibility support only after source-context review,,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
