id,paper,language,printed_page,latex,status
dirichlet.v1.p04b.en.eq.013,IVb,en,77,"t\pm\psi\equiv0\pmod b,\qquad \leg{t\mp\psi}{b}=1.",translated_text_same_formula
dirichlet.v1.p04b.eq.014,IVb,fr,79,"(\varepsilon)\qquad \left\{ \begin{array}{llll} \leg{-a}{g}=1,& \leg{-a}{g'}=1,& \leg{-a}{g''}=1,& \text{etc.}\\[0.3em] \leg{-a}{h}=-1,& \leg{-a}{h'}=-1,& \leg{-a}{h''}=-1,& \text{etc.} \end{array} \right.",typed
dirichlet.v1.p04b.en.eq.014,IVb,en,79,"(\varepsilon)\qquad \left\{ \begin{array}{llll} \leg{-a}{g}=1,& \leg{-a}{g'}=1,& \leg{-a}{g''}=1,& \text{etc.}\\[0.3em] \leg{-a}{h}=-1,& \leg{-a}{h'}=-1,& \leg{-a}{h''}=-1,& \text{etc.} \end{array} \right.",translated_text_same_formula
dirichlet.v1.p04b.eq.015,IVb,fr,79,"\begin{array}{llll} \leg{-ap}{g}=1,& \leg{-ap}{g'}=1,& \leg{-ap}{g''}=1,& \text{etc.}\\[0.3em] \leg{-ap}{h}=1,& \leg{-ap}{h'}=1,& \leg{-ap}{h''}=1,& \text{etc.} \end{array}",typed
dirichlet.v1.p04b.en.eq.015,IVb,en,79,"\begin{array}{llll} \leg{-ap}{g}=1,& \leg{-ap}{g'}=1,& \leg{-ap}{g''}=1,& \text{etc.}\\[0.3em] \leg{-ap}{h}=1,& \leg{-ap}{h'}=1,& \leg{-ap}{h''}=1,& \text{etc.} \end{array}",translated_text_same_formula
dirichlet.v1.p04b.eq.016,IVb,fr,79,"\begin{array}{llll} \leg{p}{g}=1,& \leg{p}{g'}=1,& \leg{p}{g''}=1,& \text{etc.}\\[0.3em] \leg{p}{h}=-1,& \leg{p}{h'}=-1,& \leg{p}{h''}=-1,& \text{etc.} \end{array}",typed
dirichlet.v1.p04b.en.eq.016,IVb,en,79,"\begin{array}{llll} \leg{p}{g}=1,& \leg{p}{g'}=1,& \leg{p}{g''}=1,& \text{etc.}\\[0.3em] \leg{p}{h}=-1,& \leg{p}{h'}=-1,& \leg{p}{h''}=-1,& \text{etc.} \end{array}",translated_text_same_formula
dirichlet.v1.p04b.eq.017,IVb,fr,79,"\begin{array}{llll} \leg{g}{p}=1,& \leg{g'}{p}=1,& \leg{g''}{p}=1,& \text{etc.}\\[0.3em] \leg{h}{p}=-1,& \leg{h'}{p}=-1,& \leg{h''}{p}=-1,& \text{etc.} \end{array}",typed
dirichlet.v1.p04b.en.eq.017,IVb,en,79,"\begin{array}{llll} \leg{g}{p}=1,& \leg{g'}{p}=1,& \leg{g''}{p}=1,& \text{etc.}\\[0.3em] \leg{h}{p}=-1,& \leg{h'}{p}=-1,& \leg{h''}{p}=-1,& \text{etc.} \end{array}",translated_text_same_formula
dirichlet.v1.p04b.eq.018,IVb,fr,79,"\leg{gg'g''\ldots{}\times hh'h''\ldots}{p}=\leg{t}{p}=\pm1,",typed
dirichlet.v1.p04b.en.eq.018,IVb,en,79,"\leg{gg'g''\ldots{}\times hh'h''\ldots}{p}=\leg{t}{p}=\pm1,",translated_text_same_formula
dirichlet.v1.p04b.eq.019,IVb,fr,80,"(\zeta)\qquad \left\{ \begin{array}{llll} \leg{a}{g}=\pm1,& \leg{a}{g'}=\pm1,& \leg{a}{g''}=\pm1,& \text{etc.}\\[0.3em] \leg{a}{h}=\pm1,& \leg{a}{h'}=\pm1,& \leg{a}{h''}=\pm1,& \text{etc.} \end{array} \right.",typed
dirichlet.v1.p04b.en.eq.019,IVb,en,80,"(\zeta)\qquad \left\{ \begin{array}{llll} \leg{a}{g}=\pm1,& \leg{a}{g'}=\pm1,& \leg{a}{g''}=\pm1,& \text{etc.}\\[0.3em] \leg{a}{h}=\pm1,& \leg{a}{h'}=\pm1,& \leg{a}{h''}=\pm1,& \text{etc.} \end{array} \right.",translated_text_same_formula
dirichlet.v1.p04b.eq.020,IVb,fr,80,\leg{t}{p}=\leg{t}{a}.,typed
dirichlet.v1.p04b.en.eq.020,IVb,en,80,\leg{t}{p}=\leg{t}{a}.,translated_text_same_formula
dirichlet.v1.p04b.eq.021,IVb,fr,80,\leg{t}{p}=-\leg{t}{a}.,typed
dirichlet.v1.p04b.en.eq.021,IVb,en,80,\leg{t}{p}=-\leg{t}{a}.,translated_text_same_formula
