authority_pdf_page	authority_role	comparator_pdf_page	comparator_role	source_volume_page	source_volume_coordinate_definition	paper_folio	paper_folio_coordinate_definition	paper_folio_visibility	running_locator	prompt_id	authority_sha256	work_disposition	copy_matter_disposition	visual_object_policy	major_marker
11	CONTROLLING_IAS_NUMBER22	11	COLLECTED_SPLIT_COMPARISON_ONLY	504	COLLECTED_PAPERS_VOLUME_II_PAGE	153	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-11	P02	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
12	CONTROLLING_IAS_NUMBER22	12	COLLECTED_SPLIT_COMPARISON_ONLY	505	COLLECTED_PAPERS_VOLUME_II_PAGE	154	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-12	P02	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
13	CONTROLLING_IAS_NUMBER22	13	COLLECTED_SPLIT_COMPARISON_ONLY	506	COLLECTED_PAPERS_VOLUME_II_PAGE	155	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-13	P03	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
14	CONTROLLING_IAS_NUMBER22	14	COLLECTED_SPLIT_COMPARISON_ONLY	507	COLLECTED_PAPERS_VOLUME_II_PAGE	156	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-14	P03	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
15	CONTROLLING_IAS_NUMBER22	15	COLLECTED_SPLIT_COMPARISON_ONLY	508	COLLECTED_PAPERS_VOLUME_II_PAGE	157	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-15	P03	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
16	CONTROLLING_IAS_NUMBER22	16	COLLECTED_SPLIT_COMPARISON_ONLY	509	COLLECTED_PAPERS_VOLUME_II_PAGE	158	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-16	P03	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
17	CONTROLLING_IAS_NUMBER22	17	COLLECTED_SPLIT_COMPARISON_ONLY	510	COLLECTED_PAPERS_VOLUME_II_PAGE	159	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-17	P03	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Notations
18	CONTROLLING_IAS_NUMBER22	18	COLLECTED_SPLIT_COMPARISON_ONLY	511	COLLECTED_PAPERS_VOLUME_II_PAGE	160	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-18	P03	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	I. Préliminaires
19	CONTROLLING_IAS_NUMBER22	19	COLLECTED_SPLIT_COMPARISON_ONLY	512	COLLECTED_PAPERS_VOLUME_II_PAGE	161	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-19	P04	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
20	CONTROLLING_IAS_NUMBER22	20	COLLECTED_SPLIT_COMPARISON_ONLY	513	COLLECTED_PAPERS_VOLUME_II_PAGE	162	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-20	P04	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
21	CONTROLLING_IAS_NUMBER22	21	COLLECTED_SPLIT_COMPARISON_ONLY	514	COLLECTED_PAPERS_VOLUME_II_PAGE	163	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-21	P04	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
22	CONTROLLING_IAS_NUMBER22	22	COLLECTED_SPLIT_COMPARISON_ONLY	515	COLLECTED_PAPERS_VOLUME_II_PAGE	164	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-22	P04	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
23	CONTROLLING_IAS_NUMBER22	23	COLLECTED_SPLIT_COMPARISON_ONLY	516	COLLECTED_PAPERS_VOLUME_II_PAGE	165	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-23	P04	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
24	CONTROLLING_IAS_NUMBER22	24	COLLECTED_SPLIT_COMPARISON_ONLY	517	COLLECTED_PAPERS_VOLUME_II_PAGE	166	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-24	P04	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
25	CONTROLLING_IAS_NUMBER22	25	COLLECTED_SPLIT_COMPARISON_ONLY	518	COLLECTED_PAPERS_VOLUME_II_PAGE	167	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-25	P05	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
26	CONTROLLING_IAS_NUMBER22	26	COLLECTED_SPLIT_COMPARISON_ONLY	519	COLLECTED_PAPERS_VOLUME_II_PAGE	168	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-26	P05	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
27	CONTROLLING_IAS_NUMBER22	27	COLLECTED_SPLIT_COMPARISON_ONLY	520	COLLECTED_PAPERS_VOLUME_II_PAGE	169	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-27	P05	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
28	CONTROLLING_IAS_NUMBER22	28	COLLECTED_SPLIT_COMPARISON_ONLY	521	COLLECTED_PAPERS_VOLUME_II_PAGE	170	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-28	P05	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
29	CONTROLLING_IAS_NUMBER22	29	COLLECTED_SPLIT_COMPARISON_ONLY	522	COLLECTED_PAPERS_VOLUME_II_PAGE	171	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-29	P05	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
30	CONTROLLING_IAS_NUMBER22	30	COLLECTED_SPLIT_COMPARISON_ONLY	523	COLLECTED_PAPERS_VOLUME_II_PAGE	172	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-30	P05	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
31	CONTROLLING_IAS_NUMBER22	31	COLLECTED_SPLIT_COMPARISON_ONLY	524	COLLECTED_PAPERS_VOLUME_II_PAGE	173	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-31	P06	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	II. Courbes elliptiques généralisées
32	CONTROLLING_IAS_NUMBER22	32	COLLECTED_SPLIT_COMPARISON_ONLY	525	COLLECTED_PAPERS_VOLUME_II_PAGE	174	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-32	P06	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
33	CONTROLLING_IAS_NUMBER22	33	COLLECTED_SPLIT_COMPARISON_ONLY	526	COLLECTED_PAPERS_VOLUME_II_PAGE	175	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-33	P06	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
34	CONTROLLING_IAS_NUMBER22	34	COLLECTED_SPLIT_COMPARISON_ONLY	527	COLLECTED_PAPERS_VOLUME_II_PAGE	176	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-34	P06	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
35	CONTROLLING_IAS_NUMBER22	35	COLLECTED_SPLIT_COMPARISON_ONLY	528	COLLECTED_PAPERS_VOLUME_II_PAGE	177	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-35	P06	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
36	CONTROLLING_IAS_NUMBER22	36	COLLECTED_SPLIT_COMPARISON_ONLY	529	COLLECTED_PAPERS_VOLUME_II_PAGE	178	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-36	P06	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
37	CONTROLLING_IAS_NUMBER22	37	COLLECTED_SPLIT_COMPARISON_ONLY	530	COLLECTED_PAPERS_VOLUME_II_PAGE	179	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-37	P07	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
38	CONTROLLING_IAS_NUMBER22	38	COLLECTED_SPLIT_COMPARISON_ONLY	531	COLLECTED_PAPERS_VOLUME_II_PAGE	180	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-38	P07	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
39	CONTROLLING_IAS_NUMBER22	39	COLLECTED_SPLIT_COMPARISON_ONLY	532	COLLECTED_PAPERS_VOLUME_II_PAGE	181	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-39	P07	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
40	CONTROLLING_IAS_NUMBER22	40	COLLECTED_SPLIT_COMPARISON_ONLY	533	COLLECTED_PAPERS_VOLUME_II_PAGE	182	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-40	P07	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
41	CONTROLLING_IAS_NUMBER22	41	COLLECTED_SPLIT_COMPARISON_ONLY	534	COLLECTED_PAPERS_VOLUME_II_PAGE	183	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-41	P07	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
