authority_pdf_page	source_volume_page	paper_folio	prompt_id	disposition	source_status	english_status	apparatus_status	final_status	record_sha256_source	record_sha256_english	record_sha256_apparatus
11	504	153	P02	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	A9E4BB7EC0A1547547D81883E0FFA35D60A91B03B67683A0DCC7C18246B8EB9F	435203F7CC4839BBF5B1F6664CD8A830DB912362033EEE0963D51F9709E29CE5	56334E9DEE808850980E2E4F7C073046F765BE2A4CD8C21FDF1E9D0FCA406BC8
12	505	154	P02	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	387D6E18862406BEF4286CB2D7845CBF8F33AE3D6DAE7AA5FC38AECF729F1D6A	73D256839F8719E88E5B47FF72CD0573D364B9D4176EAA39279215F331D5247A	4BF2411445148285F1C73697CAA127C6506C3A663E4889DB87ED93B869BE67D5
13	506	155	P03	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	80454C4B7F05BACC77820A91D72A6B2088C9CE598D67129B7B43140B4A759556	B11769DD3B545C2ECF8288FD2D2DF41F1E3FD8D4DD0AD826EA9201FBB2D2DF22	ABF42F2526BD94996F602256B85E434A0F34ACBCF36D006FF5AD0ABF350B1507
14	507	156	P03	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	5A48D7946AC4335D783166CE95B658B7C92F3DE543B1AF1EEADD96C14FFBC6EB	D22AD04D752CA63D6CA5CACEB2CC690D10A96930C8E18593CFE0E3EF361E9A33	77E48A82F1C0AFC75FA72CFB55009545D691036AE77AD7623C8337BBB35ADA37
15	508	157	P03	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	32CE985E8C4D1929392CB97E8B83C3492A4247762412624BFE6E0D64C4A097FA	FFA7EF4879A8AB95731285048F7A665B72FB17A27A0E4BCEFA0C93BBCE10AB4A	BC73A0C92EE46E4F8FCB237F5FF47829A6388DFD572CE0DC037CBF4C002AC418
16	509	158	P03	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	AFB137650CC977EEF365A248B7E4343B93C28C388629EE67987FD2DB7C3EFA3B	268E28834AC674669AE1A019CDA6F98EF57C0A60A725E1A7B74C6B11C063978A	810860F8C4DF77A429926D8196027182A5002B15692D85A94984D1EAF4F494B2
17	510	159	P03	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	5A6DA2580DDEDED7753BA90B1B3428F00DA1CE97339ADF5920F588988877FF32	BB4777222460E12CD5187523291C2F97D7FED7A1486062797942AF9092D1E519	F5BEB132908E75917495F462BE15417443271E253425A84C08BB848B3D979A5B
18	511	160	P03	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	527A2636D424F9E030C017EF6FC8276B164755657538BA3B8D66087433CFD4DE	C8D0C1DD56F29ECE004488B930684E4A63FCB51CA3ED6687DE6F92C1CCE4A9AD	5AC8685EE49A48046525589F2A7BB3C6A5346F93F481EF8D29E37A249AC1217E
19	512	161	P04	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	DF6A1AAEF1A248A3E84270BE25B0AD42FDDD0BBA11879E32BEA72DC9A62568E8	F6C4AA10A8FA70C6CD61F32716F4837867A9A87CC5569FD71ACD77C5AEBEA052	05BC5032380DE3AB76712EB851E8A12CB4F443CBBE141E2F99A3716670223847
20	513	162	P04	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	DC1A9E9FB575114DD3E317E15E317DC7055724DE56D1042D8F6FCA3B85427848	0F365A7B7CAC3C949BBC8832B9989502F607A4D83C64E63D194CF9DC97D28A31	920C768E236AAFDBAB8A5E84BA4FD7D372509C779A52293FB15F79CA90874778
21	514	163	P04	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	7F719CEE7457664F62019DD9796FB6A398BAFB400DD8E5FF7F959557EB1FEF7C	8BE496B28B988D8F4885A31F477613D210662CCF5D24AD414E4C3D341C1D42DD	2AA8818BE0F4F75414390BA5CD104585680755398546E46E3C103BABE0146692
22	515	164	P04	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	DC22B0DF50D9C32BE155A6632B998E060B2AA73438AA6F6CB507159E21800EC6	3A02B0ECF2F88AD2604456C765F371C3B1C33B8B682E7ECA22C4E53D4FC4B078	CC3CC97B6D6136CE21D06793AF70A1BEA4EA57A7266A784539B2CCF230BDDCCC
23	516	165	P04	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	192603BD053BC4E4E1D11B211E3AA243695CB4CEED7A80F108C61C901176DA64	99C68A29CDD113852DD263913EC6E16570CA283E38E0C5116A1FD3B919FA7984	16C6F7344FFEB562457363532D966DEEA78EEDD843999FFA5784340FA14121F7
24	517	166	P04	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	8060A337D122AC9B7B5B1D41F69D4EF2D40F4CC4EC085249A9C6B56EB9333DDF	33A9D9B29F703DF193CA9D9ACACDD7CA8B26D3C4B9EC502961EF697B82F396B0	DE0EF513621C9EFC78AF796A969FBAEAAAF0BB723B9D0BF5814E69F58DD51600
25	518	167	P05	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	F8A002974CED0517A16475A1035925F07B9C710E803D00AD7900C1301997D241	5B03DDDF84F32B97216CA0EF5F47CA4241511F89410BF50A5A59E1DC4B2CB7A7	334F9C3C45B2981ED6504431221434B2C934F42650B0A9D3DF7A114AF7B133D8
26	519	168	P05	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	1C3DEE44F8282B934ED775A06122CDD6C4B87E6737DF208AFE3298CA4EEF3808	0A0CA626C16AA1E4CD07811ACD466FB05BFE5F7620EB47699FBD88FDED1DA64C	69498C21F031E780DE3CD5F5D83497CB06B948F5FD78EBED215E9545EC6C0AD4
27	520	169	P05	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	1BA93140ABEFCB6B430E5BB832A95693CA6812B4B754E39483A3E3933599F8F2	0A38264C40514FA4D7F63C5F09586178E21873C5A684ED3923187B4C37B1895B	AFA8185094BA18AC9EC694F92EEE8499C10C8D525E8B6DB396989F2A27A2610A
28	521	170	P05	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	D249BB0749B99889CDF9F98AD35559818D4640850A3E52985E36C7A03C1C346E	B74A082DE173B40CB4AA7C4DD72E37FC2810E03FBFF5D9A93FB355161FEFFD0B	1B16C860E3D81130E5540959E1482E9D388B4AC5497D7356C9289A8287884B83
29	522	171	P05	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	CD48F6006381764DFC40B22770CE595F9F152605B18B0A8E13DB84CFE4B912E0	4CB41620F98F3FE18981D44411FB368AA8C4A68DE0A07722A7361C30CDB5C7BF	BCB70E35F5BF65F29BA7FEF9E9C63A1FFCCC682BC74598C80BEB2319CF1CE061
30	523	172	P05	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	2AA93E2D7F03ED71B06833212B801D15CB7B5861FADC83BC2EF99ED48D90B058	7D60647A161AC7769A21F58DAC29637B785ABCC65786839D0DB342E66176F7BB	EC47F6845325AAB2DE1C679CCCFA6C128328473E8C24DBBD53B2708A0B3E3DDE
31	524	173	P06	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	569020F3C7412290864B82C34D5B409266C39536531CD90419202F9024A501C7	6FADE5F9DE4782E608A9A07C4DE7A1435842950F7CB3C7D5D0A5297389BB2FCC	B51A23EDD9F2A013007E1C564A36528053420411B54A58CCD9C1D608B7390EF2
32	525	174	P06	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	DE089E0A63C9C00A184C74DA2927F78C29642E70698F1906911134F30BBEBCEA	FCF4D02001F9DD21B51BEE36A9EA52D0CCC41410B537E379A792C5BB4421D3D6	E7F946D49DF03F6FEAB261C54D1126AD594A3741EB69D0A8BBA3B7447CC9B3DB
33	526	175	P06	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	BF320D0372214FC8279BC3A275E3A0B89F5856AD0C75311503482C5A45821572	068002F8A49C54E47208C63E6219B87B22EDE29A2730C0ADCA42724F920B3184	A684764E3B5BFC2E54F376C9C08FBB925B766320E5803B56DD7F3636E2EF045C
34	527	176	P06	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	D42AC4526AD39637DDEF8BCE042914A1E13E9FAAD3EF10E4CAF35E10E7588EC7	BF1CEC293BF4E437B85B2FDAED74421C26A8EAC1DD9FCD63ABC655CB15EEA59C	553D4BB850A0668F5939A7985D64F93E6679818F1781CEC56A7C5D1901EEC9BA
35	528	177	P06	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	598AEDFCDF6F20B0B8CE0012CF2E0D8BC7D8AA97640569EA3E8543A494241CF6	1D3C9C26EF1054FDFDB279403126344CA3455757089481E2588221679EEEC499	A2F79A8D2AE41DA201A79D3BD6F29570038EA3CBB1F7BD47D9D6821F53B24748
36	529	178	P06	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	DD9C145600CF421AA0FB314B0895DCE4B8AE6C916765974261BDE12EF7288156	AE8162FAD50A1650C90005EA8599AE21D9315E2D1A10A9D5E73ABE02097CF978	33E79FF77905AF13B21B3E82507348C615AB0F9EFD3E2EA67DB7587571068CE8
37	530	179	P07	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	7F97EA4536BA0B23FE91DCC3F974E42574C1C6EC99A53C48F359C0B33FAA3497	61F5E50D2A1BBB97D032586F7626EB17A26FE90D85F26BC8C75307591B07C355	4509D46C0BA63E6C5C9E6BBD0EEEC845F3291FFDBEFF4F1FBE30590ECAFEDA72
38	531	180	P07	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	83B57F5124BE2C7E6725D1C50DCD93D6F444ED9AF021E6EC992ED4A8F5B4A617	6E50D0CBB416C8C867DBBC76B9DB77AF8E83C00970CB1F7E15BE6FEFF7655940	1F1E4DEA67536D405C31CD50162B73826F9458D47AC6395DF08652914C010A6E
39	532	181	P07	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	B53C75619F3686ACB31D29DC88FCCC6AA8F1091094F34A7F0C4A9FA36F32FCB2	A321780D99EBF2E2A6BB99BEF6AB3EED31A8DD70D219EF531F5F845FC6413AB2	DA5D656DFA732EF17762DE3D8361F27E146D1A69E86FDEF9CC39998E1269AE7B
40	533	182	P07	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	156FF5AFCAE26CA1FD6682C1B6771E02AE24449BA098FB4428B1BC26EF57D0C0	57FC3018C31D2D2F228EF9449A97BAECEF0C902B6E3EE1B060D9E18AA39B30D2	50E30FCE5CC706FB8382223F2879EE45F34D76A02BBD07030191E5D98723053D
41	534	183	P07	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	4615C6164D112B75AD2D71B7774EADB9050D0A922CA50182DA70AACF88057909	8C6963C1F5DCE9110B176823D0363C013BF875F755B63760080743BB0ADC0879	C26D2A462DD0DCB54BF7F8C9D29B61B1EF0B15FF0CB668671B079FF5E813791B
42	535	184	P07	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	1E0D2CD0DFC65A2177744AC7140E0DAA691F66E08BFB70866B485D1915E9089B	DBF796EC8C8231EB3929283249FE978C7CD8117B26FBE92E8AE7E8078A7C1E09	FDC242262420908F74202243AA8B28398CD9E6C04F36B40BC7DA41CECC0C35C0
43	536	185	P08	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	8CCBBBFCD0A367BCE92CA3E52AAA86439298A8A2F7800B2C94CCE974CD94BEC0	68EBC255E1DA70FA717B947050DBE1E53E1BD6F34BCBB9E1574251226D136E3F	AB6BE25FD236F009B6C9AD9145830AD0044553783E47195800063CA7E6BD573D
44	537	186	P08	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	56AB53587C0053175FA6303FD095E71A83AE13FAA5030291B59DADC12E55FC57	5E0A42861EEE895D54B9D2D71387BC5EB9ED03CD2E26C7B0B3C9D465595CB7DD	BB7E57AD32CF1C5BABACE6C4A93740324FAC1101AF279D27756D4D09E8C97A80
45	538	187	P08	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	D65FE968D233D2B4F99B0F852AC54A8C3CB4B022632303B1E84581475CD13C61	A4478FE75390D5054798C4321C5CB9DC2A1CF2146CEFCD8E1222C44C0DFC2F08	000B7963B7F5671F3494DE98FD11F0A979B7BBF84047F734EC3794FC4D3A277A
46	539	188	P08	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	FADDDF022F7C68CB33E73094565848634B0584852D5529F5EB82F5C84DFAB491	708E3AE080705C9CFC281C62F2045054E8E6C8B278EB0D575315615BCD2B18CE	DC7A36065D4FA39A94E2B7283D0469F221F459682C0D01910C76EEAE687B4AA5
47	540	189	P08	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	BAB2390AA5E9A4557A411691A6FF68AAE2D7D26A0F5D6FC5881A933BD74BFEF3	63928BF8CBF2CB2C53C883F8D4B90F2B93FE4793A23A1C6A41320D879DED74B2	E04439993D805DE667BACFC364F7DE3A8A34463FDF1D9E50CE81D93D3FA5871F
48	541	190	P08	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	14C491439AE3A6BB069548879A654A40E240843C51326B54999E2A52C8C9DC7C	A61D246BEEF5AEE4337AB988DCE772865D244ED08C5C300E35248A72DDDEBC73	EA4C8CEA1F33B0CCBB32720833D0FC3B703B82B11F7C439067FE65A5D6365BAD
49	542	191	P09	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	6037A9B76B2ADF7C12FF0DE9057521EBA0548D4B5F281BD70F3DD782E25BA5CD	7ADC0B1BB046A8B181FABD3FE93AD5C89746FF958886AEDE42D000F30E45DD1C	A506036790CDB823577EF7D8433414A3636293D8CF82726CBBE51F67BE68F8B3
50	543	192	P09	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	3DF7AB0ED9FD9417346CDD85E820E931969663B61DC013F1D54A1A63FC31BB56	C33064DCEBA4B58DCF4E1612E2CC3D11CA52657B115D6B4884AF68BD8D30CE48	D12D88FA297DF628C35277D2C04768D3F6411ED5DC5C0FC50192D745C57E8816
51	544	193	P09	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	AB4CCC742CB2E613922386DD4A8E40F06A4E034A75E7BD9812BA3A736B40D03A	CD10DAABA5E937F34278C19E8215B73ECB09EB301B732F2F77078B3182FAFFF0	72BF00A128FFC8AC0197CB217DB81382DC6DA87A6299DD183517DC505052F5B0
52	545	194	P09	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	88B14CA338C9FE262F3A1763E5D0054B1D9070CEBA2D19258027612756E957CE	73F5B488B82AB2466A8D50B0627E88781A7638199CDA0BD47C4DC592F0D1CA29	C793D5AE968ADB0BFC10EF3A15048E229FF10F60AD9BE1B88AE88902C19D4D2F
53	546	195	P09	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	A765484911F95FB463EFD6FF40386648B5742DE434AA7D96077D333101F62989	5A4CCF425F9570824B221AE5D41163C58C69256158F9E6FA13CE2F9434802580	5FB064B7BF2734F712CCE50AFCD82CC126CCC127DB186D265DF3FF42BA1B4E12
54	547	196	P09	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	6A6C038808C1CBB649E5AF2E87FA8DE8B7ADD8E8FBAB5BCCAB4302C7F026A953	849A4FD30DBAD8179DB5EEC77A0D6D87435B628375DE52B61C2220CC982D45C5	37200387AA18B140F84C2AC574EDF56679E10DA0DB40B786C2744D574255C574
55	548	197	P10	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	B41D650BF8B315FDB9C27173A9A87BD03AF92944DB2D12FD18B3E93B332F937F	0DE2CFBC415226A8EDC52D779A491D52FCA12E183682BEE3C049B6877866620E	3EC3350CC50A720C976BB18F6478274F3D17287CA65ACC14E45522329889EDB1
56	549	198	P10	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	8D67CBA45DB3B42A99D82B2F6CA75697FB1CD8685D9D5EDFC83C01745A94774B	AB6F9EBBE9322B0D98FE56C846C88CF26B5EA47DE1632E1A5E2328EA649E9BCC	102AE868E272BBD92AF00B8DE04071D66109C82C0D2706AC830237E75BCAEE5E
57	550	199	P10	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	404FC000F64059EE4414AA2B91B982DE309D287400C076EA27BDD4EA8EF039C2	362C49A277516B775EC66F0D784FAD747FD7885F5081B653E62B21E2597C324F	DE761D856C97531742E686320F94ACA095B8A71841B3BCE674871DD2F8D99E45
58	551	200	P10	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	6A945E603E1372359A5340AAF26A44F82B4532478DDDDFCC0295A74C8F3E6BA0	CE38544D53A55FCF616B5D6ED52C9F2C5826D1883C1F320ABC5973EB4E327C60	1F995527C39C5FF80A180D891D67F4B72115D6207B30FB08E976F833FDD9B274
59	552	201	P10	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	BE12B7E779DBEC01AC8318A556545C4895468CA780A82B38A80A489CC4A057D2	91A012D7B9C2C277D54ABC1EF9482635DB30FCD65BCA1F7B00F6A8D668B4AD73	2FA7E3220369C504A991B915B085B05EC0EE4AEDAE564A1753343A46212455E6
60	553	202	P10	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	A63EDC70915F234E019437F1F8B94175B6C9926D2A190A9FCE5B6203D9DC1FEA	93DCF6C391A1DE1E70E7CB6AF24591E68DC705E2729690830C0856A7EE458435	B33619B8F1998DFF0CFFFD6DA89368921A5B32AA716E6DCEF7169E0032D4BCF6
61	554	203	P11	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	70AFA7DC135CB1582F8363AB43775C5046317AD5B698AE1C2A016774F841A60D	0C282E9998730A732EFBF94B9F13C0B40BF414330D31144C56AEB19DEC6EB410	91539B185DB6269919F1A246E9A7164C3F8810A3E04D4BE12A6FA10A208E48F0
62	555	204	P11	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	AD716F8A4B767676C4B369B2825B5B8B0E7C59A4478C122282311AA6A9475E87	74945FA2AA610034CE5DED124460B98890C622FABABE1474406A6EDFC51D409A	D03FA873A4A50DD3D23DD9336DC4DC97CB13CA4CF9D86E02BB04502AAC5882AA
63	556	205	P11	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	0C69A0CC0360A3F3BEF3BA74C0F6A8227802CE6787449FBA31FF18AAD2D49A6B	C9AD08624BD3EAAAF353AD7BAFF4CB61B3F3019AD2A1C780C288BB1CF7A8E71F	253E5861B11019EB952FD8BDFAB1743E439CAFE4096BD66D588181F8279055DD
64	557	206	P11	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	E9B5A6228A59122BD60920C2DD2C041026F75D3144E55E74E42607D4C715DD50	92AE9B96C45B711F730D37A499F80246A3910F69CE00D17B33608966F7C2CE34	317078D5D4BCC1DA4CE55A97736CB5B2EF54B596B378DE80761BEA0AB2583F15
65	558	207	P11	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	5A0E9486E2C75B42FF3B01560FA860FDC1B8D18F71E8BD8F8ADBB3C755DDAA26	F5C48A8625E839FE348F17F3EC87C7BECC9BC964333FEB1057F94F9E7D48E0A5	37478CC78E659AAE87A48CE77BB6FDE3645C3E63CFDADDB8C0F0E47B816E4225
66	559	208	P11	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	17FD15B07641F6BC6F42498585B3D64736E0C2C74E5F200A257E6958D9093E53	0763B1E84271B9B56C9CE4E6488FB16DA3CE9713A5E5D7DF27AD149E74EFA1FB	CBE87C6061591A3C783E16D048EEFB859466083FF9CB1FF63ECBE6C9CCBB42EA
67	560	209	P12	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	4C4D122C851ABCE1E47D8E264DE4890D05625370A2D8DF500F13787E8DDAA64C	DC9D80570E91A0D0A4DDD4E3A455C9A223634042BB24265D82110593E9103E1C	B07646507749D68A9F76208BA18D055ECAC0BF90051744FAF04BCA500E1246FE
68	561	210	P12	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	D03A144D046A0A3741C20C19F56089032D3BF519A50CFA627148B8B46F4417D4	270D58F52C54A039B97FF69D19C9CFCABFAFD5E6FC487A6B9F017CAC66CEF2B4	C6A6F7CC0A102FF451A2D51125FD22FEB28FF1F4464A8976843C5E246FBC3759
69	562	211	P12	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	6BE6A6E51A851BD4D140B626F4155E618DFE13C8EBC8F4DA872DA6F2096EB051	52D508916385F882AFC0BED2F7CAFD07146FF6AD9D5983745F72113DC1FAAA2E	F142766F53ECB970034C97316E4EF8228A886C0D4D201BE8BAEB2D4D6A864E83
70	563	212	P12	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	2D7E60F8C798FECED46CB72A46F7F4D3B9B9BA26943A6A1F2D5439D4288A9158	9B071726E2F11C2995C88B691BE34D634B71761F6AC0EB40D91D3E2C87E0D3BD	DB38F75EB970DA11F9F3D91CCF2C3BC1B5B5CDD5A8AA7CC169A61BDBA6D32540
71	564	213	P12	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	248B667515DFD129E6323F894BF8287CFE685FC89AE2BD7D13C3696A079E0D92	DE86816F74F88090480964415A32DC9F4133610CEAFEBA7AF24DF673BE2BFA78	FC61DCC7B45EB90D8D6E2AA4A9EF0A664F87ED35CD21807ACBF1CA8FF05255A0
72	565	214	P12	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	3BEB7454BF4F58C30C32F19C9BA71AFE4E6843B4E79F3A3D759917078D584558	1CDEC68B88C22B8C919FBDF1E2D7AD7877BF4FC6FD3FBF85AFA81E0EA806FC21	4CC87E90CA29090DB813BBA969726D0BFAE684F16AB99F58FA4EFB4747F86EE8
