"active_row_id","target_family","language_access_target","bucket","scoped_sufficiency_or_gap_scope","coverage_state","strict_witness_count","explicit_gap_count","strict_witness_ids","gap_ids","source_witness_or_gap_basis","known_source_urls","known_local_paths","known_sha256s","license_access_signals","language_topic_evidence","draft_output_route","acquisition_output_route","next_gate","non_claim_boundary"
"R6-ACTIVE-011","Creole/contact","Nigerian Pidgin","source_canon_insufficient","source_acquisition_or_gap_only","strict_witness_plus_explicit_blockers","1","2","R6-CR-P2-018","R6-GAP-AUTO-010; R6-CR-P2-017","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","https://nerdc.gov.ng/content_manager/primary/pri4-6_maths.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\nigeria_nerdc_pri4_6_maths.pdf","91fe69d3fed70762f334d3a5e850a062fbe542c16547c44b6f38da0de3683454","license/reuse pending; source-owner/reviewer return required","Nigerian Pidgin; creole/contact; official Nigerian mathematics comparator only; English, not Nigerian Pidgin; source-canon","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Use NOETHER_R6_NIGERIAN_PIDGIN_SOURCE_ROUTE_ADDENDUM_20260705.csv for Nigerian Pidgin route/context/candidate-source provenance; exact Nigerian Pidgin mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-012","Creole/contact","Nigerian Pidgin/Krio/Tok Pisin/Cape Verdean/Belize","source_canon_insufficient","source_acquisition_or_gap_only","explicit_blocker_only","0","1","","R6-GAP-AUTO-011","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","","","","","","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Nigerian Pidgin, Krio, Tok Pisin, and Cape Verdean Kriolu route contexts are now recorded in dated addenda; keep Belize Kriol and other rows separate and unresolved until exact named-language evidence lands.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-013","Creole/contact","Papiamento/Papiamentu","source_canon_insufficient","source_acquisition_or_gap_only","explicit_blocker_only","0","1","","R6-GAP-AUTO-012","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","","","","","","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Use the 20260705 Aruba route retry addendum for EA.AW blocker provenance; still split Aruba Papiamento vs Curacao Papiamentu and resolve exact source-body access before concept or support movement.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-014","Creole/contact","Papiamento/Papiamentu - Aruba","source_canon_insufficient","source_acquisition_or_gap_only","strict_witness_plus_explicit_blockers","2","3","R6-CR-P2-008; R6-CR-P2-009","R6-GAP-AUTO-013; R6-CR-P2-006; R6-CR-P2-007","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","https://www.ea.aw/pages/wp-content/uploads/t/taalbeleid/Pa-un-Ensenansa-Bilingual-na-Aruba-beleidsnota-1988.pdf || https://www.ea.aw/pages/wp-content/uploads/t/taalbeleid/Integraal-Taalbeleid-Bijlage-mei-2023.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\aruba_papiamento_bilingual_education_policy_1988.pdf || C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\aruba_integraal_taalbeleid_bijlage_2023.pdf","237faf3704d9b106379c4bfe22286710438beb442a5dc0f100e54d4016b16cb8 || d51701b0f50029b5a756f03b77b3770976b294125c08f807dfa20bf62785a3b2","license/reuse pending; source-owner/reviewer return required","Papiamento/Papiamentu - Aruba; creole/contact; Papiamento-in-education policy witness; source-canon || Papiamento/Papiamentu - Aruba; creole/contact; Papiamento/eigen onderwijs policy context; source-canon","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Existing strict context rows do not close EA.AW catalog blockers. Use the 20260705 Aruba route retry addendum for Map/Rampa route evidence; resolve PDF source-body access, Aruba Papiamento reviewer/source-owner route, and reuse/license signal before source-authority or support movement.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-015","Creole/contact","Sranan / Saramaccan / Ndyuka / Guyanese Creole","source_canon_insufficient","source_acquisition_or_gap_only","strict_witness_plus_explicit_blockers","2","1","R6-CR-P2-013; R6-CR-P2-014","R6-GAP-AUTO-014","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","https://gov.sr/wp-content/uploads/2023/10/VOORUIT-MET-TAAL-Leerjr-8-Bronnenboek-Meertaligheid.pdf || https://gov.sr/suriname/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\suriname_vooruit_met_taal_leerjr8_bronnenboek_meertaligheid.pdf || C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\suriname_gov_language_context.html","f6e0652b2c9ddf835e3c374fc67f1ed5f6c6c547b49ecb9119f6d799da0f6514 || 9b50c123f707021acdfa32480c553cb32cfb7f9716000c647202bd2f07d6c058","license/reuse pending; source-owner/reviewer return required","Sranan / Saramaccan / Ndyuka / Guyanese Creole; creole/contact; official multilingual/Sranan/Okanisi school-language witness; source-canon || Sranan / Saramaccan / Ndyuka / Guyanese Creole; creole/contact; official language context page mentioning Sranantongo and education language context; source-canon","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | Find Suriname/Sranan or related named-language math/STEM source; keep Saramaccan/Ndyuka/Guyanese separate.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-016","Creole/contact","Sranan/Saramaccan/Ndyuka/Guyanese","source_canon_insufficient","source_acquisition_or_gap_only","explicit_blocker_only","0","1","","R6-GAP-AUTO-015","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","","","","","","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Find language-specific STEM sources; keep each named language separate.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-017","Creole/contact","Tok Pisin","source_canon_insufficient","source_acquisition_or_gap_only","explicit_blocker_only","0","1","","R6-GAP-AUTO-016","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","","","","","","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Use NOETHER_R6_TOK_PISIN_PNG_FODE_SOURCE_ROUTE_ADDENDUM_20260705.csv for Tok Pisin/PNG route/context provenance; exact Tok Pisin mathematics/STEM body, source-owner/reviewer return, and reuse decision remain required.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-018","Current gap retry","Bislama/Vanuatu","source_canon_sufficient_for_scoped_draft_work","Official Vanuatu Matematiks/Saens school math/STEM register only; not higher algebra or invariant theory","retry_capture_plus_explicit_blockers","0","1","","R6-GAP-002","R6-BISLAMA-RETRY-001 through R6-BISLAMA-RETRY-006 exact official PDF/index captures with hashes.","","","","","","NOETHER_R6_SCOPED_DRAFT_TRANSLATION_SUPPORT_CREOLE_COVERED_ROWS_20260705.csv; NOETHER_R6_DRAFT_SUPPORT_INTERLINEAR_SCAFFOLDS_COVERED_ROWS_20260705.csv","","Current-gap retry superseded for Matematiks/Saens: exact official PDF captures and hashes are recorded in NOETHER_R6_BISLAMA_OFFICIAL_SOURCE_RETRY_ADDENDUM_20260705.csv; keep source-authority, reviewer/source-owner, reuse/license, term, excerpt, translation, visual inventory, and pilot gates closed.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-019","Current gap retry","Ecuador EIB","source_canon_insufficient","source_acquisition_or_gap_only","route_retry_metadata_blocker","0","1","","R6-GAP-001","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","","","","","","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve official CNIB/Kichwa PDF source-body access or source-owner route before any support movement.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-020","Current gap retry","Guarani/Paraguay","source_canon_insufficient","source_acquisition_or_gap_only","route_retry_metadata_blocker","0","1","","R6-GAP-003","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","","","","","","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-021","Current gap retry","Krio/Sierra Leone","source_canon_insufficient","source_acquisition_or_gap_only","explicit_blocker_only","0","1","","R6-GAP-006","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","","","","","","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Retry via browser/manual stack; classify as national curriculum context, not Krio STEM witness until language-specific evidence exists.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-022","Current gap retry","Mexico CONALITEG Indigenous books","source_canon_insufficient","source_acquisition_or_gap_only","route_retry_metadata_blocker","0","1","","R6-GAP-008","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","","","","","","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-023","Current gap retry","Papiamento/Papiamentu - Aruba","source_canon_insufficient","source_acquisition_or_gap_only","route_retry_metadata_blocker","0","1","","R6-GAP-007","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","","","","","","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Use NOETHER_R6_ARUBA_PAPIAMENTO_SOURCE_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve EA.AW PDF source-body access, official mirror/archive, or source-owner route before any support movement.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-024","Current gap retry","Quechua/Bolivia","source_canon_insufficient","source_acquisition_or_gap_only","retry_capture_plus_explicit_blockers","0","1","","R6-GAP-004","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","","","","","","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-025","Current gap retry","Uspanteko/Guatemala","source_canon_insufficient","source_acquisition_or_gap_only","retry_capture_plus_explicit_blockers","0","1","","R6-GAP-005","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","","","","","","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Use NOETHER_R6_GUATEMALA_USPANTEKO_DIGEBI_SOURCE_CAPTURE_ADDENDUM_20260705.csv as capture provenance only; record DIGEBI/source-owner or qualified Uspanteko education reviewer route plus reuse/license decision before source-authority, terms, excerpts, translation, visual inventory, pilot, or package payload movement.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
