"adverse_id","term_decision_id","source_locator","exact_german_phrase","zh_hans_cn_producer_choice","trap_or_adverse_reading","contextual_reason_for_exclusion","alternative_held_for_independent_review","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","controlled_hant_status","review_state"
"P38-ZH-A018","P38-ZH-T018","segment B theorem 2 footnote","(reduzierte) Differente","（约化）不同","ordinary difference; a derivative; the unreduced commutative different without qualification","The reduced noncommutative analogue of the different used to define the fundamental ideal.","（约化）不同理想; （约化）差异理想","mixed/contested","High: 不同 is a specialized Mainland algebraic-number-theory term that is opaque in ordinary Chinese and regionally untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A019","P38-ZH-T019","segments A-C","Primstelle","素位","a prime ideal only; a physical position; a decimal place; a rank","A prime place, including finite primes and infinite places, at which the algebra is completed.","素点; 素处; 赋值位","modern Sino-xenic coinage/calque","High: 素位 is concise Mainland terminology but may be confused with prime ideals; finite/infinite distinctions require context and regional usage is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A020","P38-ZH-T020","segment B theorem 3 proof","unverzweigter Körper","未分歧域","a topologically unbranched region; a field with no global ramification anywhere; a separable field generally","The unique unramified extension of the local field of the stated degree.","非分歧域; 不分歧扩张","modern Sino-xenic coinage/calque","Medium: 未分歧 follows Mainland number-theory usage; 非分歧 is a live alternative and regional preference is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A021","P38-ZH-T021","segment B theorem 3 proof","Kompositum","复合域","a composite number field in the sense of nonprime degree; a function composition; a direct product","The smallest field containing both $K_{P_i}$ and $W_p$ in a common overfield.","合成域; 合域","modern Sino-xenic coinage/calque","Medium: 复合域 is Mainland-dominant but regional and older terminology are untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A022","P38-ZH-T022","segments B-C","Verzweigungsordnung","分歧指数","order of a branch in graph theory; valuation order of an element; the exponent of an algebra class","The ramification index $e_{P_i}$ in the prime decomposition and local-degree formula.","分歧阶; 分歧次数","mixed/contested","High: the assembled target uses 分歧指数 in theorem 3 and later 分歧阶 in theorem 6; this unadjudicated producer variation is left explicit for independent checking.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A023","P38-ZH-T023","segment C Brauer-group paragraph","Brauersche Gruppe","R. Brauer 的群","the group of people belonging to Brauer; a Galois group; one algebra rather than its class","The group of similarity classes of algebras over the base field, with a subgroup determined by the splitting field $K$.","Brauer 群; 布劳尔群","global modern loan","High: the producer retains the source's personal-name possessive instead of modern Brauer 群; terminology and regional name convention are untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A024","P38-ZH-T024","segment C theorem 4","Zerlegungssatz","分解定理","primary decomposition; decomposition of representations; a generic factorization theorem","The theorem identifying the residue degree of prime factors in $K$ with the least exponent splitting all corresponding local algebras.","分裂定理; 素分解定理","modern Sino-xenic coinage/calque","High: 分解定理 has many Mandarin mathematical attractors; the theorem's explicit statement fixes the local class-field sense.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A025","P38-ZH-T025","segment C theorem 5","Eindeutigkeits- und Anordnungssatz","唯一性与序定理","an ordering algorithm; uniqueness of factorization; total-order theorem","The theorem asserting $K\leqq K'$ iff the associated algebra subgroups satisfy the same inclusion.","唯一性和包含关系定理; 唯一与次序定理","modern Sino-xenic coinage/calque","Medium: 序 is compact Mainland prose and may understate inclusion-order content; regional wording is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A026","P38-ZH-T026","segment C theorem 6","Kreiskörper","圆分域","a circular geometric region; an arbitrary cyclic field; a quotient field","A cyclotomic field in which the absolutely irreducible representations can be realized.","分圆域; 圆分体; cyclotomic 域","mixed/contested","High: the target uses 圆分域 while earlier Chinese shelves may use 分圆域; Traditional regional convention is unresearched.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A027","P38-ZH-T027","segment C theorem 6 proof","halbeinfache Algebra","半单代数","an algebra that is merely not fully simple; a half-sized algebra; a simple algebra","The rational group algebra decomposed into simple components carrying the absolutely irreducible representations.","半单环; 完全可约代数","modern Sino-xenic coinage/calque","Medium: 半单代数 follows Mainland usage but its relationship to historical completely reducible language and regional terminology is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
