const,const_lat,const_ar,const_artr,const_zh,n,bayer,common,lon_d,lon_m,lat_d,lat_m,dir,mag,arabic,note
Cephaeus,Cepheus,قيفاوس,qifawus / al-multahib,仙王座,1,α,,357,50,69,0,N,3,الكوكب المضاف الذي على كتفه اليمنى,-
Cephaeus,Cepheus,قيفاوس,qifawus / al-multahib,仙王座,2,η,,350,30,72,0,N,4,المضاف الذي على مرفقه الأيمن,-
Cephaeus,Cepheus,قيفاوس,qifawus / al-multahib,仙王座,3,ι,,18,40,62,30,N,4,الكوكب الذي على ساعده الأيسر,codLong 68.13
Cephaeus,Cepheus,قيفاوس,qifawus / al-multahib,仙王座,4,ε,,357,30,60,15,N,5,المتوسط من الثلثة التي على قلنسوته,-
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,1,γ,,180,50,49,0,N,3,الذي على كفه اليسرى,-
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,2,β,,187,50,53,50,N,4,الكوكب الذي على رأسه,-
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,3,δ,,196,50,48,40,N,4,الكوكب الذي على كتفه اليمنى,-
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,4,,,198,50,46,30,N,4,الكوكب الذي تحت كتفه الشمالية,-
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,5,ε,,191,10,40,15,N,3,الذي على فخذه اليمنى في المنطقة,-
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,6,ρ,,186,10,42,10,N,4,المقدم من الاثنين اللذين في منطقته,-
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,7,ζ,,196,30,28,0,N,3,الكوكب الذي على عرقوبه الأيمن,-
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,8,η,,182,30,28,0,N,3,الشمالي من الثلثة في ساقه اليسرى,-
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,9,τ,,181,40,26,30,N,4,الكوكب المتوسط من هذه الثلثة,-
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,10,υ,,182,30,25,0,N,4,الجنوبي من هذه الثلثة,-
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,11,α,Arcturus,188,40,31,30,N,1,السِّمَاك الرامح وهو بين فخذي العوّاء,Arcturus
CoronaBorealis,Corona Borealis,الفكة,al-fakkah,北冕座,1,α,Alphecca,205,50,44,30,N,2,المنيّر من كواكب الفكّة,Alphecca
CoronaBorealis,Corona Borealis,الفكة,al-fakkah,北冕座,2,β,,202,50,46,30,N,4,المقدم من كواكب الفكّة,-
Hercules,Hercules,الجاثي,al-jathi,武仙座,1,α,Rasalgethi,238,50,37,30,N,3,الذي على رأس الجاثي,Rasalgethi
Hercules,Hercules,الجاثي,al-jathi,武仙座,2,β,,224,50,43,0,N,3,الذي على كتفه اليمنى عند الإبط,-
Hercules,Hercules,الجاثي,al-jathi,武仙座,3,γ,,222,50,40,10,N,3,الذي على ذراعه اليمنى,-
Hercules,Hercules,الجاثي,al-jathi,武仙座,4,δ,,237,50,48,0,N,3,الذي على كتفه اليسرى,-
Hercules,Hercules,الجاثي,al-jathi,武仙座,5,λ,,243,10,49,30,N,4,الذي على ذراعه اليمنى,-
Hercules,Hercules,الجاثي,al-jathi,武仙座,6,μ,,248,50,52,0,N,4,الذي على مرفقه الأيسر,-
Hercules,Hercules,الجاثي,al-jathi,武仙座,7,ξ,,252,40,53,0,N,3,الجنوبي من الثلثة على ساعده الأيسر,-
Hercules,Hercules,الجاثي,al-jathi,武仙座,8,ζ,,224,50,50,40,N,3,الكوكب الذي في الخط الأيمن,-
Hercules,Hercules,الجاثي,al-jathi,武仙座,9,,,232,20,58,30,N,3,الذي على أصل فخذه اليسرى,-
Hercules,Hercules,الجاثي,al-jathi,武仙座,10,ρ,,237,30,61,15,N,4,الذي تلو هذا في فخذه اليسرى,-
Hercules,Hercules,الجاثي,al-jathi,武仙座,11,η,,221,50,64,0,N,4,الذي على أصل فخذه اليمنى,-
Hercules,Hercules,الجاثي,al-jathi,武仙座,12,τ,,206,50,65,30,N,4,الذي على ركبته اليسرى,-
Lyra,Lyra,النسر الواقع,an-nasr al-waqi,天琴座,1,α,Vega,268,30,62,0,N,1,,Vega
Lyra,Lyra,النسر الواقع,an-nasr al-waqi,天琴座,2,ε,,271,30,62,40,N,4,,-
Lyra,Lyra,النسر الواقع,an-nasr al-waqi,天琴座,3,ζ,,271,30,61,0,N,4,,-
Lyra,Lyra,النسر الواقع,an-nasr al-waqi,天琴座,4,ν1,,272,0,55,0,N,4,,-
Lyra,Lyra,النسر الواقع,an-nasr al-waqi,天琴座,5,λ,,272,10,54,45,N,4,,-
Lyra,Lyra,النسر الواقع,an-nasr al-waqi,天琴座,6,β,Sheliak,272,10,56,10,N,3,,Sheliak
Lyra,Lyra,النسر الواقع,an-nasr al-waqi,天琴座,7,γ,Sulafat,276,20,55,20,N,3,,Sulafat
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,1,β,Albireo,281,50,49,20,N,3,الذي على منقار الدجاجة,Albireo
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,2,η,,297,30,54,30,N,4,الذي في وسط عنق الدجاجة,-
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,3,γ,Sadr,309,40,57,20,N,3,الذي في صدر الدجاجة,Sadr
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,4,α,Deneb,320,20,60,0,N,2,الكوكب المنيّر الذي على ذنب الدجاجة,Deneb
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,5,δ,,300,30,64,40,N,3,الكوكب الذي على مرفق جناحها الأيمن,-
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,6,ι2,,302,20,71,30,N,4,المتوسط من الثلثة في الجناح الأيسر,-
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,7,κ,,297,50,74,0,N,4,الشمالي من هذا على طرف الجناح,-
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,8,ε,,312,0,49,30,N,3,الذي على طرف الجناح الأيسر,-
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,9,ν,,321,10,55,10,N,4,الذي على رجلها اليسرى,-
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,10,ξ,,325,40,57,0,N,4,الذي على ركبتها اليسرى,-
Cassiopeia,Cassiopeia,ذات الكرسي,dhat al-kursi,仙后座,1,ζ,,19,0,45,20,N,3,الكوكب الذي على رأس ذات الكرسي,-
Cassiopeia,Cassiopeia,ذات الكرسي,dhat al-kursi,仙后座,2,α,Schedar,22,0,46,45,N,3,الكوكب الذي في صدرها,Schedar
Cassiopeia,Cassiopeia,ذات الكرسي,dhat al-kursi,仙后座,3,η,,24,10,47,50,N,4,الشمالي منها وهو على شِقّتها,-
Cassiopeia,Cassiopeia,ذات الكرسي,dhat al-kursi,仙后座,4,δ,,31,50,45,30,N,3,الكوكب الذي على ركبتيها,-
Cassiopeia,Cassiopeia,ذات الكرسي,dhat al-kursi,仙后座,5,β,Caph,19,0,51,40,N,3,الكوكب الذي في وسط الكرسي,Caph
Cassiopeia,Cassiopeia,ذات الكرسي,dhat al-kursi,仙后座,6,κ,,26,10,52,40,N,4,الذي في فوق رِجل الكرسي,-
Perseus,Perseus,حامل رأس الغول,hamil ras al-ghul / barshawush,英仙座,1,χ,,37,50,40,30,N,neb,,DoubleCluster
Perseus,Perseus,حامل رأس الغول,hamil ras al-ghul / barshawush,英仙座,2,α,Mirfak,46,0,30,0,N,2,,Mirfak
Perseus,Perseus,حامل رأس الغول,hamil ras al-ghul / barshawush,英仙座,3,γ,,43,50,34,30,N,3,,-
Perseus,Perseus,حامل رأس الغول,hamil ras al-ghul / barshawush,英仙座,4,δ,,48,50,27,20,N,4,,-
Perseus,Perseus,حامل رأس الغول,hamil ras al-ghul / barshawush,英仙座,5,,,48,0,21,50,N,4,,-
Perseus,Perseus,حامل رأس الغول,hamil ras al-ghul / barshawush,英仙座,6,β,Algol,40,50,23,0,N,2,,Algol
Perseus,Perseus,حامل رأس الغول,hamil ras al-ghul / barshawush,英仙座,7,ο,,45,20,12,0,N,3,,-
Perseus,Perseus,حامل رأس الغول,hamil ras al-ghul / barshawush,英仙座,8,ζ,,47,30,11,0,N,3,,-
Auriga,Auriga,ممسك الأعنة,mumsik al-ainnah,御夫座,1,δ,,73,40,30,0,N,4,الكوكب الذي على رأس ذي الأعنّة,-
Auriga,Auriga,ممسك الأعنة,mumsik al-ainnah,御夫座,2,α,Capella,66,10,22,30,N,1,الكوكب الذي في كتفه اليسرى (العَيُّوق),Capella
Auriga,Auriga,ممسك الأعنة,mumsik al-ainnah,御夫座,3,β,Menkalinan,74,0,20,0,N,2,الذي على كتفه اليمنى,Menkalinan
Auriga,Auriga,ممسك الأعنة,mumsik al-ainnah,御夫座,4,ι,,61,0,10,10,N,3,الكوكب الذي على عرقوبه الأيسر,-
Auriga,Auriga,ممسك الأعنة,mumsik al-ainnah,御夫座,5,γ,,66,50,5,0,N,3,الذي على عرقوبه الأيمن,-
Ophiuchus,Ophiuchus,الحواء,al-hawwa,蛇夫座,1,α,Rasalhague,246,0,36,0,N,3,,Rasalhague
Ophiuchus,Ophiuchus,الحواء,al-hawwa,蛇夫座,2,β,,249,10,27,15,N,4,,-
Ophiuchus,Ophiuchus,الحواء,al-hawwa,蛇夫座,3,δ,,226,10,17,0,N,3,,-
Ophiuchus,Ophiuchus,الحواء,al-hawwa,蛇夫座,4,ε,,227,10,16,30,N,3,,-
Ophiuchus,Ophiuchus,الحواء,al-hawwa,蛇夫座,5,η,,242,20,2,15,N,3,,-
Ophiuchus,Ophiuchus,الحواء,al-hawwa,蛇夫座,6,,,244,50,2,15,N,3,,40Ophiuchi
Ophiuchus,Ophiuchus,الحواء,al-hawwa,蛇夫座,7,,,245,30,1,30,N,4,,-
Ophiuchus,Ophiuchus,الحواء,al-hawwa,蛇夫座,8,ζ,,233,20,11,50,N,3,,-
Serpens,Serpens,الحية,al-hayyah,巨蛇座,1,γ,,215,30,36,0,N,3,,-
Serpens,Serpens,الحية,al-hayyah,巨蛇座,2,ρ,,212,50,40,0,N,4,,-
Serpens,Serpens,الحية,al-hayyah,巨蛇座,3,β,,213,10,34,15,N,3,,-
Serpens,Serpens,الحية,al-hayyah,巨蛇座,4,ε,,212,50,20,15,N,3,,-
Serpens,Serpens,الحية,al-hayyah,巨蛇座,5,,,215,30,25,20,N,3,,-
Serpens,Serpens,الحية,al-hayyah,巨蛇座,6,,,217,30,24,0,N,3,,-
Serpens,Serpens,الحية,al-hayyah,巨蛇座,7,ν,,244,50,10,30,N,4,,-
Serpens,Serpens,الحية,al-hayyah,巨蛇座,8,,,259,50,21,15,N,4,,-
Serpens,Serpens,الحية,al-hayyah,巨蛇座,9,θ,,269,30,27,0,N,4,,-
Sagitta,Sagitta,السهم,as-sahm,天箭座,1,γ,,291,20,39,20,N,4,الكوكب الفريد الذي على سهمه,-
Sagitta,Sagitta,السهم,as-sahm,天箭座,2,β,,284,30,38,40,N,5,الكوكب الذي على آخر السهم,-
Aquila,Aquila,النسر الطائر,an-nasr at-tair,天鹰座,1,γ,Tarazed,284,20,31,30,N,3,المقدم من الاثنين اللذين في كتفيه,Tarazed
Aquila,Aquila,النسر الطائر,an-nasr at-tair,天鹰座,2,β,,286,0,27,10,N,3,الذي على عنقه,-
Aquila,Aquila,النسر الطائر,an-nasr at-tair,天鹰座,3,α,Altair,285,0,29,10,N,2,النَّسْر الطائر وهو المنيّر الذي بين كتفيه,Altair
Aquila,Aquila,النسر الطائر,an-nasr at-tair,天鹰座,4,,,285,50,30,0,N,3,الكوكب الشمالي القريب من النسر الطائر,-
Aquila,Aquila,النسر الطائر,an-nasr at-tair,天鹰座,5,ζ,,273,20,36,20,N,3,الذي تحت النسر في زِقّ المجرّة,-
Delphinus,Delphinus,الدلفين,ad-dulfin,海豚座,1,ε,,298,50,29,10,N,3,المقدم من الثلثة التي على ذنب الدلفين,-
Delphinus,Delphinus,الدلفين,ad-dulfin,海豚座,2,β,,299,40,32,0,N,3,الجنوبي المقدم من الضلع الأول,-
Delphinus,Delphinus,الدلفين,ad-dulfin,海豚座,3,δ,,302,30,32,0,N,3,المضاف الجنوبي في خط سند المنقار,-
Delphinus,Delphinus,الدلفين,ad-dulfin,海豚座,4,γ,,304,40,33,10,N,3,الشمالي من الضلع المؤخر,-
Delphinus,Delphinus,الدلفين,ad-dulfin,海豚座,5,α,,301,20,33,50,N,3,الشمالي من الضلع الأول,-
Equuleus,Equuleus,قطعة الفرس,qitat al-faras,小马座,1,α,,307,30,20,30,N,obsc,,-
Equuleus,Equuleus,قطعة الفرس,qitat al-faras,小马座,2,β,,309,10,20,40,N,obsc,,-
Equuleus,Equuleus,قطعة الفرس,qitat al-faras,小马座,3,γ,,307,30,25,30,N,obsc,,-
Equuleus,Equuleus,قطعة الفرس,qitat al-faras,小马座,4,δ,,308,50,25,0,N,obsc,,-
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,1,alphaAnd,Alpheratz,358,30,26,0,N,2,,Alpheratz
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,2,γ,Algenib,353,20,12,30,N,2,,Algenib
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,3,β,Scheat,343,20,31,0,N,2,,Scheat
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,4,α,Markab,337,50,19,40,N,2,,Markab
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,5,η,,340,10,35,0,N,3,,-
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,6,ζ,,330,0,18,0,N,3,,-
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,7,θ,,320,20,16,50,N,3,,-
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,8,ε,Enif,316,30,22,30,N,3,,Enif
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,9,π,,334,50,41,10,N,4,,-
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,10,ι,,328,50,34,15,N,4,,-
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,11,κ,,323,30,36,50,N,4,,-
Andromeda,Andromeda,المرأة المسلسلة,al-marah al-musalsalah,仙女座,1,δ,,6,30,24,30,N,3,,-
Andromeda,Andromeda,المرأة المسلسلة,al-marah al-musalsalah,仙女座,2,β,Mirach,15,0,26,20,N,3,,Mirach
Andromeda,Andromeda,المرأة المسلسلة,al-marah al-musalsalah,仙女座,3,ο,,352,50,44,0,N,3,,-
Andromeda,Andromeda,المرأة المسلسلة,al-marah al-musalsalah,仙女座,4,γ,Almach,28,0,28,0,N,3,,Almach
Triangulum,Triangulum,المثلث,al-muthallath,三角座,1,α,,22,10,16,30,N,3,الكوكب الذي في رأس المثلث,-
Triangulum,Triangulum,المثلث,al-muthallath,三角座,2,β,,27,10,20,40,N,3,المقدم من الثلثة التي في أسفله,-
Triangulum,Triangulum,المثلث,al-muthallath,三角座,3,γ,,28,0,19,0,N,3,الكوكب الذي في آخر هذه الثلثة,-
Aries,Aries,الحمل,al-hamal,白羊座,1,γ,Mesarthim,17,50,7,20,N,3,,Mesarthim
Aries,Aries,الحمل,al-hamal,白羊座,2,β,Sheratan,18,50,8,20,N,3,,Sheratan
Aries,Aries,الحمل,al-hamal,白羊座,3,η,,22,10,7,40,N,5,,-
Aries,Aries,الحمل,al-hamal,白羊座,4,θ,,22,40,6,0,N,5,,-
Aries,Aries,الحمل,al-hamal,白羊座,5,ι,,17,40,5,30,N,5,,-
Aries,Aries,الحمل,al-hamal,白羊座,6,ν,,28,40,6,0,N,6,,-
Aries,Aries,الحمل,al-hamal,白羊座,7,ε,,32,30,4,50,N,5,,-
Aries,Aries,الحمل,al-hamal,白羊座,8,δ,,35,0,1,40,N,4,,-
Aries,Aries,الحمل,al-hamal,白羊座,9,ζ,,36,30,2,30,N,4,,-
Aries,Aries,الحمل,al-hamal,白羊座,10,τ2,,38,10,1,50,N,4,,-
Aries,Aries,الحمل,al-hamal,白羊座,11,ρ,,30,50,1,10,N,5,,-
Aries,Aries,الحمل,al-hamal,白羊座,12,σ,,29,10,1,30,S,5,,-
Aries,Aries,الحمل,al-hamal,白羊座,13,,,28,10,5,15,S,4,,-
Aries,Aries,الحمل,al-hamal,白羊座,14,α,Hamal,21,30,10,0,N,3,,Hamal
Taurus,Taurus,الثور,ath-thawr,金牛座,1,,,37,30,6,0,S,4,,-
Taurus,Taurus,الثور,ath-thawr,金牛座,2,s,,37,10,7,15,S,4,,-
Taurus,Taurus,الثور,ath-thawr,金牛座,3,ο,,35,30,9,15,S,4,,-
Taurus,Taurus,الثور,ath-thawr,金牛座,4,λ,,44,50,8,0,S,3,,-
Taurus,Taurus,الثور,ath-thawr,金牛座,5,,,40,50,9,30,S,5,,-
Taurus,Taurus,الثور,ath-thawr,金牛座,6,γ,Hyades,50,10,5,45,S,3,,Hyades
Taurus,Taurus,الثور,ath-thawr,金牛座,7,δ1,Hyades,51,30,4,15,S,3,,Hyades
Taurus,Taurus,الثور,ath-thawr,金牛座,8,α,Aldebaran,53,50,5,10,S,1,,Aldebaran
Taurus,Taurus,الثور,ath-thawr,金牛座,9,θ1,Hyades,52,0,5,50,S,3,,Hyades
Taurus,Taurus,الثور,ath-thawr,金牛座,10,ε,Hyades,53,0,3,0,S,3,,Hyades
Taurus,Taurus,الثور,ath-thawr,金牛座,11,,,58,40,4,0,S,5,,-
Taurus,Taurus,الثور,ath-thawr,金牛座,12,,,61,30,5,0,S,5,,-
Taurus,Taurus,الثور,ath-thawr,金牛座,13,τ,,56,50,4,0,S,4,,-
Taurus,Taurus,الثور,ath-thawr,金牛座,14,ζ,,68,50,2,30,S,3,,-
Taurus,Taurus,الثور,ath-thawr,金牛座,15,β,Elnath,66,50,5,0,N,3,,ElNath
Taurus,Taurus,الثور,ath-thawr,金牛座,16,,Pleiades,43,20,4,30,N,5,,Pleiades
Taurus,Taurus,الثور,ath-thawr,金牛座,17,,Pleiades,43,30,3,40,N,4,,Pleiades
Taurus,Taurus,الثور,ath-thawr,金牛座,18,,Pleiades,44,50,3,20,N,5,,Pleiades
Taurus,Taurus,الثور,ath-thawr,金牛座,19,,Pleiades,44,50,5,0,N,4,,Pleiades
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,1,α,Castor,94,30,9,30,N,2,الذي على طرف الرجل اليسرى من التوأم المؤخر,Castor
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,2,β,Pollux,97,50,6,15,N,2,الذي على الركبة اليسرى من التوأم المؤخر,Pollux
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,3,η,,77,40,1,30,S,4,الذي على وسط الألية من هذا التوأم,-
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,4,ν,,81,20,3,30,S,4,الذي على الخاصرة اليسرى من هذا التوأم,-
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,5,,,83,10,7,30,S,3,الذي على الركبة اليسرى من التوأم المقدم,-
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,6,ξ,,85,50,10,30,S,4,الذي على رأس التوأم المقدّم,-
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,7,ζ,,89,40,2,30,S,3,الذي على رأس التوأم المؤخّر,-
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,8,λ,,92,50,6,0,S,3,الذي بين يدي رجل التوأم المقدّم,-
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,9,δ,,92,50,0,30,S,3,الذي على طرف رجل التوأم المقدّم,-
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,10,ε,,84,10,1,30,S,4,الذي على طرف الرجل اليمنى من التوأم المؤخّر,-
Cancer,Cancer,السرطان,as-saratan,巨蟹座,1,ε,Praesepe (M44),111,30,0,40,N,neb,,Praesepe
Cancer,Cancer,السرطان,as-saratan,巨蟹座,2,η,,108,50,1,15,N,4,,-
Cancer,Cancer,السرطان,as-saratan,巨蟹座,3,θ,,109,10,1,10,S,4,,-
Cancer,Cancer,السرطان,as-saratan,巨蟹座,4,ι,,109,30,11,50,N,4,,-
Cancer,Cancer,السرطان,as-saratan,巨蟹座,5,α,Acubens,117,40,5,30,S,4,,Acubens
Cancer,Cancer,السرطان,as-saratan,巨蟹座,6,β,,108,20,7,30,S,4,,-
Cancer,Cancer,السرطان,as-saratan,巨蟹座,7,μ2,,103,50,1,0,N,5,,-
Cancer,Cancer,السرطان,as-saratan,巨蟹座,8,,,108,20,7,30,S,4,,-
Cancer,Cancer,السرطان,as-saratan,巨蟹座,9,γ,Asellus Borealis,111,30,2,40,N,4,,AsellusBor
Cancer,Cancer,السرطان,as-saratan,巨蟹座,10,δ,Asellus Australis,112,30,0,10,S,4,,AsellusAus
Leo,Leo,الأسد,al-asad,狮子座,1,,,119,30,10,0,N,4,,-
Leo,Leo,الأسد,al-asad,狮子座,2,μ,,125,30,12,0,N,3,,-
Leo,Leo,الأسد,al-asad,狮子座,3,γ,Algieba,133,20,8,30,N,2,,Algieba
Leo,Leo,الأسد,al-asad,狮子座,4,ζ,Adhafera,131,20,11,0,N,3,,Adhafera
Leo,Leo,الأسد,al-asad,狮子座,5,η,,131,50,4,30,N,3,,-
Leo,Leo,الأسد,al-asad,狮子座,6,α,Regulus,134,0,0,10,N,1,,Regulus
Leo,Leo,الأسد,al-asad,狮子座,7,,,142,30,12,15,N,5,,-
Leo,Leo,الأسد,al-asad,狮子座,8,δ,Zosma,145,20,13,40,N,2,,Zosma
Leo,Leo,الأسد,al-asad,狮子座,9,ι,,151,30,5,50,N,3,,-
Leo,Leo,الأسد,al-asad,狮子座,10,σ,,152,50,1,15,N,4,,-
Leo,Leo,الأسد,al-asad,狮子座,11,υ,,158,40,3,0,S,4,,-
Leo,Leo,الأسد,al-asad,狮子座,12,β,Denebola,155,40,11,50,N,1,,Denebola
Leo,Leo,الأسد,al-asad,狮子座,13,,,145,30,11,30,N,5,,71Leo
Leo,Leo,الأسد,al-asad,狮子座,14,θ,,147,30,9,40,N,5,,-
Leo,Leo,الأسد,al-asad,狮子座,15,φ,,128,30,0,0,,5,,-
Leo,Leo,الأسد,al-asad,狮子座,16,,,156,0,30,15,N,neb,,ComaBer
Leo,Leo,الأسد,al-asad,狮子座,17,,,155,30,25,0,N,obsc,,ComaBer4
Leo,Leo,الأسد,al-asad,狮子座,18,,,159,40,25,30,N,obsc,,ComaBer21
Virgo,Virgo,السنبلة,as-sunbulah / al-adhra,室女座,1,ν,,157,30,4,15,N,5,الجنوبي من الاثنين اللذين في رأس العذراء,-
Virgo,Virgo,السنبلة,as-sunbulah / al-adhra,室女座,2,ξ,,158,10,5,40,N,5,الكوكب الشمالي من هذا,-
Virgo,Virgo,السنبلة,as-sunbulah / al-adhra,室女座,3,β,,160,10,0,10,N,3,الذي على جناحها الأيسر,-
