# type	n	name	lon_d	lon_m	lat_d	lat_m
city	150	ar-Raqqa (al-Battani observatory)	73	15	36	0
city	138	Maarrat an-Numan	69	55	34	0
city	139	Cyrrhus (Quros)	70	10	36	20
city	140	Doliche (Doluk)	70	40	37	0
city	141	Raban	71	0	37	15
city	142	Antioch (Antakiyah)	69	0	35	30
city	143	Melitene/Malatya (Malatyah)	71	0	39	0
city	144	Shimshat	73	20	38	40
city	151	Circesium (Qirqisiya)	74	40	35	20
city	152	Harran (Carrhae)	73	0	36	40
city	153	Edessa (ar-Roha/Urfa)	72	50	37	0
city	154	Hierapolis (Manbij)	71	15	36	15
city	155	Tell Mawzan	73	30	37	0
city	156	Resaina (Ras al-ayn)	74	0	36	50
city	157	Kafar Tutha	74	35	37	0
city	158	Nisibis (Nasibin)	75	30	37	0
city	159	Dara	75	15	37	10
city	160	Mardin (Maridin)	75	0	37	10
city	161	Balad	77	40	36	30
city	162	Mosul (al-Mawsil)	78	10	36	30
city	163	Singara (Sinjar)	77	30	36	0
city	164	Akhlat (Khilat)	78	0	39	20
city	165	Dvin (Dabil)	79	40	42	0
city	166	Tbilisi (Taflis)	82	0	43	0
city	167	Barda/Partav (Bardhaah)	84	0	42	0
city	168	Baghdad (urbs salutis)	80	0	33	0
city	169	Samarra (Surra man raa)	79	10	34	0
city	170	Kufa (al-Kufah)	79	30	31	30
city	171	Babylon (Babil)	79	0	35	0
city	172	Rhagae/Rey (ar-Rayy)	86	0	36	30
city	173	Nineveh (Ninawa)	78	0	36	40
city	174	Basra (al-Basrah)	84	0	31	0
city	175	Siraf	89	30	29	20
city	176	Wasit	81	30	32	30
city	177	Damietta (Dimyat)	63	30	31	25
city	178	Fustat (Old Cairo)	63	0	30	0
city	179	Anazarbus (Ayn Zarbah)	68	30	37	0
city	180	Bridge of Antioch (al-Gisr)	69	4	35	40
city	181	Rome (Rumiyah maxima)	36	40	41	40
city	182	Constantinople (al-Qustantiniyyah)	56	40	43	10
city	183	Amorium (Ammuriyah; long. corrupt in source)	38	20	39	40
city	184	Sanaa (Sana)	73	0	14	30
city	185	Aden	74	0	13	30
city	186	Tibet (Tubbat)	130	0	38	0
city	187	Gorzan	81	0	44	0
city	188	Aswan/Syene (Suwan)	65	0	22	30
city	189	Daybul (Sind port)	100	0	25	20
city	190	Qazvin (Qazwin)	84	0	37	0
city	191	Herat	95	0	37	0
city	192	Yamama (al-Yamamah)	76	0	21	30
city	193	Taif (at-Taif)	74	30	21	20
city	194	Tinnis	64	0	31	20
city	195	Pelusium (al-Farama)	64	40	31	30
city	196	at-Turaband	106	0	36	0
city	197	Qom (Qumm)	85	0	36	0
city	198	Hulwan	81	0	35	0
city	199	Ctesiphon (al-Madain)	80	0	35	55
city	200	Bab al-Abwab (Derbent)	80	0	47	0
city	201	Rusafa (ar-Rusafah)	72	50	35	40
city	202	Byblos/Gabala (Gubayl)	67	30	33	45
city	203	Arbela (Irbil)	80	0	37	55
city	204	Urima (Urim)	71	40	37	20
city	205	Zeugma (Zoghmah)	71	40	37	9
city	206	Shaizar/Larissa (Shayzar)	69	20	34	30
city	207	Tell Mannas	70	0	35	0
city	208	Huwwarin	70	0	33	40
city	209	Dayr al-Aqul	79	0	33	55
city	210	Hamadan (Ecbatana)	83	20	36	0
city	211	Emmaus (Amawas)	66	10	31	45
city	212	Raphia (Rafiyah)	65	0	31	30
city	213	Ashdod/Azotus (Asdud)	65	15	31	55
city	214	Zibatrah	70	0	38	44
city	215	Kusumi (royal city of Kush)	65	0	11	0
city	216	Persian city (urbs Persarum)	71	0	6	0
city	217	Athens (city of the wise)	52	40	37	20
city	218	Thrace city (Traqiyah)	54	0	41	40
city	219	Alexandretta (al-Iskandarunah)	69	0	36	10
city	220	Gindarus	70	0	36	40
city	221	Wagh al-hajar	67	35	34	10
city	222	Orthosia (Orthusiyah)	67	35	34	20
city	223	Sangah	71	0	37	22
city	224	Gabala (Jableh)	68	22	34	35
city	225	Rhosus (Rusis)	69	20	35	40
city	226	Qara	69	49	33	30
city	227	Sura	69	30	33	20
city	228	Eleutheropolis (Beyt Gibrin)	66	0	31	0
city	229	Sura (on Euphrates)	80	30	36	0
city	230	Aram (royal city)	69	20	32	0
city	231	Siras (Turkic region)	77	0	38	55
city	232	Nisibis (in Herat region)	111	0	35	20
city	233	Turkic royal city	70	0	24	0
city	234	Alqis (city of Yemen)	73	0	12	15
city	235	Mara (Yemen)	73	0	15	55
city	236	Yemen city	79	0	13	0
city	237	Hadramaut	81	0	14	30
city	238	Madinat at-Tib	81	0	5	30
city	239	al-Mayd	107	0	9	0
city	240	al-Mald	83	55	15	42
city	241	Zafar/Dhofar	88	0	15	0
city	242	Saba/Marib (Sheba)	74	0	17	0
city	243	Gorash	75	0	17	0
city	244	Mahra (Mahrah)	74	0	18	30
city	245	Tabala (Tabalah)	77	0	19	0
city	246	Bahrain (al-Bahrayn)	84	20	25	40
city	247	Oman	94	30	19	40
city	248	Nirun (an-Nirun)	104	20	23	30
city	249	Yemen city	66	0	25	20
city	250	Akhmim (Panopolis)	66	30	25	30
city	251	Qus (Apollinopolis)	65	30	20	30
city	252	Suez (al-Qolzum/Clysma)	66	30	27	30
city	253	Port of Mecca (al-Gar/Jeddah)	69	30	27	0
city	254	Hajar (eastern Arabia)	83	20	25	45
city	255	Jiruft (Kirman)	98	0	31	15
city	256	Kabul	110	0	28	0
city	257	Dongola (Nubia)	63	0	14	15
city	258	ar-Ruyan	86	35	37	10
city	259	al-Muhammadiyah	100	0	31	45
city	260	Qasr al-milh	91	0	32	0
city	261	Sirjan (as-Siragan)	93	0	32	0
city	262	Damavand (Donbawend)	86	30	36	35
city	263	Amul (Tabaristan)	87	20	37	45
city	264	Sari (Sariyah)	87	30	38	0
city	265	Trebizond (Atrabazundah)	73	0	43	0
city	266	Khoy (Khuwayy)	82	0	41	40
city	267	Ustrushana (Osrushanah)	101	10	36	40
city	268	Abadan (Abbadan)	84	55	31	0
city	269	Tus (near Mashhad)	92	0	37	0
