"probe_id","source_surface","source_language_or_scope","topic_tags","query_or_scope","outcome_status","candidate_url","repository","source_path_or_archive_path","source_hash_or_sha","license_or_access_signal","access_status","local_path_or_manifest_path","evidence_tier","upload_policy","blocker_or_next_gate","non_claim_boundary"
"SLT-GH-EXACT-TT-RING","GitHub code search via gh search code","Tatar","Tatar; ring/Noetherian ring TeX source search","боҗра --extension tex --limit 10","zero_results","https://api.github.com/search/code","","","","GitHub code-search metadata only","authenticated gh code search returned [] for this query","","source_level_tex_search_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Retry after wider phrase expansion or reviewer-return; do not treat zero-result search as language absence.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-GH-EXACT-TT-POLY","GitHub code search via gh search code","Tatar","Tatar; polynomial TeX source search","күпбуын --extension tex --limit 10","zero_results","https://api.github.com/search/code","","","","GitHub code-search metadata only","authenticated gh code search returned [] for this query","","source_level_tex_search_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Retry after wider phrase expansion or reviewer-return; do not treat zero-result search as language absence.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-GH-EXACT-TK-RING","GitHub code search via gh search code","Turkmen","Turkmen; ring/Noetherian ring TeX source search","halkasy --extension tex --limit 10","zero_results","https://api.github.com/search/code","","","","GitHub code-search metadata only","authenticated gh code search returned [] for this query","","source_level_tex_search_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Retry after wider phrase expansion or reviewer-return; do not treat zero-result search as language absence.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-GH-EXACT-UG-POLYRING","GitHub code search via gh search code","Uyghur","Uyghur; polynomial-ring TeX source search","كۆپ ئەزالىق --extension tex --limit 10","zero_results","https://api.github.com/search/code","","","","GitHub code-search metadata only","authenticated gh code search returned [] for this query","","source_level_tex_search_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Retry after wider phrase expansion or reviewer-return; do not treat zero-result search as language absence.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-GH-BROAD-KY-MATH","GitHub code search via gh search code","Kyrgyz","Kyrgyz; mathematics TeX broad search","кыргыз математика --extension tex --limit 10","zero_results","https://api.github.com/search/code","","","","GitHub code-search metadata only","authenticated gh code search returned [] for this query","","source_level_tex_search_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Retry with broader Kyrgyz spellings after rate reset.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-GH-BROAD-TT-MATH","GitHub code search via gh search code","Tatar","Tatar; mathematics TeX broad search","татар математика --extension tex --limit 10","zero_results","https://api.github.com/search/code","","","","GitHub code-search metadata only","authenticated gh code search returned [] for this query","","source_level_tex_search_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Retry with Tatar Cyrillic/Latin variants after rate reset.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-GH-BROAD-TT-LATN-FP","GitHub code search via gh search code plus GitHub contents metadata","Tatar string in non-math file","false positive; language-list TeX, not mathematical corpus","tatarça --extension tex --limit 1","false_positive_not_math_source_corpus","https://github.com/yannisl/phd/blob/7f27c209b75ca98c6e6b7a21297dce202aaa0b3c/languages/bassah-vah.tex","yannisl/phd","languages/bassah-vah.tex","git_blob_sha=545e24cf15cf10a214ff6c267b4d0c9419d2a923; fetched_body_sha256=f79b02b26d230895c984660d05512876a310d995b76f14127d371de24e171fef","GitHub repo license metadata empty","public GitHub file; inspected metadata/body only, no payload stored; hit lines include language names, not math topics","","false_positive_probe","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Do not count as R2 source witness; only a language-list false positive.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-GH-BROAD-TK-LATN-FP","GitHub code search via gh search code plus GitHub contents metadata","Turkmen string in non-math file","false positive; language-list TeX, not mathematical corpus","Türkmençe --extension tex --limit 1","false_positive_not_math_source_corpus","https://github.com/yannisl/phd/blob/7f27c209b75ca98c6e6b7a21297dce202aaa0b3c/languages/bassah-vah.tex","yannisl/phd","languages/bassah-vah.tex","git_blob_sha=545e24cf15cf10a214ff6c267b4d0c9419d2a923; fetched_body_sha256=f79b02b26d230895c984660d05512876a310d995b76f14127d371de24e171fef","GitHub repo license metadata empty","public GitHub file; inspected metadata/body only, no payload stored; hit lines include language names, not math topics","","false_positive_probe","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Do not count as R2 source witness; only a language-list false positive.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-GH-RATE-KY-LATN","GitHub code search via gh search code","Kyrgyz","Kyrgyz broad TeX source search","кыргызча --extension tex --limit 10","intermittent_http_403_rate_limit","https://api.github.com/search/code","","","","GitHub code-search API rate-limit signal","HTTP 403 rate limit seen during broad probe; later rate snapshot reported code_search_remaining=10/search_remaining=30","","search_incomplete_blocker","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Retry after reset; no source witness or no-hit conclusion from this incomplete query.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-GH-RATE-TK-MATH","GitHub code search via gh search code","Turkmen","Turkmen mathematics TeX broad search","Türkmen matematika --extension tex --limit 10","intermittent_http_403_rate_limit","https://api.github.com/search/code","","","","GitHub code-search API rate-limit signal","HTTP 403 rate limit seen during broad probe; later rate snapshot reported code_search_remaining=10/search_remaining=30","","search_incomplete_blocker","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Retry after reset; no source witness or no-hit conclusion from this incomplete query.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-GH-RATE-UG-LANG","GitHub code search via gh search code","Uyghur","Uyghur TeX broad search","ئۇيغۇر --extension tex --limit 10","intermittent_http_403_rate_limit","https://api.github.com/search/code","","","","GitHub code-search API rate-limit signal","HTTP 403 rate limit seen during broad probe; later rate snapshot reported code_search_remaining=10/search_remaining=30","","search_incomplete_blocker","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Retry after reset; no source witness or no-hit conclusion from this incomplete query.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-WEB-SEARCH-KY-001","web search result","Kyrgyz","Kyrgyz mathematics LaTeX web search","site:github.com Kyrgyz mathematics LaTeX algebra","false_positive_catalog_or_general_repo","https://github.com/adulau/Library-Genesis/blob/master/lang_en.php","adulau/Library-Genesis","lang_en.php","","GitHub page; no source license classified here","search result mentions Kyrgyz and Mathematics categories, not target-language math TeX witness","","web_search_false_positive","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Do not count as R2 source witness.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-WEB-SEARCH-TT-001","web search result","Tatar","Tatar LaTeX web search","site:github.com ""татарча"" ""LaTeX""","false_positive_mediawiki_messages","https://github.com/nzmichaelh/wrdk/blob/master/host-tools/offline-renderer/mediawiki-offline/languages/messages/MessagesTt_latn.php","nzmichaelh/wrdk","host-tools/offline-renderer/mediawiki-offline/languages/messages/MessagesTt_latn.php","","GitHub page; no source license classified here","search result is MediaWiki localization/messages, not mathematical source corpus","","web_search_false_positive","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Do not count as R2 source witness.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-WEB-SEARCH-UG-001","web search result","Uyghur","Uyghur LaTeX web search","site:github.com ""ئۇيغۇر"" ""LaTeX"" math","typesetting_support_not_math_corpus","https://github.com/reutenauer/polyglossia/issues/479","reutenauer/polyglossia","GitHub issue 479","","LaTeX package/support issue; no R2 math corpus license clearance","search result concerns Uyghur LaTeX/polyglossia testing, not Noether/algebra/ring/module/polynomial source corpus","","web_search_adjacent_not_witness","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Track only as possible typesetting/tooling lead; do not count as R2 source witness.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
