"audit_id","source_url","register_ids","row_count_for_url","source_languages","topic_tags","evidence_tiers","recorded_license_or_access_signals","recorded_local_sha256_or_hashes","recorded_local_paths","probe_method","remote_status","remote_content_type","remote_content_length","remote_last_modified","remote_location","probe_error","live_access_signal","upload_policy","non_claim_boundary"
"LIVEURL-010","https://kitaphana.net/book/1207","SCW-TK-001","1","Turkmen","Turkmen; higher mathematics; textbook lead","pdf_or_text_fallback","copyright signal","099496E59B76C7F6825828C34CA3E5AAF2DD767B65172E10952F83E8CF0456AD","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T213000Z_r2_pan_turkic_az_tk_tt_ba_ug_hard_row_retry\html\pan_turkic_turkmen\turkmen_kitaphana_yokary_matematika_i.html","HEAD","200","text/html; charset=utf-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-011","https://kitaphana.net/electronic-book/2157","SPG-TK-003","1","Turkmen","Turkmen; mathematics; polynomial/base algebra; köpagza","pdf_or_text_fallback","public Kitaphana PDF endpoint; no reusable license signal found in captured evidence","130F081CA7A90ECB9C023F24193ED4D3B4EF79E47B40262A82FCCA8529CF84A0","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_package_gate_20260704\SPG-TK-003_kitaphana_book_2157_download.pdf","HEAD","200","application/octet-stream","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-012","https://kpfu.ru/math/strctre/teach/hmnmm/metodicheskie-posobiya","SCW-TT-003","1","Tatar-region lead","higher mathematics; institutional source shelf; KPFU","html_or_web_fallback","copyright signal","41B5A97C751407766D9A2DB961617A5AC0C2CD42B867CF8A464240CA706BABD4","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T213000Z_r2_pan_turkic_az_tk_tt_ba_ug_hard_row_retry\html\pan_turkic_tatar\tatar_kpfu_methodical_sources_dictionary_lead.html","HEAD","200","text/html; charset=WINDOWS-1251","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-013","https://ky.wikipedia.org/wiki/%D0%9A%D3%A9%D0%BF_%D0%BC%D2%AF%D1%87%D3%A9","SCW-KY-001","1","Kyrgyz","Kyrgyz; polynomial; algebra","html_or_web_fallback","local HTML includes CC BY-SA 4.0 link","5D2992CB7809533D719508F5287767A1A9184FEC6EEFE901C102A9B52702AC7D","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\ky_wikipedia_polynomial_kop_mucho.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-014","https://ky.wikipedia.org/wiki/%D0%AD%D0%BC%D0%BC%D0%B8_%D0%9D%D1%91%D1%82%D0%B5%D1%80","SCW-KY-002","1","Kyrgyz","Kyrgyz; Emmy Noether; algebra context","html_or_web_fallback","local HTML includes CC BY-SA 4.0 link","7AE2A60D71D2830026796DF5F0158726FD51A44F2B3870A47A6003C8C34C0D32","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\ky_wikipedia_emmy_noether.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-015","https://mpht-oshsu.com/web/uploads/journals_pdf/3%281%292024.pdf","SPG-KY-001","1","Kyrgyz","Kyrgyz; mathematics journal; polynomial functions; Lagrange polynomial; algebra context","pdf_or_text_fallback","public journal PDF; no reusable license signal found in captured evidence","A5D403008AD97F2F93020DD590F23C7C8B9029BF807D4957D373870D93057B62","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_package_gate_20260704\SPG-KY-001_oshsu_bulletin_3_1_2024_polynomial_context.pdf","HEAD","200","application/pdf","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-016","https://new.bizdin.kg/media/books/Matematikalyk-terminderdin-kyrgyzcha-oruscha-sozdugu-bizdin-kg.pdf","GCS-KY-001","1","Kyrgyz","Kyrgyz; mathematical terminology; polynomial; group; field; ring/reference vocabulary","pdf_or_text_fallback","no explicit reusable license found","C08431539F106CEDFF6FBA22FEA6D94B88809A6E008924E7D5FF36F0B02D0172","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_gap_closure_20260704\GCS-KY-001_bizdin_math_terms_dictionary.pdf","HEAD","200","application/pdf","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-017","https://pubhtml5.com/znfx/acte/basic/","SPG-TK-004","1","Turkmen","Turkmen; higher mathematics; higher algebra; analytic geometry; Maple examples","html_or_web_fallback","PubHTML5 hosted flipbook; no reusable license signal found in captured evidence","A43311872EF0AC7CA2C55CA96BC3E01D6E905BBEBE1F0B1F2E114FE3CE49D88E","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_package_gate_20260704\SPG-TK-004_pubhtml5_yokary_matematika_algebra_geometry.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-018","https://tamgasoft.kg/morfo/ky/%D1%88%D0%B0%D0%BA%D0%B5%D0%BA","SCW-KY-003","1","Kyrgyz","Kyrgyz; morphology; ring wordform lead","html_or_web_fallback","no reusable license signal found","CB76DC25E6458B16B28002E8570F550875DEAF2882C2BF6ACEAB25A320CE9A9F","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T223000Z_r2_pan_turkic_turkmen_tatar_kyrgyz_hard_row_discovery\html\pan_turkic_kyrgyz\kyrgyz_tamgasoft_shakek_morphology.html","HEAD","200","text/html; charset=utf-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-019","https://test-edu.tatar.ru/upload/storage/org1827/files/%D0%90%D0%9B%D0%93%D0%95%D0%91%D0%A0%D0%90%207%20%D0%9A%D0%9B%D0%90%D0%A1%D0%A1.pdf","RSW-TT-002","1","Tatar","Tatar; algebra; polynomial base; күпбуын","pdf_or_text_fallback","no explicit reusable license found in capture","FF04E65278A2B678F8A46C36783E6F1C0514E5E60EB7C047A38C41E97F6B31C8","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_resweep_20260704\RSW-TT-002_test_edu_tatar_algebra_7_program.pdf","HEAD","200","application/pdf","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-020","https://tt.wikipedia.org/wiki/%D0%90%D0%BB%D0%B3%D0%B5%D0%B1%D1%80%D0%B0%D0%B8%D0%BA_%D1%87%D0%B8%D1%88%D0%B5%D0%BB%D0%B5%D1%88","SCW-TT-001","1","Tatar","Tatar; algebra; algebraic solution; polynomial/base context","html_or_web_fallback","local HTML includes CC BY-SA 4.0 link","4E12698F644E671E8B68AC63E4D6DB7B047A2FACC8BACE8DD5C1B4E4F99D2492","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\tt_wikipedia_algebraic_solution.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-021","https://tt.wikipedia.org/wiki/%D0%94%D0%B8%D1%84%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C_%D0%B8%D1%81%D3%99%D0%BF%D0%BB%D3%99%D2%AF","SPG-TT-001","1","Tatar","Tatar; differential calculus; smooth functions; ring context","html_or_web_fallback","captured footer links Creative Commons Attribution-ShareAlike","5F617A67669D38D7D7019E460353D216634D6CA424DA7418A45533D766757B18","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_package_gate_20260704\SPG-TT-001_tt_wikipedia_differential_calculus_ring_context.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-022","https://tt.wikipedia.org/wiki/%D0%A5%D1%83%D0%B0_%D0%BB%D0%B5%D0%BC%D0%BC%D0%B0%D1%81%D1%8B","SCW-TT-002","1","Tatar","Tatar; algebra; lemma","html_or_web_fallback","local HTML includes CC BY-SA 4.0 link","D6952EF5B5E8E765C573415E384CBF555B3B2EA42926AAAE418E6E86FD3EC12F","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\tt_wikipedia_hua_lemma.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-023","https://wiki.uygur.com/author/uekal/page/3967/","CWS-UG-005","1","Uyghur","Uyghur; terms category; semisimple ring; semisimple algebra; algebraic group","html_or_web_fallback","copyright signal in capture","BB458084A93269A5307ABC815D1A4987ECAA0E8EB4A9B17308D0501F5E9F2FE0","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-UG-005_uygur_com_terms_category_page.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-024","https://wiki.uygur.com/bir_namelumluq_kop_ezaliq/","CWS-UG-001","1","Uyghur","Uyghur; polynomial of one indeterminate; dictionary","html_or_web_fallback","copyright signal in capture","DBC25492313F500AA04476DD72AA22B0D6062A14CA0906F916A93C38BA2F039E","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-UG-001_uygur_com_one_indeterminate_polynomial.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-025","https://wiki.uygur.com/dairilik_noeter_sxemisi/","CWS-UG-004","1","Uyghur","Uyghur; locally Noetherian scheme; dictionary","html_or_web_fallback","copyright signal in capture","44FAD5BFB58C0A03B65EA3627CA64AE68287549414380A136E18E4FB8077F1C3","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-UG-004_uygur_com_locally_noetherian_scheme.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-026","https://wiki.uygur.com/kop_ezaliq_halqa/","SCW-UG-001; UGR-002","2","Uyghur","Uyghur; polynomial ring; dictionary || Uyghur; polynomial ring; exact candidate","html_or_web_fallback","copyright signal || no explicit reusable license found in capture","8A970E759C0FC58373D0A682E45577E2D251E4EC590A46BC4636DF6BBFC993FF; 9353B832C5FC97BB8E7743E336E4E97AC747F4F74E5AFB99424E9DD7ABA44B17","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\ug_uygur_com_polynomial_ring_kop_ezaliq_halqa.html || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\uyghur_current_exact_candidate_resweep_20260704\UGR-002_uygur_com_kop_ezaliq_halqa.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-027","https://wiki.uygur.com/noeter_halqisi/","SCW-UG-002; UGR-001","2","Uyghur","Uyghur; Noetherian ring; dictionary || Uyghur; Noetherian ring; exact candidate","html_or_web_fallback","copyright signal || no explicit reusable license found in capture","3CCE0C4BA0163ED2D9E9495623E8B698BE92D4A33A1743DCF028670252583EE7; 375857CB9356CDC228BAE2C068BA4CAE5A8A879474C31BEDBC57FE436C906720","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\ug_uygur_com_noetherian_ring_noeter_halqisi.html || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\uyghur_current_exact_candidate_resweep_20260704\UGR-001_uygur_com_noeter_halqisi.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-028","https://wiki.uygur.com/noeter_sxemisi/","CWS-UG-002","1","Uyghur","Uyghur; Noetherian scheme; dictionary","html_or_web_fallback","copyright signal in capture","08B78DCE564E70A2A21CCADD44A1D8907951132DB0AE7B598FEBEA9C3833F3C7","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-UG-002_uygur_com_noetherian_scheme.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
