lane,packet_path,file,category,rows,bytes,sha256
R3 AEED source-use/gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z,R3_AEED56E7_TO_OBSERVED_ORIGIN_DRIFT_PATHS.csv,support/context,24,5658,B651AFC0E0F6EC01AD1F2BD2A06C4B5455141C5D9EC5D918F452735E12F0E5A6
R6 DFB0 source-start,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_DFB0AC3E_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260707,MANIFEST.csv,support/context,18,2765,B183AB3FFAD83DF42E379BD301625DCED2694C5B07831D4CEA6A64122E748637
R6 DFB0 source-start,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_DFB0AC3E_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260707,R6_DFB0AC3E_CURRENT_HEAD_SOURCE_START_CONTINUATION_COUNTS.csv,support/context,24,975,C3507B9C48A0337056F129A24FB1E9320E9057DD4E835A0EC0BF214469422C60
Arabic RTL DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_DFB0AC3E_FABLE_INTERLANGUAGE_SCAFFOLD_20260707,ARABIC_DFB0AC3E_EXACT_BLOCKERS_RECOVERY_ROWS_20260707.csv,blocker/recovery,5,2217,6997EDEEBA38D9635E4556E0420E4801EAF8857016B85BA50231E03480094AE6
Arabic RTL DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_DFB0AC3E_FABLE_INTERLANGUAGE_SCAFFOLD_20260707,ARABIC_DFB0AC3E_FABLE_ADVERSE_DO_NOT_USE_LEDGER_20260707.csv,Fable/adverse/do-not-use,4,2000,98DCC46935B6DB5BE314F7E123C03C09AF71D3472E94821676168A142C595870
Arabic RTL DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_DFB0AC3E_FABLE_INTERLANGUAGE_SCAFFOLD_20260707,ARABIC_DFB0AC3E_SIX_ROW_SOURCE_USE_GAP_RECONCILIATION_20260707.csv,source-use/gap,6,8000,B36C84AD46E542980E656F9CB6E2020E4B9EA40C1590CF9E9EE2C399B2F284B1
Arabic RTL DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_DFB0AC3E_FABLE_INTERLANGUAGE_SCAFFOLD_20260707,ARABIC_DFB0AC3E_SOURCE_USE_DECISIONS_20260707.csv,source-use/gap,5,2373,13FCB40A83E4BA244C9C73EF98848BA252748FBEB7F74FF0B2E746B82C210CA3
Arabic RTL DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_DFB0AC3E_FABLE_INTERLANGUAGE_SCAFFOLD_20260707,B3_HANDOFF_SUMMARY_DFB0AC3E_20260707.csv,support/context,1,521,C5AAD92AFD88942F7B8B5E40D9FF666D4E782FA65489C11C144AD82E44EC3A01
Arabic RTL DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_DFB0AC3E_FABLE_INTERLANGUAGE_SCAFFOLD_20260707,BRANCH_DFB0AC3E_DELTA_CLASSIFIED_20260707.csv,support/context,41,13930,F2296C726C1E14C66E4101CCD118B6479F6C6291A7ECFB8700728CF9097CAC59
Arabic RTL DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_DFB0AC3E_FABLE_INTERLANGUAGE_SCAFFOLD_20260707,BRANCH_VISIBLE_DFB0AC3E_KEY_COPY_LEDGER_20260707.csv,support/context,118,73137,2C6BEE54EB074395B4079EA95BD801A78DABA77D6C014C328A4DC1907C2FF79F
Arabic RTL DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_DFB0AC3E_FABLE_INTERLANGUAGE_SCAFFOLD_20260707,MANIFEST.csv,support/context,153,30565,AF36F6F53DD2D79B3CD9FC253CBECA4C9C23C7D553F5D3D56E90B78B5F731019
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,adverse_evidence.csv,Fable/adverse/do-not-use,7,1604,5A9EFBC1E398077B8C4D409B7206847EF4EA1BD0B824110D89899E60BFB145B0
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,B3_UPLOADER_READY_SUMMARY_DFB0AC3E.csv,support/context,1,678,D959F02303D1002277F84C77129854BF96755E66D2244BB949A64F2D859DC522
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,branch_weight_ledger.csv,support/context,10,5502,C42D2DE54ACFCD4886043F4BD13B0084B449F0C223F65F285DA6A8DB2500524A
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,DFB0AC3E_B3_HANDOFF_BOUNDARIES_20260707.csv,support/context,2,1221,D6E079A50356CDE59B9F5AD377207F2ABA43B8AE736CCD4E28F8C7F4BE3A9382
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,DFB0AC3E_EXACT_BLOCKER_RECOVERY_ROWS_20260707.csv,blocker/recovery,5,3763,FD0ADF03503CA6C66CC37E270722937FD6CEAA1599E76AB2EB0B1F0BF6527CA0
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,DFB0AC3E_SOURCE_USE_GAP_FABLE_ADVERSE_ROWS_20260707.csv,source-use/gap;Fable/adverse/do-not-use,5,4242,A45AC51B33967EB37F07FC71B760616B1D86D70BDFE4AD93EBC42520AF7900D0
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,DFB0AC3E_STALE_WAKE_DEDUP_019F2B1C_0B86_20260707.csv,support/context,1,1231,C0CFC8FBC685A02E46B3A58F6FCA86E55DB9BCAEF4CFEAAED08417DD5189BB3F
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,do_not_use.csv,Fable/adverse/do-not-use,8,1913,43C2EF5560AF679008BD3F0523980607F263EF827B3572ACB8A20B73BE297675
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,DRAFT_NONCANONICAL_PRETRANSLATION_INTERLINEAR_ROWS_DFB0AC3E.csv,draft/pretranslation/interlinear,9,8721,3CC4D3DEB9E8A4BAC0ADC67B7AB83522BA33F93ECE2E6C0CF3B3F44E428F945B
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,EXACT_BLOCKERS_AND_RECOVERY_ROWS_DFB0AC3E.csv,blocker/recovery,10,9573,D1896B25C646354F7C467B5354E4C33CD25C4C2636318344B721C70F5D742DC5
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,FABLE_FORMAL_OBJECT_CARRYFORWARD_DFB0AC3E.csv,Fable/adverse/do-not-use,11,5954,29EE268069B1DE86C12981D1EA930FBCB968886C05A7C50E7B064815DC07EE82
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,forms.csv,support/context,40,10505,26022528EDA2D81EC547B04F34E3B68CDB30A746401BE44DC713A093F8D8A104
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,FRONTIER_DELTA_DFB0AC3E.csv,support/context,2,1581,0857CEC0F2357D3C92EB91B3C3D1B670F558561350366B3169DAE6DAE4F53462
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,languages.csv,support/context,5,1507,4DF41260B0318483B6960924F7F2A5356A2EA356C734C90FE51530039A18B57C
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,MANIFEST.csv,support/context,30,4931,646C275C7D02D7BB1C827B31107470E5F7A085A8880D20775A6FA523D3552F28
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,marginal_intelligibility.csv,support/context,10,4167,1B32510E55639EBD172C6ECF935F867A2B1EE29E0A79C94802B4A45898907C4B
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,SHA256_VERIFICATION_20260707.csv,support/context,30,5308,2191B115E7D8DAD63CA49D155B3BEEE76CE71FA8698AB38A865303D141896D94
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,source_documents.csv,source-witness,73,63239,479336F2D88A42D261972068E75A2BA388293F370CF6CE7D0ED5DFA7968B4A13
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,SOURCE_USE_GAP_ADVERSE_FABLE_LEDGER_DFB0AC3E.csv,source-use/gap;Fable/adverse/do-not-use,5,4760,CC3E2101282AFEFA5E2FBEC83340A24423FBDA3FCBD972AD7D5576E26F5148B7
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,source_use_ledger.csv,source-use/gap,20,3981,2E3A5E84E666F24B435C03153A5ED72BE55C4CA5F774998FD6460AE3F68DCFAB
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,SOURCE_WITNESS_SUBSET_BY_SUBLANE_DFB0AC3E.csv,source-witness,20,15938,E7970D8CEC477F765C03B68D9BEBE9072F8D2D5EB7925A5B050C5D2045B2440D
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,SUBLANE_SOURCE_CONTEXT_MANUAL_REVIEW_NOTES_DFB0AC3E.csv,support/context,14,16998,CB823F2B60116E140B929DF4411973D09D914FE8A083342626426875BB64ECDA
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,SUMMARY_COUNTS_DFB0AC3E.csv,support/context,15,830,382C841B3690C0B61DC8F7F8E56B89C6786F840D9A36EE8A4488BB432D21364E
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,TG_CYRL_TJ_SOURCE_DISCOVERY_ONLY_ROWS_DFB0AC3E.csv,support/context,12,13297,5F9DE52FA9F0202847CF8385D041A14BCC7C0276FDA66B89E1D7046CE3E71B20
Persianate/Tajik DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_DFB0AC3E_FRONTIER_RECOVERY_20260707,word_weights.csv,support/context,10,4098,C79A02E76F4ADB30EFDB628E101EE17841E88CB51E79694256A64A872C65F757
Romance DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_DFB0AC3E_FRONTIER_SOURCE_USE_GAP_20260707,B3_HANDOFF_DFB0AC3E_20260707.csv,support/context,3,1100,8D18054E489F815ECCA1FA0DA2BE8F3575F4BD71E36244739A2BA6C525463C72
Romance DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_DFB0AC3E_FRONTIER_SOURCE_USE_GAP_20260707,BRANCH_DELTA_FROM_AEED56E7_TO_DFB0AC3E_20260707.csv,support/context,65,32932,8F53A80EBB4F74B0288DA880986656C8AB0B47D61A772CB5BEC8480239A422C1
Romance DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_DFB0AC3E_FRONTIER_SOURCE_USE_GAP_20260707,EXACT_BLOCKER_RECOVERY_ROWS_DFB0AC3E_20260707.csv,blocker/recovery,2,1669,FEF636FEC7F4D1F4F536C9B9AAA0D0E1FC3F62BB72226EAC300D25CCFB078DB5
Romance DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_DFB0AC3E_FRONTIER_SOURCE_USE_GAP_20260707,FABLE_ADVERSE_SOURCE_USE_LEDGER_DFB0AC3E_20260707.csv,source-use/gap;Fable/adverse/do-not-use,54,25039,B32E1C4B5C9467912009866E98B2E9AC78F55570DCDB9C69BD168F6AA037E2F4
Romance DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_DFB0AC3E_FRONTIER_SOURCE_USE_GAP_20260707,FRENCH_SPANISH_GAP_BOUNDARY_DFB0AC3E_20260707.csv,source-use/gap,2,672,08E00CE5E4B47B1BEEC6D2D619199C32AB60F85DDBE99C5CC46C7BCA46F0B71C
Romance DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_DFB0AC3E_FRONTIER_SOURCE_USE_GAP_20260707,FRONTIER_COMPARISON_DFB0AC3E_20260707.csv,support/context,8,1475,FD4958854066F3607CBEC6C243287186C80AFB1F814FA6EF388D56C5FDB620D5
Romance DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_DFB0AC3E_FRONTIER_SOURCE_USE_GAP_20260707,MANIFEST.csv,support/context,16,5146,BB0248C5545B36F9D6803CE9B0F84AFA4C0264D5BFE3977BA9BA5DE172B58C04
Romance DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_DFB0AC3E_FRONTIER_SOURCE_USE_GAP_20260707,ROW_ACTIONS_DFB0AC3E_20260707.csv,support/context,46,35423,F575709BDFCC06316EA30B56428C21AE97C6E4A50357932AF9CF7B2BFF3837E9
Romance DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_DFB0AC3E_FRONTIER_SOURCE_USE_GAP_20260707,SIBLING_WAKE_BOUNDARY_DFB0AC3E_20260707.csv,support/context,2,548,8FD66C74FB5CE226864A42353F6037617B12249F04F72B98E6690961A8CDE28A
Romance DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_DFB0AC3E_FRONTIER_SOURCE_USE_GAP_20260707,SOURCE_GATED_DRAFT_RENDERINGS_DFB0AC3E_20260707.csv,draft/pretranslation/interlinear,44,27200,824949D9392628AD2D647B90DCD7FE6A96E2E122F39213A3D1DC075E242C44D8
Romance DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_DFB0AC3E_FRONTIER_SOURCE_USE_GAP_20260707,TENSOR_PRODUCT_RECOVERY_SEARCHES_DFB0AC3E_20260707.csv,blocker/recovery,5,2310,40F555E3BF24025B347BD322D0A606AAA64FAF782403571B33A817E73E219929
Romance DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_DFB0AC3E_FRONTIER_SOURCE_USE_GAP_20260707,TERM_ALTERNATIVES_DFB0AC3E_20260707.csv,support/context,46,26756,143C23B2BE637617E600BDD308609B9198C4AC35E8C4B3151031008DD49909D0
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,B3_UPLOADER_READY_SUMMARY.csv,support/context,3,1552,EFA74E0476E4B37A6CD3E1F0C01F0911DB5DA95B41C25325B2F7D775CF1EA219
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_B3_6A_DEDUP_AUDIT_FILE_INVENTORY_DFB0AC3E.csv,support/context,12,7479,5EDEF7AB6104CCC496C83AE9D9B1582AC2D3A40F8B73524A8BBE53204BDE0184
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_B3_6A_HELD_PACKET_BLOCKERS_DFB0AC3E.csv,blocker/recovery,1,570,B544B78FB25FEB386FC87551911A987EA109727119175C9C72F6D777A93ECE17
