edition	physical_page	render_pixels	ink_bbox	margins_ltrb	ink_ratio	extract_chars	formula_tags	status
english	14	1149x1704	94,112,1055,1245	94,112,94,459	0.043234	1402	2.6.2,2.6.3,2.7.1	PASS
english	15	1149x1704	94,88,1054,1056	94,88,95,648	0.037980	1257	2.8.1,2.8.2,2.8.3,2.8.4,2.8.5	PASS
english	16	1149x1704	94,88,1057,1043	94,88,92,661	0.032364	1054	2.8.6,2.9.1,2.9.2,2.9.3,2.9.4	PASS
english	17	1149x1704	94,90,1055,902	94,90,94,802	0.036751	1176	2.10.1	PASS
english	18	1149x1704	94,91,1057,1622	94,91,92,82	0.051955	1521	3.1.1	PASS
english	19	1149x1704	94,119,1055,990	94,119,94,714	0.036141	1131	3.1.2,3.1.3,3.1.4,3.2.1,3.2.2,3.2.3.1	PASS
english	20	1149x1704	94,91,1057,1030	94,91,92,674	0.047318	1544		PASS
english	21	1149x1704	94,90,1057,1632	94,90,92,72	0.046878	1390	3.4.1,3.4.2	PASS
english	22	1149x1704	97,83,1057,1360	97,83,92,344	0.060811	1844		PASS
apparatus	1	1149x1704	94,84,1057,474	94,84,92,1230	0.025543	706		PASS
apparatus	2	1149x1704	94,84,1057,474	94,84,92,1230	0.024587	676		PASS
apparatus	3	1149x1704	94,84,1057,444	94,84,92,1260	0.024694	679		PASS
apparatus	4	1149x1704	94,84,1057,414	94,84,92,1290	0.021165	569		PASS
apparatus	5	1149x1704	94,84,1057,444	94,84,92,1260	0.024234	664		PASS
apparatus	6	1149x1704	94,84,1057,474	94,84,92,1230	0.024678	681		PASS
apparatus	7	1149x1704	94,84,1057,474	94,84,92,1230	0.025566	711		PASS
apparatus	8	1149x1704	94,84,1057,569	94,84,92,1135	0.032428	909		PASS
apparatus	9	1149x1704	94,84,1057,414	94,84,92,1290	0.022222	596		PASS
apparatus	10	1149x1704	94,84,1057,414	94,84,92,1290	0.022050	593		PASS
apparatus	11	1149x1704	94,84,1057,444	94,84,92,1260	0.023424	638		PASS
apparatus	12	1149x1704	94,84,1057,504	94,84,92,1200	0.026995	757		PASS
apparatus	13	1149x1704	94,84,1057,474	94,84,92,1230	0.024292	670		PASS
apparatus	14	1149x1704	94,84,1057,504	94,84,92,1200	0.026534	751		PASS
apparatus	15	1149x1704	94,84,1057,474	94,84,92,1230	0.025076	693		PASS
apparatus	16	1149x1704	94,84,1057,444	94,84,92,1260	0.022402	608		PASS
apparatus	17	1149x1704	94,84,1057,474	94,84,92,1230	0.026067	719		PASS
apparatus	18	1149x1704	94,84,1057,504	94,84,92,1200	0.027214	762		PASS
apparatus	19	1149x1704	94,84,1057,414	94,84,92,1290	0.021435	573		PASS
apparatus	20	1149x1704	94,84,1057,474	94,84,92,1230	0.024980	691		PASS
apparatus	21	1149x1704	94,84,1057,534	94,84,92,1170	0.029324	820		PASS
apparatus	22	1149x1704	94,84,1057,629	94,84,92,1075	0.036704	1021		PASS
