"access_license_signal","sha256","source_type","branch_head","source_use_label","bytes","witness_id","source_title","local_or_remote_path","next_action","language_gate"
"public web/PDF access signal; no license-clearance claim","71bb3880161ca340a055547e145a001e64cc11fc24851c3c488e51edbb3cbb83","HTML provenance lead","c7fb7e644e04102b67cc5da379ba9d4226feaef8","Ottoman/Turkic RTL-adjacent provenance lead; not literal Ottoman Arabic-script mathematical source body","70495","OTA-CEBIR-004","Takiyuddin'in Cebir Risalesi Belleten HTML","source-bodies\ota_Arab\OTA-CEBIR-004_Belleten_Takiyuddin_Cebir_Risalesi.html","trace manuscript image/call-number source body for Cebir/Ilm-i Cebir/Hesab Tahlili; keep Pan-Turkic separate","ota_Arab"
"web recovery lead; no license-clearance claim","","web/native HTML; raw bodies already captured locally in cycle3","c7fb7e644e04102b67cc5da379ba9d4226feaef8","source-gated support candidate for Urdu only; not Arabic/Persian/Dari/Tajik/Hindustani authorization","","UR-WEB-20260706-001","Urdu Wikibooks linear algebra chapter index","https://ur.wikibooks.org/wiki/%D9%84%DA%A9%DB%8C%D8%B1%DB%8C_%D8%A7%D9%84%D8%AC%D8%A8%D8%B1%D8%A7","Use as captured source-body candidate; continue university/open-course PDF search.","ur_Arab"
"web recovery lead; no license-clearance claim","","web/native HTML with formula-neighboring prose; raw body captured locally in cycle3","c7fb7e644e04102b67cc5da379ba9d4226feaef8","source-gated Urdu eigen/linear-algebra support only","","UR-WEB-20260706-002","Urdu Wikibooks eigenvalue/eigenvector/eigenspace chapter","https://ur.wikibooks.org/wiki/%D9%84%DA%A9%DB%8C%D8%B1%DB%8C_%D8%A7%D9%84%D8%AC%D8%A8%D8%B1%D8%A7/%D8%A8%D8%A7%D8%A8_6","Use for draft/non-canonical scaffold rows; seek independent PDF witness.","ur_Arab"
"web recovery lead; no license-clearance claim","","web encyclopedia comparator","c7fb7e644e04102b67cc5da379ba9d4226feaef8","comparator/source-context lead only; not accepted terminology","","UR-WEB-20260706-003","Urdu Wikipedia eigenvalue page","https://ur.wikipedia.org/wiki/%D9%88%DB%8C%DA%98%DB%81_%D9%82%D8%AF%D8%B1","Keep as adverse/comparator lead; do not use to certify terms.","ur_Arab"
"web recovery lead; no license-clearance claim","","PDF glossary; school-level math terms","c7fb7e644e04102b67cc5da379ba9d4226feaef8","glossary comparator only, not advanced linear-algebra source body","","UR-WEB-20260706-004","NYU Urdu math glossary PDF","https://docs.steinhardt.nyu.edu/pdfs/metrocenter/atn293/pdf/next_generation_math_glossary_terms_only_Urdu.pdf","Record as glossary lead; not sufficient for R3 proof/lecture witness.","ur_Arab"
"web recovery lead; no license-clearance claim","","web course page; provenance/source-body uncertain","c7fb7e644e04102b67cc5da379ba9d4226feaef8","recovery lead only; possible generated/translated web text","","UR-WEB-20260706-005","Elevify Urdu linear algebra course prose","https://www.elevify.com/ur-pk/%DA%A9%D9%88%D8%B1%D8%B3%D8%B2/%D8%B7%D8%A8%DB%8C%D8%B9%DB%8C-%D8%B9%D9%84%D9%88%D9%85-%D8%A7%D9%88%D8%B1-%D8%AA%D8%AD%D9%82%DB%8C%D9%82/%D8%B1%DB%8C%D8%A7%D8%B6%DB%8C/%D8%A8%D9%86%DB%8C%D8%A7%D8%AF%DB%8C-%D9%84%DB%8C%D9%86%D8%A6%D8%B1-%D8%A7%D9%84%D8%AC%D8%A8%D8%B1%D8%A7-%DA%A9%D9%88%D8%B1%D8%B3-6315a","Do not treat as source-body closure; search for institution/open course PDFs.","ur_Arab"
"web recovery lead; no license-clearance claim","","modern Turkish article/provenance carrier","c7fb7e644e04102b67cc5da379ba9d4226feaef8","Ottoman/Turkic provenance only; not literal Ottoman Arabic-script body","","OTA-WEB-20260706-001","Belleten article on Takiyuddin Cebir Risalesi","https://belleten.gov.tr/tam-metin/2426/tur","Use for manuscript/work tracing; do not draft Ottoman terms from this alone.","ota_Arab"
"web recovery lead; no license-clearance claim","","modern article PDF/provenance carrier","c7fb7e644e04102b67cc5da379ba9d4226feaef8","Ottoman/Turkic provenance only; not literal source body","","OTA-WEB-20260706-002","DergiPark PDF for Takiyuddin Cebir Risalesi article","https://dergipark.org.tr/en/download/article-file/1641012","Trace cited manuscript/work details; no source certification.","ota_Arab"
"web recovery lead; no license-clearance claim","","modern Turkish PDF with references","c7fb7e644e04102b67cc5da379ba9d4226feaef8","provenance/recovery lead only","","OTA-WEB-20260706-003","Dört Öge Ottoman mathematics overview","https://dergipark.org.tr/tr/download/article-file/567503","Use references for Cebir Risalesi and Hesab-i Tahlili recovery.","ota_Arab"
"web recovery lead; no license-clearance claim","","modern thesis PDF; points to Usul-i Cebir/Zeyl-i Usul-i Cebir","c7fb7e644e04102b67cc5da379ba9d4226feaef8","provenance/recovery lead only","","OTA-WEB-20260706-004","Istanbul University thesis on Vidinli Hüseyin Tevfik Paşa","https://nek.istanbul.edu.tr/ekos/TEZ/52058.pdf","Trace catalog/scans for literal Ottoman-script algebra bodies.","ota_Arab"
"web recovery lead; no license-clearance claim","","modern PDF overview","c7fb7e644e04102b67cc5da379ba9d4226feaef8","provenance/recovery lead only","","OTA-WEB-20260706-005","Yildiz PDF on Ottoman mathematics education and early mathematicians","https://www.ek.yildiz.edu.tr/images/images/yayinlar/osmanlidailkmatematikciler.pdf","Use bibliography for source-body search; no term promotion.","ota_Arab"
