"concept","source_file","branch_head","source_context_locator","reviewer_question","formula_neighboring_usage_note","source_evidence_id","status_label","route_to_lane","hard_boundary","support_id","target_rendering_status","language_gate","term_alternatives_or_register_notes","target_rendering","row_origin"
"ideal","source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-4:line-31:utf16-57","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-001-E011","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0011","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","مثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-4:line-31:utf16-55","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-001-E012","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0012","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","المثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-4:line-35:utf16-69","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-001-E013","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0013","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","مثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-4:line-36:utf16-3","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-001-E014","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0014","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","مثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-4:line-36:utf16-1","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-001-E015","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0015","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","المثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-4:line-37:utf16-43","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-001-E016","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0016","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","مثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-4:line-37:utf16-67","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-001-E017","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0017","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","المثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-4:line-38:utf16-41","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-001-E018","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0018","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","مثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-4:line-40:utf16-49","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-001-E019","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0019","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","مثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-4:line-41:utf16-56","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-001-E020","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0020","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","مثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-4:line-42:utf16-48","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-001-E021","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0021","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","مثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-4:line-42:utf16-46","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-001-E022","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0022","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","المثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-4:line-43:utf16-81","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-001-E023","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0023","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","مثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-4:line-43:utf16-79","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-001-E024","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0024","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","المثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-002_Fezzan_circulant_matrix_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-1:line-22:utf16-31","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-002-E001","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0025","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","مثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-002_Fezzan_circulant_matrix_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-1:line-23:utf16-30","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-002-E002","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0026","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","مثالي","postpush_source_gated_pretranslation"
"matrix / matrix ring context","source-bodies\ar\AR-NOETH-002_Fezzan_circulant_matrix_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-1:line-23:utf16-80","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only as a matrix or matrix-ring neighbor; not enough by itself for invariant-theory term promotion.","AR-NOETH-002-E003","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0027","source-attested-form-in-exact-context; not accepted terminology","ar","source form only; no accepted terminology claim","مصفوفة","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-002_Fezzan_circulant_matrix_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-1:line-25:utf16-29","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-002-E004","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0028","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","مثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-002_Fezzan_circulant_matrix_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-1:line-25:utf16-27","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-002-E005","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0029","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","المثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-002_Fezzan_circulant_matrix_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-2:line-18:utf16-96","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-002-E006","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0030","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","مثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-002_Fezzan_circulant_matrix_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-2:line-18:utf16-94","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-002-E007","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0031","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","المثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-002_Fezzan_circulant_matrix_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-2:line-21:utf16-66","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-002-E008","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0032","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","مثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-002_Fezzan_circulant_matrix_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-2:line-21:utf16-64","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-002-E009","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0033","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","المثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-002_Fezzan_circulant_matrix_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-2:line-27:utf16-17","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-002-E011","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0034","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","مثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-002_Fezzan_circulant_matrix_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-2:line-47:utf16-105","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-002-E012","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0035","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","مثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-002_Fezzan_circulant_matrix_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-2:line-47:utf16-103","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-002-E013","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0036","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","المثالي","postpush_source_gated_pretranslation"
"ideal","source-bodies\ar\AR-NOETH-002_Fezzan_circulant_matrix_ring.pdf","c7fb7e644e04102b67cc5da379ba9d4226feaef8","pdf-page-3:line-18:utf16-58","Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","AR-NOETH-002-E014","generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation","Arabic RTL draft lane only","no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion","POSTPUSH-C2-DRAFT-0037","source-attested-form-in-exact-context; not accepted terminology","ar","مثالي | المثاليات; Arabic-only support","مثالي","postpush_source_gated_pretranslation"
