"sync_id","row_class","owner_or_consumer","source_label","source_path","source_exists","source_sha256","source_bytes","source_last_write_utc","source_role","row_count_or_signal","evidence_scope","routing_or_action","upload_payload_policy","boundary","created_utc"
"R3-XLANE-011","arabic_lane_state","Arabic RTL source-canon lane","Arabic source-canon current rollup","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SOURCE_CANON_CURRENT_ROLLUP_20260704.md","True","38178AD2F61D95A364D4050CA14DDA1914F992A6B21DCD46A7B07AC9093448CD","15611","2026-07-05T01:06:54.7268527Z","Arabic owner-lane rollup","r3_policy_current=20260704T210315Z; r3_probe_current=20260704T210216Z; downstream_needs_refresh=True","Arabic source-canon rollup with R3 addenda","Refresh Arabic R3 policy/payload intake against current 210315/210216-era R3 pointers before treating downstream intake as current.","Arabic lane records manifest/hash/url provenance only","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T011759Z"
"R3-XLANE-012","arabic_lane_state","Arabic RTL source-canon lane","Arabic R3 policy/payload sync intake","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_R3_POLICY_PAYLOAD_SYNC_INTAKE_20260704.md","True","14ECF9DCEF223CCAEBAD0BE13B50E45A7CFAEC1A753FAA82EDFE659774BFEB56","6032","2026-07-04T21:07:02.2422212Z","owner-lane intake of R3 policy/probe evidence","csv_exists=True; intake_needs_current_pointer_refresh=True","Arabic intake is source-canon/provenance only; current file cites older R3 policy/probe timestamps","Owner lane should refresh citations and counts to R3 policy-sync/probe current pointers; R3 does not edit owner-lane files.","manifest/hash/url sidecar only","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T011759Z"
"R3-XLANE-013","persianate_lane_state","Persianate/Tajik source-canon lane","Persianate/Tajik source-canon witness table","C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.json","True","4563F894E209421D208575D49C96975FBB9645598AAC34E1DD2C35299862AB68","17846","2026-07-05T01:15:10.3406488Z","owner-lane witness table for fa_IR, prs_AF, tg_Cyrl_TJ","owner_rows=15; rows_missing_upload_or_payload_policy=15","Persian/Farsi, Dari/Afghan Persian, Tajik kept separate","Owner lane should add explicit upload/payload policy fields; R3 supplies normalized policy hints for overlapping rows only.","owner rows currently lack explicit upload/payload policy fields","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T011759Z"
"R3-XLANE-014","persianate_lane_state","Persianate/Tajik source-canon lane","Persianate/Tajik program alignment note","C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_PROGRAM_ALIGNMENT_20260704.md","True","A5906803E237511BE1CD20080AEBE20F1CE8EDD526A25515AB4315ED0D51D673","3590","2026-07-04T20:05:36.0728487Z","owner-lane source-canon alignment note","confirms source-canon-first override and separated fa_IR/prs_AF/tg_Cyrl_TJ gates","coordination note, not witness authority by itself","Keep R3 handoff as guidance; do not promote bridge terms or merge sublanes.","manifest/log sidecar only","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T011759Z"
"R3-XLANE-015","split_lane_sync","Arabic, Persianate/Tajik, B3","R3 split-lane intake sync rows","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_POLICY_SYNC_AUDIT_20260704T210315Z\R3_SOURCE_CANON_SPLIT_LANE_INTAKE_SYNC_20260704T210315Z.csv","True","AE88BAD1B771344FF07182B0DD215BA7DCE04421F54741626F40ADC495534D8C","2687","2026-07-04T21:03:18.8123944Z","current R3 split-lane sync table","split_sync_rows=4","routes current R3 sidecars to owner lanes and B3","Use as routing index; treat owner-lane refresh items as action rows, not approvals.","manifest/log sidecar only","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T011759Z"
"R3-XLANE-016","persianate_lane_state","Persianate/Tajik source-canon lane","Persianate/Tajik durable run log","C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\NOETHER_PERSIANATE_TAJIK_DURABLE_RUN_LOG_20260704.md","True","022DA1F8432B25156BBFF09B971F670E9B085B552F91C19C9CE957905B2A7B81","65696","2026-07-05T01:16:19.0459285Z","owner-lane durable log","checked for source-canon-first context and boundary alignment","owner-lane state only; R3 does not edit owner logs","Use R3 policy rows as external guidance for owner-lane upload/payload-policy repair.","manifest/log sidecar only","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T011759Z"
"R3-XLANE-017","r3_current_artifact","Arabic and Persianate/Tajik lanes; B3","R3 target-language source witness probe","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_TARGET_LANGUAGE_SOURCE_WITNESS_PROBE_20260704T212815Z","True","","","2026-07-04T21:28:22.2001936Z","latest target-language witness/gap probe with cache outside outputs","rows=9; fetched=5; non_pdf_blockers=1; explicit_gaps=3; tex_source_rows=0","Arabic, fa_IR, tg_Cyrl_TJ fallback witnesses plus explicit TeX/source-package gaps","Owner lanes may consume route-compatible rows as provenance or blockers; no translation or term promotion follows.","manifest/hash/url only; raw fetched bodies remain in work cache and are omitted by package manifest","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T011759Z"
"R3-XLANE-018","r3_current_artifact","Arabic and Persianate/Tajik lanes; B3","R3 source-archive frontier probe","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_ARCHIVE_FRONTIER_PROBE_20260704T234856Z","True","","","2026-07-04T23:48:58.3679589Z","latest TeX/source-archive search frontier with zero-hit, blocker, and false-positive rows","rows=11; existing_source=1; web_access_blockers=1; zero_hit_gaps=6; rate_limit_blockers=1; false_positives=1","Arabic/Persian/Tajik GitHub and web source-archive frontier; support/tooling separated","Use as source-acquisition frontier; do not admit web-visible leads until source archive is fetchable and hashable.","manifest/search-frontier only; no raw source archive copied","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T011759Z"
"R3-XLANE-019","r3_current_artifact","Arabic, Persianate/Tajik, adjacent separate gates; B3","R3 arXiv/e-print frontier probe","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_ARXIV_EPRINT_FRONTIER_PROBE_20260705T004046Z","True","","","2026-07-05T00:40:48.7028547Z","latest arXiv API/e-print metadata frontier with query hashes, exact blockers, and existing e-print pointer","rows=11; zero_hit_gaps=8; metadata_screening=2; existing_eprint_pointers=1; api_blockers=0","Arabic/Persian/Dari/Tajik/Urdu/Pan-Turkic arXiv metadata frontier; separate gates preserved","Use query metadata as source-acquisition evidence only; do not treat arXiv metadata hits as target-language source authority until source bodies are screened.","manifest/query-metadata only; no arXiv source bodies downloaded by this frontier","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T011759Z"
"R3-XLANE-020","r3_current_artifact","Arabic, Persianate/Tajik, adjacent separate gates; B3","R3 Zenodo source frontier probe","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z","True","","","2026-07-05T01:16:18.6283752Z","latest Zenodo/repository metadata frontier with query hashes, source/archive hints, fallback hints, and blockers","rows=12; possible_source_archive_or_tex=9; possible_fallbacks=3; zero_hit_gaps=0; api_blockers=0","Arabic/Persian/Dari/Tajik/Urdu/Pan-Turkic Zenodo repository metadata frontier; separate gates preserved","Use repository metadata as source-acquisition evidence only; do not admit Zenodo file leads until fetched, hashed, screened, and license/access reviewed.","manifest/repository-metadata only; no Zenodo record files downloaded by this frontier","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T011759Z"
