automaton_term_id,stateC_term_id,match_quality,post_duplicate_count,chosen_form_latin,automaton_f10,stateC_f10,automaton_E,automaton_W,automaton_S,stateC_E,stateC_W,stateC_S,delta_E,delta_W,delta_S,route,route_key,recommended_action_v2
ISV-unnamed--definirano_kako_v_1_,ISV-wie_in_1_2_als_ring_gleichen_ranges_defi--definirano_kako_v_1_,unique_form,1,"definirano, kako v §1, 2, kako kolco togo samogo ranga",F10-3,F10-3,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,P1_REVIEW_ADVERSE_OR_COMPETITOR
ISV-unnamed--determinant_stau_i_t,ISV-stau_i_tau_j--determinant_stau_i_t,unique_form,1,determinant |S(tau_i tau_j)|,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--determinanty_iz_vsak,ISV-determinanten_aus_je_n_basiselementen_un--determinanty_iz_vsak,unique_form,1,determinanty iz vsakih n baznyh elementov i jih konjugovanyh elementov,F10-1,F10-1,2.0,0.0,0.0,2,1,1,0.0,1.0,1.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--diagonalna_matrica_t,ISV-diagonalmatrix_durch_diagonalmatrizen_tr--diagonalna_matrica_t,unique_form,1,diagonalna matrica / transformovane čerez diagonalne matrice,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--diagonalna_shema,ISV-diagonalschema--diagonalna_shema,unique_form,1,diagonalna shema,F10-0,F10-0,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,REVIEW_OR_CONTEXT_CHECK
ISV-unnamed--diferencialne_izrazy,ISV-differentialausdruecke--diferencialne_izrazy,unique_form,1,diferencialne izrazy,F10-0,F10-0,3.0,0.0,0.0,3,0,0,0.0,0.0,0.0,,,REVIEW_OR_CONTEXT_CHECK
ISV-unnamed--direktna_suma,ISV-direkte_summe--direktna_suma,unique_form,1,direktna suma,F10-0,F10-0,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,REVIEW_OR_CONTEXT_CHECK
ISV-unnamed--direktna_suma_kolc_r,ISV-direkte_summe_von_ringen_vom_rang_eins--direktna_suma_kolc_r,unique_form,1,direktna suma kolc ranga jedan,F10-2,F10-2,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,OVERCLAIM_BACKFILL_NEEDED
ISV-unnamed--diskriminant_d_t_p,ISV-diskriminante_d_t_p--diskriminant_d_t_p,unique_form,1,diskriminant D_{T_P},F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--diskriminantne_ideal,ISV-diskriminantenideale_primärer_ringe--diskriminantne_ideal,unique_form,1,diskriminantne idealy primarnyh kolc,F10-0,F10-0,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,REVIEW_OR_CONTEXT_CHECK
ISV-unnamed--diskriminantny_ideal,ISV-diskriminantenideal--diskriminantny_ideal,unique_form,1,diskriminantny ideal,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--diskriminantny_ideal,ISV-diskriminantenideal_des_ringes--diskriminantny_ideal,unique_form,1,diskriminantny ideal kolca,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--diskriminantny_ideal,ISV-diskriminantenideal_des_komponentenideal--diskriminantny_ideal,unique_form,1,diskriminantny ideal komponentnogo ideala,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--diskriminantny_ideal,ISV-diskriminantenideal_von_r--diskriminantny_ideal,unique_form,1,diskriminantny ideal od R,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--diskriminantny_ideal,ISV-diskriminantenideal_von_t_in_bezug_auf_o--diskriminantny_ideal,unique_form,1,diskriminantny ideal T vzhodno k o,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--diskriminantny_krite,ISV-diskriminantenkriterium_der_vollständige--diskriminantny_krite,unique_form,1,diskriminantny kriterij polnoj razložimosti prvogo roda,F10-1,F10-1,3.0,0.0,0.0,3,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--divergencija_diverge,ISV-divergenz_divergenzrelationen--divergencija_diverge,unique_form,1,divergencija / divergencijne relacije,F10-0,F10-0,3.0,0.0,0.0,3,0,0,0.0,0.0,0.0,,,REVIEW_OR_CONTEXT_CHECK
ISV-unnamed--dobro_uporjadkovanje,ISV-wohlordnung--dobro_uporjadkovanje,unique_form,1,dobro uporjadkovanje,F10-1,F10-1,2.0,0.0,0.0,3,0,0,1.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--dobro_uporjadkovanje,ISV-wohlordnung_omega_prime--dobro_uporjadkovanje,unique_form,1,dobro uporjadkovanje Omega prime,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--dobro_uporjadkovanje,ISV-wohlordnung_wohlordnungssatz--dobro_uporjadkovanje,unique_form,1,dobro uporjadkovanje / teorema o dobrom uporjadkovanju,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--dodatno_uslovje,ISV-nebenbedingung--dodatno_uslovje,unique_form,1,dodatno uslovje,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--dopolnitelno_predsta,ISV-ergänzungsdarstellung--dopolnitelno_predsta,unique_form,1,dopolnitelno predstavjenje,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--drugi_teorem_o_izomo,ISV-zweiter_isomorphiesatz--drugi_teorem_o_izomo,unique_form,1,drugi teorem o izomorfizmu,F10-0,F10-0,3.0,0.0,0.0,3,0,0,0.0,0.0,0.0,,,REVIEW_OR_CONTEXT_CHECK
ISV-unnamed--drugy_teorem_izomorf,ISV-zweiter_isomorphiesatz--drugy_teorem_izomorf,unique_form,1,drugy teorem izomorfizma,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--drugy_teorem_o_izomo,ISV-zweiter_isomorphiesatz--drugy_teorem_o_izomo,unique_form,1,drugy teorem o izomorfizmu,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--dvojno_uslovje_cěpov,ISV-doppelkettensatz--dvojno_uslovje_cěpov,unique_form,1,dvojno uslovje cěpov,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--dělimo_črez_p_izčeza,ISV-durch_p_teilbar_verschwindet_in_p--dělimo_črez_p_izčeza,unique_form,1,dělimo črez p / izčezaje v P,F10-1,F10-1,3.0,0.0,0.0,3,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--dělimost_dělimy_čere,ISV-teilbarkeit_durch_einen_modul_teilbar--dělimost_dělimy_čere,unique_form,1,dělimost / dělimy čerez modul,F10-1,F10-1,2.0,0.0,0.0,2,1,1,0.0,1.0,1.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--dělimy_nerazložimym_,ISV-teilbar_durch_eine_irreduzible_gleichung--dělimy_nerazložimym_,unique_form,1,dělimy nerazložimym uravnenjem,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--ekvivalentno_razširj,ISV-äquivalenter_erweiterungskörper_erweiter--ekvivalentno_razširj,unique_form,1,ekvivalentno razširjeno polje / razširjeno kolco,F10-3,F10-3,2.0,1.0,1.0,2,1,1,0.0,0.0,0.0,,,P1_REVIEW_ADVERSE_OR_COMPETITOR
ISV-unnamed--element_drugogo_roda,ISV-element_zweiter_art_exponent--element_drugogo_roda,unique_form,1,element drugogo roda / eksponenta,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--element_ktory_poražd,ISV-basis_des_abgeleiteten_primideals--element_ktory_poražd,unique_form,1,"element, ktory poraždaje izvedeny prosty ideal",F10-1,F10-1,2.0,0.0,0.0,2,1,1,0.0,1.0,1.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--energijske_relacije_,ISV-energierelationen_energiesätze_energieko--energijske_relacije_,unique_form,1,energijske relacije / energijske zakony / energijske komponenty,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--foreign_journaltitle,ISV-proper-name_and_bibliography_protection_--foreign_journaltitle,unique_form,1,foreign journal/title fragments protected with \emph; running Interslavic prose transliterated,F10-0,F10-0,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,REVIEW_OR_CONTEXT_CHECK
ISV-unnamed--galoisova_polja_galo,ISV-galoissche_körper_galoisscher_erweiterun--galoisova_polja_galo,unique_form,1,Galoisova polja / Galoisovo razširjeno polje,F10-0,F10-0,2.0,1.0,1.0,2,1,1,0.0,0.0,0.0,,,ACCEPTABLE_LOW_PRIORITY
ISV-unnamed--glavna_jedinica,ISV-haupteinheit--glavna_jedinica,unique_form,1,glavna jedinica,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--glavny_ideal,ISV-hauptideal--glavny_ideal,unique_form,1,glavny ideal,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--glavny_ideal_izveden,ISV-abgeleitetes_hauptideal--glavny_ideal_izveden,unique_form,1,"glavny ideal, izvedeny iz p",F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--glavny_klas,ISV-hauptklasse--glavny_klas,unique_form,1,glavny klas,F10-0,F10-0,3.0,0.0,0.0,3,0,0,0.0,0.0,0.0,,,REVIEW_OR_CONTEXT_CHECK
ISV-unnamed--glavny_porjadok_rela,ISV-hauptordnung_des_relativkörpers--glavny_porjadok_rela,unique_form,1,glavny porjadok relativnogo polja,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--glavny_porjadok_čisl,ISV-hauptordnung_eines_zahl-_oder_funktionen--glavny_porjadok_čisl,unique_form,1,glavny porjadok čislovogo abo funkcionalnogo polja,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--granične_oblasti,ISV-grenzbereiche--granične_oblasti,unique_form,1,granične oblasti,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--granične_členy_grani,ISV-randglieder_randintegral--granične_členy_grani,unique_form,1,granične členy / graničny integral,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--grupa_posunov,ISV-verschiebungsgruppe--grupa_posunov,unique_form,1,grupa posunov,F10-1,F10-1,3.0,0.0,0.0,3,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--grupa_transformacij,ISV-transformationsgruppe--grupa_transformacij,unique_form,1,grupa transformacij,F10-0,F10-0,3.0,0.0,0.0,3,0,0,0.0,0.0,0.0,,,REVIEW_OR_CONTEXT_CHECK
ISV-unnamed--grupy_ostatkov_sut_i,ISV-restgruppen_isomorph--grupy_ostatkov_sut_i,unique_form,1,grupy ostatkov sut izomorfne,F10-1,F10-1,2.0,0.0,0.0,2,1,1,0.0,1.0,1.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--göttingen,ISV-göttingen--göttingen,unique_form,1,Göttingen,F10-0,F10-0,3.0,0.0,0.0,3,0,0,0.0,0.0,0.0,,,REVIEW_OR_CONTEXT_CHECK
ISV-unnamed--hilbertov_teorem_o_b,ISV-hilbertscher_satz_von_der_modulbasis--hilbertov_teorem_o_b,unique_form,1,Hilbertov teorem o bazisu modula,F10-1,F10-1,2.0,0.0,0.0,2,0,1,0.0,0.0,1.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--hilbertov_teorem_o_n,ISV-hilbertscher_irreduzibilitätssatz--hilbertov_teorem_o_n,unique_form,1,Hilbertov teorem o nerazložimosti,F10-2,F10-2,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,OVERCLAIM_BACKFILL_NEEDED
ISV-unnamed--hilbertovo_tvrđenje,ISV-hilbertsche_behauptung--hilbertovo_tvrđenje,unique_form,1,Hilbertovo tvrđenje,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--homogene_formy_i-toj,ISV-homogene_formen_i-ter_dimension--homogene_formy_i-toj,unique_form,1,homogene formy i-toj dimenzije,F10-1,F10-1,2.0,0.0,0.0,2,1,1,0.0,1.0,1.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--homomorfno_matrično_,ISV-homomorphe_matrizenring_durch_ein_ideal_--homomorfno_matrično_,unique_form,1,homomorfno matrično kolco ... stvorjeno idealom,F10-3,F10-3,2.0,0.0,0.0,2,1,1,0.0,1.0,1.0,,,P1_REVIEW_ADVERSE_OR_COMPETITOR
ISV-unnamed--ideal-dělitelj_nuly,ISV-nullteilerideal--ideal-dělitelj_nuly,unique_form,1,ideal-dělitelj nuly,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--ideal_razny_od_nulov,ISV-vom_nullideal_verschiedenes_ideal--ideal_razny_od_nulov,unique_form,1,ideal razny od nulovogo ideala,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--idealne_kvocienty_gl,ISV-idealquotienten_hauptideal_prim_zu_t--idealne_kvocienty_gl,unique_form,1,idealne kvocienty / glavny ideal / prost vzhodno k t,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--idealtheorie_7_3,ISV-idealtheorie_7_3--idealtheorie_7_3,unique_form,1,"Idealtheorie, §7, 3",F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--idealtheorie_9_7,ISV-idealtheorie_9_7_footnote--idealtheorie_9_7,unique_form,1,"Idealtheorie, §9, 7",F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--idealtheorie_9_i_3_1,ISV-idealtheorie_9_und_3_1_footnote--idealtheorie_9_i_3_1,unique_form,1,"Idealtheorie, §9 i §3, 1",F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
ISV-unnamed--identične_razklady,ISV-identische_zerlegungen--identične_razklady,unique_form,1,identične razklady,F10-1,F10-1,2.0,0.0,0.0,2,0,0,0.0,0.0,0.0,,,MISSING_WITNESS_BACKFILL
