"artifact","extension","bytes","risky_label_hits","direct_boundary_hits","sample_labels","boundary_resolution","boundary_evidence","method_guardrail_source"
"NOETHER_SLAVIC_CUMULATIVE_READER_STREAM_ANCHORS_20260704.md",".md","2295","10","1","Cumulative; Reader; cumulative; reader; cumulative; CUMULATIVE; READER; reader","direct_boundary_present","NOETHER_SLAVIC_CUMULATIVE_READER_STREAM_ANCHORS_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_FINISH_ALL_COMPLETION_AUDIT_20260704.md",".md","11005","34","16","complete; complete; release; Release; complete; Current; cumulative; reader","direct_boundary_present","NOETHER_SLAVIC_FINISH_ALL_COMPLETION_AUDIT_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_REBUILD_TRIGGER_READINESS_SNAPSHOT_20260704T064112.json",".json","3178","6","4","complete; complete; HANDOFF; complete; current; handoff","direct_boundary_present","NOETHER_SLAVIC_REBUILD_TRIGGER_READINESS_SNAPSHOT_20260704T064112.json","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_REBUILD_TRIGGER_READINESS_SNAPSHOT_20260704T064112.md",".md","2180","7","8","current; complete; complete; Complete; current; handoff; source-baseline","direct_boundary_present","NOETHER_SLAVIC_REBUILD_TRIGGER_READINESS_SNAPSHOT_20260704T064112.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_REBUILD_TRIGGER_READINESS_SNAPSHOT_20260704T064635.json",".json","3488","6","4","complete; complete; HANDOFF; complete; current; handoff","direct_boundary_present","NOETHER_SLAVIC_REBUILD_TRIGGER_READINESS_SNAPSHOT_20260704T064635.json","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_REBUILD_TRIGGER_READINESS_SNAPSHOT_20260704T064635.md",".md","1957","4","4","complete; complete; current; handoff","direct_boundary_present","NOETHER_SLAVIC_REBUILD_TRIGGER_READINESS_SNAPSHOT_20260704T064635.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_REBUILD_TRIGGER_READINESS_SNAPSHOT_20260704T073247.json",".json","23616","29","11","complete; cumulative; Cumulative; reader; cumulative; Cumulative; cumulative; reader","direct_boundary_present","NOETHER_SLAVIC_REBUILD_TRIGGER_READINESS_SNAPSHOT_20260704T073247.json","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_REBUILD_TRIGGER_READINESS_SNAPSHOT_20260704T073247.md",".md","1230","2","5","complete; reader","direct_boundary_present","NOETHER_SLAVIC_REBUILD_TRIGGER_READINESS_SNAPSHOT_20260704T073247.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_REBUILD_TRIGGER_READINESS_SNAPSHOT_20260704T073835.json",".json","25930","29","11","complete; cumulative; Cumulative; reader; cumulative; Cumulative; cumulative; reader","direct_boundary_present","NOETHER_SLAVIC_REBUILD_TRIGGER_READINESS_SNAPSHOT_20260704T073835.json","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_REBUILD_TRIGGER_READINESS_SNAPSHOT_20260704T073835.md",".md","1140","2","4","complete; release","direct_boundary_present","NOETHER_SLAVIC_REBUILD_TRIGGER_READINESS_SNAPSHOT_20260704T073835.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_REFERENCE_SHELF_BOUNDARY_ANCHORS_20260704.md",".md","3162","5","3","release; source baseline; reader; source baseline; reader","direct_boundary_present","NOETHER_SLAVIC_REFERENCE_SHELF_BOUNDARY_ANCHORS_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_REVIEW_RETURN_INTAKE_MATRIX_20260704.csv",".csv","1573","1","1","current","direct_boundary_present","NOETHER_SLAVIC_REVIEW_RETURN_INTAKE_MATRIX_20260704.csv","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_REVIEW_RETURN_INTAKE_READINESS_20260704.md",".md","3269","2","4","Current; Complete","direct_boundary_present","NOETHER_SLAVIC_REVIEW_RETURN_INTAKE_READINESS_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_REVIEW_RETURN_NONCONTAMINATION_AUDIT_20260704.csv",".csv","5967","4","1","current; handoff; Handoff; handoff","direct_boundary_present","NOETHER_SLAVIC_REVIEW_RETURN_NONCONTAMINATION_AUDIT_20260704.csv","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_REVIEW_RETURN_NONCONTAMINATION_AUDIT_20260704.md",".md","3163","8","9","handoff; completed; Complete; current; handoff; Handoff; handoff; Current","direct_boundary_present","NOETHER_SLAVIC_REVIEW_RETURN_NONCONTAMINATION_AUDIT_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_SORBIAN_MATH_SOURCE_ACCESS_AUDIT_20260704.csv",".csv","3327","4","0","current; current; current; current","paired_markdown_boundary","NOETHER_SLAVIC_SORBIAN_MATH_SOURCE_ACCESS_AUDIT_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_SORBIAN_MATH_SOURCE_ACCESS_AUDIT_20260704.md",".md","2063","2","1","current; current","direct_boundary_present","NOETHER_SLAVIC_SORBIAN_MATH_SOURCE_ACCESS_AUDIT_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_SOURCE_BASELINE_WATCHER_BOUNDARIES_20260704.md",".md","8611","40","11","Source-Baseline; Current; Current; HANDOFF; handoff; Cumulative; reader; CUMULATIVE","direct_boundary_present","NOETHER_SLAVIC_SOURCE_BASELINE_WATCHER_BOUNDARIES_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_TERMINOLOGY_SIDECAR_ANCHORS_20260704.csv",".csv","2316","3","0","current; current; current","paired_markdown_boundary","NOETHER_SLAVIC_TERMINOLOGY_SIDECAR_ANCHORS_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_TERMINOLOGY_SIDECAR_ANCHORS_20260704.md",".md","4118","8","6","current; current; release; reader; cumulative; reader; current; complete","direct_boundary_present","NOETHER_SLAVIC_TERMINOLOGY_SIDECAR_ANCHORS_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_UNDERREPRESENTED_BRANCH_EXTENSION_SCAN_20260704.csv",".csv","5858","2","3","current; current","direct_boundary_present","NOETHER_SLAVIC_UNDERREPRESENTED_BRANCH_EXTENSION_SCAN_20260704.csv","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_UNDERREPRESENTED_BRANCH_EXTENSION_SCAN_20260704.md",".md","5439","1","2","current","direct_boundary_present","NOETHER_SLAVIC_UNDERREPRESENTED_BRANCH_EXTENSION_SCAN_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_ZENODO_SOURCE_FILE_FINGERPRINT_20260704.csv",".csv","9629","68","0","current; handoff; Cumulative; Current; current; handoff; Current; Current","paired_markdown_boundary","NOETHER_SLAVIC_ZENODO_SOURCE_FILE_FINGERPRINT_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
"NOETHER_SLAVIC_ZENODO_SOURCE_FILE_FINGERPRINT_20260704.md",".md","1723","5","1","source-baseline; current; Current; reader; source-baseline","direct_boundary_present","NOETHER_SLAVIC_ZENODO_SOURCE_FILE_FINGERPRINT_20260704.md","NOETHER_ZENODO_COMPLETED_READER_METHOD_GUARDRAIL_PASS_20260704.md"
