"row_id","lexeme_id","field","text","codepoints","has_arabic","has_latin","has_tex_or_math","has_arabic_presentation_forms","has_bidi_controls","extraction_risk","source_use_label","witness_category","non_claim_boundary"
"ar-lex-ring:formula_neighboring_note","ar-lex-ring","formula_neighboring_note","Examples: \(R\)-حلقة; لتكن \(R\) حلقة; \(o\) حلقة ذات عنصر واحدي. Hyphen direction needs PDF QA.","U+0045 U+0078 U+0061 U+006D U+0070 U+006C U+0065 U+0073 U+003A U+0020 U+005C U+0028 U+0052 U+005C U+0029 U+002D U+062D U+0644 U+0642 U+0629 U+003B U+0020 U+0644 U+062A U+0643 U+0646 U+0020 U+005C U+0028 U+0052 U+005C U+0029 U+0020 U+062D U+0644 U+0642 U+0629 U+003B U+0020 U+005C U+0028 U+006F U+005C U+0029 U+0020 U+062D U+0644 U+0642 U+0629 U+0020 U+0630 U+0627 U+062A U+0020 U+0639 U+0646 U+0635 U+0631 U+0020 U+0648 U+0627 U+062D U+062F U+064A U+002E U+0020 U+0048 U+0079 U+0070 U+0068 U+0065 U+006E U+0020 U+0064 U+0069 U+0072 U+0065 U+0063 U+0074 U+0069 U+006F U+006E U+0020 U+006E U+0065 U+0065 U+0064 U+0073 U+0020 U+0050 U+0044 U+0046 U+0020 U+0051 U+0041 U+002E","True","True","True","False","False","rtl-ltr-formula-boundary-risk","native-source-body","source-witness","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-ring:source_form","ar-lex-ring","source_form","نطاق حلقي","U+0646 U+0637 U+0627 U+0642 U+0020 U+062D U+0644 U+0642 U+064A","True","False","False","False","False","low","generated-draft","generated-draft","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-ring:normalized_form","ar-lex-ring","normalized_form","نطاق حلقي","U+0646 U+0637 U+0627 U+0642 U+0020 U+062D U+0644 U+0642 U+064A","True","False","False","False","False","low","generated-draft","generated-draft","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-ring:formula_neighboring_note","ar-lex-ring","formula_neighboring_note","Ringbereich/domain nuance unresolved; compare نطاق تكاملي/مجال حلقي before reviewer use.","U+0052 U+0069 U+006E U+0067 U+0062 U+0065 U+0072 U+0065 U+0069 U+0063 U+0068 U+002F U+0064 U+006F U+006D U+0061 U+0069 U+006E U+0020 U+006E U+0075 U+0061 U+006E U+0063 U+0065 U+0020 U+0075 U+006E U+0072 U+0065 U+0073 U+006F U+006C U+0076 U+0065 U+0064 U+003B U+0020 U+0063 U+006F U+006D U+0070 U+0061 U+0072 U+0065 U+0020 U+0646 U+0637 U+0627 U+0642 U+0020 U+062A U+0643 U+0627 U+0645 U+0644 U+064A U+002F U+0645 U+062C U+0627 U+0644 U+0020 U+062D U+0644 U+0642 U+064A U+0020 U+0062 U+0065 U+0066 U+006F U+0072 U+0065 U+0020 U+0072 U+0065 U+0076 U+0069 U+0065 U+0077 U+0065 U+0072 U+0020 U+0075 U+0073 U+0065 U+002E","True","True","False","False","False","rtl-ltr-formula-boundary-risk","generated-draft","generated-draft","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-artinian:source_form","ar-lex-artinian","source_form","آرتيني","U+0622 U+0631 U+062A U+064A U+0646 U+064A","True","False","False","False","False","low","native-source-body","source-witness","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-artinian:normalized_form","ar-lex-artinian","normalized_form","آرتيني","U+0622 U+0631 U+062A U+064A U+0646 U+064A","True","False","False","False","False","low","native-source-body","source-witness","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-artinian:formula_neighboring_note","ar-lex-artinian","formula_neighboring_note","Use for eponymic Artinian ring/module contexts; keep chain-condition paraphrase separate.","U+0055 U+0073 U+0065 U+0020 U+0066 U+006F U+0072 U+0020 U+0065 U+0070 U+006F U+006E U+0079 U+006D U+0069 U+0063 U+0020 U+0041 U+0072 U+0074 U+0069 U+006E U+0069 U+0061 U+006E U+0020 U+0072 U+0069 U+006E U+0067 U+002F U+006D U+006F U+0064 U+0075 U+006C U+0065 U+0020 U+0063 U+006F U+006E U+0074 U+0065 U+0078 U+0074 U+0073 U+003B U+0020 U+006B U+0065 U+0065 U+0070 U+0020 U+0063 U+0068 U+0061 U+0069 U+006E U+002D U+0063 U+006F U+006E U+0064 U+0069 U+0074 U+0069 U+006F U+006E U+0020 U+0070 U+0061 U+0072 U+0061 U+0070 U+0068 U+0072 U+0061 U+0073 U+0065 U+0020 U+0073 U+0065 U+0070 U+0061 U+0072 U+0061 U+0074 U+0065 U+002E","False","True","False","False","False","low","native-source-body","source-witness","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-artinian:source_form","ar-lex-artinian","source_form","شرط السلسلة التنازلية","U+0634 U+0631 U+0637 U+0020 U+0627 U+0644 U+0633 U+0644 U+0633 U+0644 U+0629 U+0020 U+0627 U+0644 U+062A U+0646 U+0627 U+0632 U+0644 U+064A U+0629","True","False","False","False","False","low","generated-draft","generated-draft","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-artinian:normalized_form","ar-lex-artinian","normalized_form","شرط السلسلة التنازلية","U+0634 U+0631 U+0637 U+0020 U+0627 U+0644 U+0633 U+0644 U+0633 U+0644 U+0629 U+0020 U+0627 U+0644 U+062A U+0646 U+0627 U+0632 U+0644 U+064A U+0629","True","False","False","False","False","low","generated-draft","generated-draft","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-artinian:formula_neighboring_note","ar-lex-artinian","formula_neighboring_note","For descending chains such as \(\mathfrak A_1\supset\mathfrak A_2\supset\cdots\); verify Arabic punctuation around inequalities.","U+0046 U+006F U+0072 U+0020 U+0064 U+0065 U+0073 U+0063 U+0065 U+006E U+0064 U+0069 U+006E U+0067 U+0020 U+0063 U+0068 U+0061 U+0069 U+006E U+0073 U+0020 U+0073 U+0075 U+0063 U+0068 U+0020 U+0061 U+0073 U+0020 U+005C U+0028 U+005C U+006D U+0061 U+0074 U+0068 U+0066 U+0072 U+0061 U+006B U+0020 U+0041 U+005F U+0031 U+005C U+0073 U+0075 U+0070 U+0073 U+0065 U+0074 U+005C U+006D U+0061 U+0074 U+0068 U+0066 U+0072 U+0061 U+006B U+0020 U+0041 U+005F U+0032 U+005C U+0073 U+0075 U+0070 U+0073 U+0065 U+0074 U+005C U+0063 U+0064 U+006F U+0074 U+0073 U+005C U+0029 U+003B U+0020 U+0076 U+0065 U+0072 U+0069 U+0066 U+0079 U+0020 U+0041 U+0072 U+0061 U+0062 U+0069 U+0063 U+0020 U+0070 U+0075 U+006E U+0063 U+0074 U+0075 U+0061 U+0074 U+0069 U+006F U+006E U+0020 U+0061 U+0072 U+006F U+0075 U+006E U+0064 U+0020 U+0069 U+006E U+0065 U+0071 U+0075 U+0061 U+006C U+0069 U+0074 U+0069 U+0065 U+0073 U+002E","False","True","True","False","False","low","generated-draft","generated-draft","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-homomorphism:source_form","ar-lex-homomorphism","source_form","تشاكل","U+062A U+0634 U+0627 U+0643 U+0644","True","False","False","False","False","low","native-source-body","source-witness","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-homomorphism:normalized_form","ar-lex-homomorphism","normalized_form","تشاكل","U+062A U+0634 U+0627 U+0643 U+0644","True","False","False","False","False","low","native-source-body","source-witness","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-homomorphism:formula_neighboring_note","ar-lex-homomorphism","formula_neighboring_note","Examples: تشاكل \(R\to S\); الصورة التشاكلية لـ \(\Im^*\). Arabic preposition before formula needs PDF QA.","U+0045 U+0078 U+0061 U+006D U+0070 U+006C U+0065 U+0073 U+003A U+0020 U+062A U+0634 U+0627 U+0643 U+0644 U+0020 U+005C U+0028 U+0052 U+005C U+0074 U+006F U+0020 U+0053 U+005C U+0029 U+003B U+0020 U+0627 U+0644 U+0635 U+0648 U+0631 U+0629 U+0020 U+0627 U+0644 U+062A U+0634 U+0627 U+0643 U+0644 U+064A U+0629 U+0020 U+0644 U+0640 U+0020 U+005C U+0028 U+005C U+0049 U+006D U+005E U+002A U+005C U+0029 U+002E U+0020 U+0041 U+0072 U+0061 U+0062 U+0069 U+0063 U+0020 U+0070 U+0072 U+0065 U+0070 U+006F U+0073 U+0069 U+0074 U+0069 U+006F U+006E U+0020 U+0062 U+0065 U+0066 U+006F U+0072 U+0065 U+0020 U+0066 U+006F U+0072 U+006D U+0075 U+006C U+0061 U+0020 U+006E U+0065 U+0065 U+0064 U+0073 U+0020 U+0050 U+0044 U+0046 U+0020 U+0051 U+0041 U+002E","True","True","True","False","False","rtl-ltr-formula-boundary-risk","native-source-body","source-witness","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-homomorphism:source_form","ar-lex-homomorphism","source_form","تجانس / مورفيزم / هومومورفيزم","U+062A U+062C U+0627 U+0646 U+0633 U+0020 U+002F U+0020 U+0645 U+0648 U+0631 U+0641 U+064A U+0632 U+0645 U+0020 U+002F U+0020 U+0647 U+0648 U+0645 U+0648 U+0645 U+0648 U+0631 U+0641 U+064A U+0632 U+0645","True","False","False","False","False","low","generated-draft","adverse-or-alternative-evidence","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-homomorphism:normalized_form","ar-lex-homomorphism","normalized_form","تجانس; مورفيزم; هومومورفيزم","U+062A U+062C U+0627 U+0646 U+0633 U+003B U+0020 U+0645 U+0648 U+0631 U+0641 U+064A U+0632 U+0645 U+003B U+0020 U+0647 U+0648 U+0645 U+0648 U+0645 U+0648 U+0631 U+0641 U+064A U+0632 U+0645","True","False","False","False","False","low","generated-draft","adverse-or-alternative-evidence","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-homomorphism:formula_neighboring_note","ar-lex-homomorphism","formula_neighboring_note","Alternatives only; do not promote over تشاكل without reviewer/context decision.","U+0041 U+006C U+0074 U+0065 U+0072 U+006E U+0061 U+0074 U+0069 U+0076 U+0065 U+0073 U+0020 U+006F U+006E U+006C U+0079 U+003B U+0020 U+0064 U+006F U+0020 U+006E U+006F U+0074 U+0020 U+0070 U+0072 U+006F U+006D U+006F U+0074 U+0065 U+0020 U+006F U+0076 U+0065 U+0072 U+0020 U+062A U+0634 U+0627 U+0643 U+0644 U+0020 U+0077 U+0069 U+0074 U+0068 U+006F U+0075 U+0074 U+0020 U+0072 U+0065 U+0076 U+0069 U+0065 U+0077 U+0065 U+0072 U+002F U+0063 U+006F U+006E U+0074 U+0065 U+0078 U+0074 U+0020 U+0064 U+0065 U+0063 U+0069 U+0073 U+0069 U+006F U+006E U+002E","True","True","False","False","False","rtl-ltr-formula-boundary-risk","generated-draft","adverse-or-alternative-evidence","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-isomorphism:source_form","ar-lex-isomorphism","source_form","تماثل","U+062A U+0645 U+0627 U+062B U+0644","True","False","False","False","False","low","native-source-body","source-witness","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-isomorphism:normalized_form","ar-lex-isomorphism","normalized_form","تماثل","U+062A U+0645 U+0627 U+062B U+0644","True","False","False","False","False","low","native-source-body","source-witness","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-isomorphism:formula_neighboring_note","ar-lex-isomorphism","formula_neighboring_note","Examples: \(A\simeq B\); التطبيق التماثلي; حلقة التماثلات الذاتية. Check bidi around \simeq.","U+0045 U+0078 U+0061 U+006D U+0070 U+006C U+0065 U+0073 U+003A U+0020 U+005C U+0028 U+0041 U+005C U+0073 U+0069 U+006D U+0065 U+0071 U+0020 U+0042 U+005C U+0029 U+003B U+0020 U+0627 U+0644 U+062A U+0637 U+0628 U+064A U+0642 U+0020 U+0627 U+0644 U+062A U+0645 U+0627 U+062B U+0644 U+064A U+003B U+0020 U+062D U+0644 U+0642 U+0629 U+0020 U+0627 U+0644 U+062A U+0645 U+0627 U+062B U+0644 U+0627 U+062A U+0020 U+0627 U+0644 U+0630 U+0627 U+062A U+064A U+0629 U+002E U+0020 U+0043 U+0068 U+0065 U+0063 U+006B U+0020 U+0062 U+0069 U+0064 U+0069 U+0020 U+0061 U+0072 U+006F U+0075 U+006E U+0064 U+0020 U+005C U+0073 U+0069 U+006D U+0065 U+0071 U+002E","True","True","True","False","False","rtl-ltr-formula-boundary-risk","native-source-body","source-witness","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-isomorphism:source_form","ar-lex-isomorphism","source_form","إيزومورفيزم / تشاكل تقابلي","U+0625 U+064A U+0632 U+0648 U+0645 U+0648 U+0631 U+0641 U+064A U+0632 U+0645 U+0020 U+002F U+0020 U+062A U+0634 U+0627 U+0643 U+0644 U+0020 U+062A U+0642 U+0627 U+0628 U+0644 U+064A","True","False","False","False","False","low","generated-draft","adverse-or-alternative-evidence","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-isomorphism:normalized_form","ar-lex-isomorphism","normalized_form","إيزومورفيزم; تشاكل تقابلي","U+0625 U+064A U+0632 U+0648 U+0645 U+0648 U+0631 U+0641 U+064A U+0632 U+0645 U+003B U+0020 U+062A U+0634 U+0627 U+0643 U+0644 U+0020 U+062A U+0642 U+0627 U+0628 U+0644 U+064A","True","False","False","False","False","low","generated-draft","adverse-or-alternative-evidence","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
"ar-lex-isomorphism:formula_neighboring_note","ar-lex-isomorphism","formula_neighboring_note","Evidence/alternative only; avoid as default without reviewer decision.","U+0045 U+0076 U+0069 U+0064 U+0065 U+006E U+0063 U+0065 U+002F U+0061 U+006C U+0074 U+0065 U+0072 U+006E U+0061 U+0074 U+0069 U+0076 U+0065 U+0020 U+006F U+006E U+006C U+0079 U+003B U+0020 U+0061 U+0076 U+006F U+0069 U+0064 U+0020 U+0061 U+0073 U+0020 U+0064 U+0065 U+0066 U+0061 U+0075 U+006C U+0074 U+0020 U+0077 U+0069 U+0074 U+0068 U+006F U+0075 U+0074 U+0020 U+0072 U+0065 U+0076 U+0069 U+0065 U+0077 U+0065 U+0072 U+0020 U+0064 U+0065 U+0063 U+0069 U+0073 U+0069 U+006F U+006E U+002E","False","True","False","False","False","low","generated-draft","adverse-or-alternative-evidence","generated-draft/non-canonical extraction and RTL QA support; no native review, accepted terminology, source certification, or completion claim"
